		For scoring a given reviewer	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of these two aspects	Choose the category of statement	Choose the category of comments	For scoring a given reviewer								For scoring a given reviewer								Meta-categories			Aggregate over 3 reviews						Put 1 if all reviewers agree. Put 0 if at least two disagree, or if at least one review is too vague to tell if they agree
010-Paper1779	A flexible framework for simulating and evaluating biases in deep learning-based medical image analysis	Reproducibility appears to be fair.	0	0	0	0	0	3. (+) statement	1. (none) comments	The data set, template, and software (version missing though) used to estimate the deformation fields are clearly stated.	1	1	0	0	0	1. (none) statement	4. (-/+) comments	The authors will share the code if accepted. The experiments seem reproducible based on seeding information.	0	0	1	0	0	3. (+) statement	4. (-/+) comments	Reproducible	Irreproducible	Reproducible	1	1	1	0	0	2	Disagreement
011-Paper0286	A General Stitching Solution for Whole-Brain 3D Nuclei Instance Segmentation from Microscopy Images	looks ok, everything made available	0	0	0	0	0	3. (+) statement	1. (none) comments	This work is reproducible.	0	0	0	0	0	3. (+) statement	1. (none) comments	The paper is reproducible.	0	0	0	0	0	3. (+) statement	1. (none) comments	Reproducible	Reproducible	Reproducible	0	0	0	0	0	3	Agreement
012-Paper1873	A Model-Agnostic Framework for Universal Anomaly Detection of Multi-Organ and Multi-Modal Images	Enough detail seem to be provided to replicate the experiments. The models are based on existing baselines with simple enough modifications. The only missing parts are hyperparameters and types of optimizer are missing in the main paper.	1	0	0	1	0	3. (+) statement	4. (-/+) comments	I consider the paper is reproducible as the authors declare the code will be released after the anonymous review.	0	0	1	0	0	3. (+) statement	1. (none) comments	The description is clear and the method seems reproducible.	0	0	0	0	0	3. (+) statement	1. (none) comments	Reproducible	Reproducible	Reproducible	1	0	1	1	0	3	Agreement
013-Paper1912	A Modulatory Elongated Model for Delineating Retinal Microvasculature in OCTA Images	The work might not be reproducible. ROSE-1 is a public dataset and the modulatory function is well-defined, but the complete algorithm for turning a OCTA image into a vessel segmented image is not specified.	1	1	0	0	0	2. (-) statement 	4. (-/+) comments	The proposed model is clearly presented and thus it is feasible to reproduce the results.	1	0	0	0	0	3. (+) statement	3. (+) comments	The authors describe their method in extensive detail and use a publicly available dataset, making the research highly reproducible.	1	1	0	0	0	3. (+) statement	3. (+) comments	Irreproducible	Reproducible	Reproducible	3	2	0	0	0	2	Disagreement
014-Paper0643	A Motion Transformer for Single Particle Tracking in Fluorescence Microscopy Images	Except for the training data the training strategy is described and reproducible.	0	0	0	1	0	1. (none) statement	4. (-/+) comments	They did not provide the source code, which is the main weakness. However, the provided avi give me the confident that the results are reproducible at some extend.	0	0	1	0	0	3. (+) statement	2. (-) comments	Good	0	0	0	0	0	3. (+) statement	1. (none) comments	Irreproducible	Reproducible	Reproducible	0	0	1	1	0	2	Disagreement
015-Paper2184	A Multimodal Disease Progression Model for Genetic Associations with Disease Dynamics	Fine	0	0	0	0	0	3. (+) statement	1. (none) comments	The simulated and real data are from well-described sources, which should help with reproducibility.  Several aspects of the proposed algorithm are described vaguely or not at all, especially in the optimization part. So I believe true reproduction would be difficult.	1	1	0	0	0	2. (-) statement 	4. (-/+) comments	Not applicable	0	0	0	0	0	0. Unusable (statement)	0. Unusable (comments)	Reproducible	Irreproducible	Unusable	1	1	0	0	0	1	Disagreement
016-Paper1115	A Multi-Task Method for Immunofixation Electrophoresis Image Classification	The link of the source code is given in the the Implementation details (Section 3).	0	0	1	0	0	1. (none) statement	3. (+) comments	Although data and code are not provided, the method description is clear. I expect the method to be reproducible.	1	1	1	0	0	3. (+) statement	4. (-/+) comments	The authors provide a fair amount of details about the training setup and the architecture being used. With the dataset being private, the dataset statistics are available in the supplementary material.	1	1	0	1	0	1. (none) statement	4. (-/+) comments	Reproducible	Reproducible	Irreproducible	2	2	2	1	0	2	Disagreement
017-Paper2273	A Multi-Task Network for Anatomy Identification in Endoscopic Pituitary Surgery	The data is collected in the representative institute and is not publicly available. The codes will be publically available.	0	1	1	0	0	1. (none) statement	4. (-/+) comments	Reproducibility:   The authors provide a lot of information on how to reproduce this model (model architecture and hyperparameters).   However, There is no mention of providing the trained model or the codebase through an open repository. I would recommend considering this.	1	0	1	1	0	1. (none) statement	4. (-/+) comments	I'm not sure, the dataset is not public, the code is not publically available. My decision is not made upon the reproducibility.	0	1	1	0	0	1. (none) statement	2. (-) comments	Irreproducible	Irreproducible	Irreproducible	1	2	3	1	0	0	Agreement
018-Paper1457	A Novel Multi-Task Model Imitating Dermatologists for Accurate Differential Diagnosis of Skin Diseases in Clinical Images	Although the paper provides some details that can aid reproducibility, it would be beneficial to release the code and dataset to make the research more reproducible.	0	1	1	0	0	1. (none) statement	4. (-/+) comments	The paper has good reproducibility for it has a clear model discussion, sufficient formula derivation and implementation details.	1	0	0	0	0	3. (+) statement	3. (+) comments	This paper can be reproduced.	0	0	0	0	0	3. (+) statement	1. (none) comments	Irreproducible	Reproducible	Reproducible	1	1	1	0	0	2	Disagreement
019-Paper0813	A Novel Video-CTU Registration Method with Structural Point Similarity for FURS Navigation	The manuscript does not mention the publication of the code/dataset if paper is accepted.	0	1	1	0	0	1. (none) statement	2. (-) comments	Good	0	0	0	0	0	3. (+) statement	1. (none) comments	The reproducibility of the paper is satisfactory, although the code is not open accessed.	0	0	1	0	0	3. (+) statement	2. (-) comments	Irreproducible	Reproducible	Reproducible	0	1	2	0	0	2	Disagreement
020-Paper2659	A One-class Variational Autoencoder (OCVAE) cascade for classifying atypical bone marrow cell sub-types	Based on what was reported by the authors of the article and based on the Reproducibility Checklist, I believe that the reproducibility details are adequate. However, if it were possible to focus my concerns on the experimental part described above, the reproducibility of the paper would also benefit.	0	0	0	0	0	3. (+) statement	2. (-) comments	The method description is clear enough, and authors are publishing the code. Dataset is publicly available.	1	1	1	0	0	3. (+) statement	3. (+) comments	Reproducibility should be possible, as training and evaluation code is provided (based on the checklist).	0	0	1	0	0	3. (+) statement	3. (+) comments	Reproducible	Reproducible	Reproducible	1	1	2	0	0	3	Agreement
021-Paper2349	A Patient-Specific Self-supervised Model for Automatic X-ray/CT Registration	The reproducibility is ok since most of the details are included in this paper. The code and data will not be released.	0	1	1	0	0	3. (+) statement	4. (-/+) comments	Sufficient information is provided to reproduce the experiments, for instance using a public CT dataset.	0	0	0	0	0	3. (+) statement	1. (none) comments	Clear pipeline introduction, while the introduction of the proposed refinment model is a bit simplified to follow its performance;  Clear delination of experiments including DRR and X-rays cases.	1	0	0	1	0	1. (none) statement	3. (+) comments	Reproducible	Reproducible	Reproducible	1	1	1	1	0	3	Agreement
022-Paper3224	A Privacy-Preserving Walk in the Latent Space of Generative Models for Medical Applications	Reproducibility reported by the authors is accurate	0	0	0	0	0	1. (none) statement	3. (+) comments	The information that the authors provide is satisfactory, however thecode is not provided.	0	0	1	0	0	1. (none) statement	4. (-/+) comments	The datasets used are publicly available. The hyperparameters and training details are described in the paper. They promise to release the code.	0	1	1	1	0	1. (none) statement	3. (+) comments	Reproducible	Irreproducible	Reproducible	0	1	2	1	0	2	Disagreement
023-Paper0753	A Reliable and Interpretable Framework of Multi-view Learning for Liver Fibrosis Staging	The data provided about the networks structure and hyperparameters are enough to reproduce the code.	1	0	0	1	0	3. (+) statement	3. (+) comments	Open-source is encouraged.	0	0	1	0	0	1. (none) statement	1. (none) comments	I think the proposed method is reproducible.	0	0	0	0	0	3. (+) statement	1. (none) comments	Reproducible	Unusable	Reproducible	1	0	1	1	0	2	Agreement
024-Paper1104	A Semantic-guided and Knowledge-based Generative Framework for Orthodontic Visual Outcome Preview	Fine, however, the dataset or link to the dataset needed to run the code is not available.	0	1	0	0	0	3. (+) statement	2. (-) comments	The dataset is private and the code is not open source.	0	1	1	0	0	1. (none) statement	2. (-) comments	The labeling process of the data to obtain ground truth is not clearly explained.	0	1	0	0	0	1. (none) statement	2. (-) comments	Reproducible	Irreproducible	Irreproducible	0	3	1	0	0	1	Disagreement
025-Paper1008	A Sheaf Theoretic Perspective for Robust Prostate Segmentation	The authors provide some details.	0	0	0	0	0	1. (none) statement	0. Unusable (comments)	Equations are clear and thanks to Figure 2, all the details seem to be given for reproducibility, nothing to say.	1	0	0	0	0	3. (+) statement	3. (+) comments	The presented results should be easily reproducible since the source code will be made publicly available and one of the experiments is based solely on public data.	0	1	1	0	0	3. (+) statement	3. (+) comments	Unusable	Reproducible	Reproducible	1	1	1	0	0	2	Agreement
026-Paper2327	A Small-Sample Method with EEG Signals Based on Abductive Learning for Motor Imagery Decoding	Good. The authors will release the code.	0	0	1	0	0	3. (+) statement	3. (+) comments	It would be easy to reproduce if they make their code public.	0	0	1	0	0	1. (none) statement	1. (none) comments	The code could have been already released at the submission stage.	0	0	1	0	0	1. (none) statement	2. (-) comments	Reproducible	Unusable	Irreproducible	0	0	3	0	0	1	Disagreement
027-Paper1755	A Spatial-Temporal Deformable Attention based Framework for Breast Lesion Detection in Videos	The authors used a public dataset and claimed they would publish their code upon acceptance.	0	1	1	0	0	1. (none) statement	3. (+) comments	The proposed model architecture and the implementation details are well provided .	1	0	0	0	0	1. (none) statement	3. (+) comments	In the paper a lot of details that allow the reproducibility of the method are given. However, it is not clear the distribution of data in training/validation sets.	0	0	0	1	0	1. (none) statement	2. (-) comments	Reproducible	Reproducible	Irreproducible	1	1	1	1	0	2	Disagreement
028-Paper2027	A Spatial-Temporally Adaptive PINN Framework for 3D Bi-Ventricular Electrophysiological Simulations and Parameter Inference	I have a few minor comments.    I recommend the authors to better describe the time-stepping strategy and to further justify this choice in relation to the existing adaptation strategies.    I can't find the temporal discretization strategy. For several schemes (eg BDF-2), the use of a variable time step will affect the coefficients multiplying the different approximations. The authors should clarify this point.    Typo on page 5, paragraph 2 "is acehived".	0	0	0	0	0	0. Unusable (statement)	0. Unusable (comments)	The method proposed in the paper looks reproducible.	0	0	0	0	0	3. (+) statement	1. (none) comments	The method is overall clearly explained. Some additional details would be needed for a practical implementation: in particular, what are the requirements for the numerical simulation (what kind of geometry representation / computational grid, temporal and spatial resolution).	1	0	0	0	0	1. (none) statement	4. (-/+) comments	Unusable	Reproducible	Irreproducible	1	0	0	0	0	1	Disagreement
029-Paper0501	A Style Transfer-based Augmentation Framework for Improving Segmentation and Classification Performance across Different Sources in Ultrasound Images	The followings are the detailed comments to the authors.    In Fig. 2, there are no inputs or outputs specified. Data augmentation generally produces variation in the training data. Fig. 2, on the other hand, contains a training source and a testing source. What do they indicate?    Does $A$ in Eq. (1) denote the feature map obtained after global average pooling? Also, in Eq. (1), is the same dynamic range noise given to the mean and variance?    Experiments to evaluate accuracy should be conducted using not only private datasets, but also public datasets.    Each dataset is divided into training and test. In general, we divide each dataset into training, validation, and test. What is the reason for not setting validation?    In addition to evaluation within the dataset, experiments should also be conducted on cross DB to demonstrate the generality of the data augmentation. Cross-validation should also be performed to reduce data bias.    Table II is referenced, but there is no Table II.    Since AutoAug is cited in the paper, a comparison with AutoAug would be helpful.    In the results of Table 1, why are LD1 and TD1 results for the training data?	0	0	0	0	0	0. Unusable (statement)	0. Unusable (comments)	The authors have not provided an adequate description of the dataset utilized in the study, which may hinder the reader's understanding of the context and the applicability of the proposed method. Furthermore, the lack of information regarding the preprocessing steps implemented in the research could adversely affect the reproducibility of the method, thereby limiting its potential adoption by other researchers	1	1	0	0	0	1. (none) statement	2. (-) comments	The network architecture and training is explained but dataset is not available online	1	1	0	1	0	1. (none) statement	4. (-/+) comments	Unusable	Irreproducible	Irreproducible	2	2	0	1	0	0	Agreement
030-Paper3722	A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging	The results are based on the analysis of a local dataset using the proposed method, which is not public. No information was provided in the reproducibility checklist. it is difficult to access the reproducibility of this work.	0	1	0	0	0	1. (none) statement	2. (-) comments	The authors have not properly filled out the reproducibility form (all NA)	0	0	0	0	0	1. (none) statement	2. (-) comments	No code or data was provided along with the paper.	0	1	1	0	0	1. (none) statement	2. (-) comments	Irreproducible	Irreproducible	Irreproducible	0	2	1	0	0	0	Agreement
031-Paper1001	A Transfer Learning Approach to Localise a Deep Brain Stimulation Target	The work should be reproducible with reasonable efforts, especially as the authors indicated that multiple key items including the code would be made public.	0	0	1	0	0	3. (+) statement	3. (+) comments	The authors relied on some public datasets and transfer knowledge to a different domain, so as far as I can judge, it might be reproducible for other group's data.	0	1	0	0	0	3. (+) statement	3. (+) comments	The model is difficult to be reproduced.The model setup and training details are not decribed, which can make the work less reproducible.	1	0	0	1	0	2. (-) statement 	2. (-) comments	Reproducible	Reproducible	Irreproducible	1	1	1	1	0	2	Disagreement
032-Paper1827	A Unified Deep-Learning-Based Framework for Cochlear Implant Electrode Array Localization	No dataset, no code. It might be difficult to reproduce	0	1	1	0	0	2. (-) statement 	2. (-) comments	will be ok	0	0	0	0	0	3. (+) statement	1. (none) comments	While none of the datasets is accessible, the reproducibility of the methods is possible thanks to the clear explanation of the implementation details for the presented algorithms.	1	1	0	0	0	3. (+) statement	4. (-/+) comments	Irreproducible	Reproducible	Reproducible	1	2	1	0	0	2	Disagreement
033-Paper2320	A Video-based End-to-end Pipeline for Non-nutritive Sucking Action Recognition and Segmentation in Young Infants	training dataset is hidden.  code will be made public.  small portion of data will be made public.	0	1	1	0	0	1. (none) statement	4. (-/+) comments	From what I undestand the main dataset they created will not be public. SInce it inlucdes that faces of babies, recorded by the research team, it is understandable it will not be made public. Yet this will make it harder to compete with the results presented by this study.	0	1	0	0	0	1. (none) statement	2. (-) comments	The authors mentioned they would release their code and a part of the datasets. I do not have further worries on the reproducibility.	0	1	1	0	0	1. (none) statement	3. (+) comments	Irreproducible	Irreproducible	Reproducible	0	3	2	0	0	1	Disagreement
034-Paper2791	A2FSeg: Adaptive Multi-Modal Fusion Network for Medical Image Segmentation	Reproducibility is OK.	0	0	0	0	0	3. (+) statement	1. (none) comments	authors claim source code is provided but no link is provided in the text.	0	0	1	0	0	1. (none) statement	2. (-) comments	Largely reproducible.	0	0	0	0	0	3. (+) statement	1. (none) comments	Reproducible	Irreproducible	Reproducible	0	0	1	0	0	2	Disagreement
035-Paper2655	ACC-UNet: A Completely Convolutional UNet model for the 2020s	The results are based on public dataset. Code is also provided.	0	1	1	0	0	1. (none) statement	3. (+) comments	The 5 dataset used in this paper provide a solid basis of the evaluation. But, no access to the dataset will limit the reproducibility of the paper.	0	1	0	0	0	1. (none) statement	4. (-/+) comments	Given the fact that the authors have anonymously published their source code together with the training/evaluation pipelines, there are no issues related to the paper's reproducibility. The readers can therefore follow into detail how the architecture works.  Additionally, all the details of the architecture, training procedures, experiments have been clearly described in the article.	1	0	1	1		3. (+) statement	3. (+) comments	Reproducible	Irreproducible	Reproducible	1	2	2	1	0	2	Disagreement
036-Paper2373	Accurate and Robust Patient Height and Weight Estimation in Clinical Imaging using a Depth Camera	Not clear if the code or the large dataset will be public avaialble.	0	1	1	0	0	1. (none) statement	2. (-) comments	The large dataset the authors present is not publicly available. Also, as mentioned above, the pre-processing steps are not explained in a way that can be reproduced. Additionally, the pre-training with landmark detection lacks more explanations: which landmarks, how many, how were they annotated...	1	1	0	0	0	1. (none) statement	2. (-) comments	The deep learning architecture was common and reproducible. The data preprocessing was well explained.	1	0	0	0	0	1. (none) statement	3. (+) comments	Irreproducible	Irreproducible	Reproducible	2	2	1	0	0	1	Disagreement
037-Paper1541	Accurate multi-contrast MRI super-resolution via a dual cross-attention transformer network	The paper provides sufficient information for reproducibility.	0	0	0	0	0	3. (+) statement	1. (none) comments	Common MRI datasets are utilized for training and testing. Furthermore, the authors state that "The code for DCAMSR will be available at GitHub after the blind review" - so probably a high level of reproducibility will be ensured if this draft is accepted for publication at the MICCAI.	0	1	1	0	0	3. (+) statement	3. (+) comments	The authors completed the reproducibility checklist without fully committing to its requirements. For instance, they listed "an analysis of statistical significance of reported differences in performance between methods" on the checklist, but the paper does not provide any statistical analysis for performance comparison. This lack of adherence to the reproducibility checklist raises significant concerns about the credibility of the self-claimed reproducibility.	0	0	0	1	1	2. (-) statement 	2. (-) comments	Reproducible	Reproducible	Irreproducible	0	1	1	1	1	2	Disagreement
038-Paper0867	ACTION++: Improving Semi-supervised Medical Image Segmentation with Adaptive Anatomical Contrast	Authors have provided enough details in the paper. It would be great if they can release the code after publication.	0	0	1	0	0	3. (+) statement	1. (none) comments	I think the paper is reproducible.	0	0	0	0	0	3. (+) statement	1. (none) comments	The reproducibility of the paper is sufficient.	0	0	0	0	0	3. (+) statement	1. (none) comments	Reproducible	Reproducible	Reproducible	0	0	1	0	0	3	Agreement
039-Paper1160	ACT-Net: Anchor-context Action Detection in Surgery Videos	The code and dataset used in this paper will not be provided as indicated. This would not prove that the results are reproducible.	0	1	1	0	0	1. (none) statement	2. (-) comments	At the moment, the paper is not reproducible since the dataset is not public and the code is not available.	0	1	1	0	0	1. (none) statement	2. (-) comments	may not reproducible as the author didn't release code	0	0	1	0	0	1. (none) statement	2. (-) comments	Irreproducible	Irreproducible	Irreproducible	0	2	3	0	0	0	Agreement
040-Paper2061	Acute Ischemic Stroke Onset Time Classification with Dynamic Convolution and Perfusion Maps Fusion	code availability checked, data is not available although I believe similar or larger size of CTP data can be easily found at many institutions to try the proposed method. Some parts of the method lack details, need to see the code to double check.	1	1	1	0	0	1. (none) statement	4. (-/+) comments	The authors have provided a comprehensive description of the model, which includes mathematical formulations of the attention modules, as well as a clear graphical illustration. A clear description of the data and its preprocessing is warranted.	1	1	0	0	0	1. (none) statement	3. (+) comments	The paper contains sufficient details about the methods, but the lack of clarity significantly detracts from the reproducibility. The authors indicate in their reproducibility checklist that they will make source code available, but this is not indicated in the manuscript. The dataset is private.	1	1	1	0	0	1. (none) statement	4. (-/+) comments	Irreproducible	Reproducible	Irreproducible	3	3	2	0	0	1	Disagreement
041-Paper1499	Adapter Learning in Pretrained Feature Extractor for Continual Learning of Diseases	Some details are provided to implement their method, but source code is unavailable for review.								Yes, it is reproducibile.								Good. key resources (e.g., proofs, code, data) are available and sufficient details (e.g., proofs, experimental setup) are described such that an expert should be able to reproduce the main results.											0	0	0	0	0	0	
042-Paper2125	Adaptive Multi-scale Online Likelihood Network for AI-assisted Interactive Segmentation	If the code will be publicly available, there would be no issue with reproducibility.								The reproducibility of the paper is good with code to be released. Expert evaluation is introduced clearly to reproduce.								The reproducibility seems to be good. The authors use publicly available datasets for training/evaluation and have implemented their code with MONAI Label to facilitate reproduction of results and access to the community.											0	0	0	0	0	0	
043-Paper1681	Adaptive Region Selection for Active Learning in Whole Slide Image Semantic Segmentation	For all code related to this work that they will release if this work is accepted								Not so good in reproduction due to the code is not release and the performance of the method can vary quite a lot at different random condition referring to the experiment results (which is one drawback in this kind of active learning method).								In the Reproducibility Response, the authors promised to release the codes, and the data they used were from public dataset. Therefore, it is easy to carry out the reproduction of the paper.											0	0	0	0	0	0	
044-Paper1894	Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs	Since all the code and datasets will be made public, there are good chances for being a reproducible paper.								It is reproducible since it is clearly described and code will be public.								The methods seems reproducible. The authors also promise to release the code.											0	0	0	0	0	0	
045-Paper0722	Additional Positive Enables Better Representation Learning for Medical Images	Good, the authors claim the availability of their source codes if accepted.								There are enough implementation details but providing the code would highly improve reproducibility.								It is mentioned that access to code and trained models will be available. I would suggest that anonymous github account with code is published and weights are shared also in anonymous way. These can then be easily pointed to non blind repositories if the manuscript is accepted.											0	0	0	0	0	0	
046-Paper1865	Adjustable Robust Transformer for High Myopia Screening in Optical Coherence Tomography	The authors work on a closed-source dataset.								The code is released.								Good reproducibility. The dataset is not public. The code is online.											0	0	0	0	0	0	
047-Paper0340	Adult-like Phase and Multi-scale Assistance for Isointense Infant Brain Tissue Segmentation	It is reproducible given the code and data								The reproducibility of this paper is good except for the link of the code that is not provided.								Although some technical details are missing in the current version of manuscript, the authors committed in the checklist that will provide codes. The data is public. Work is reproducible.											0	0	0	0	0	0	
048-Paper1475	AirwayFormer: Structure-Aware Boundary-Adaptive Transformers for Airway Anatomical Labeling	The description seems to be very clear and reproducible.								There are several unclear aspects in the authors' methodology description. This prevents the article to be fully understood and thus reproduced.  I recommend that the authors provide the code associated to this article.								The techique details is explained well. With the input from the previous work [21], the results could be reproducible.											0	0	0	0	0	0	
049-Paper0690	Alias-Free Co-Modulated Network for Cross-Modality Synthesis and Super-Resolution of MR Images	It seems to be reproducible.								Implementation details are somewhat provided.								No information is provided in the text. But, the authors state that they will make the code available upon acceptance.											0	0	0	0	0	0	
