category		contribution	contribution	contribution	strengths	strengths	strengths	weakness	weakness	weakness	reproducibility	reproducibility	reproducibility	detailed	detailed	detailed	justification	justification	justification
063-Paper0270	Anatomical-aware Point-Voxel Network for Couinaud Segmentation in Liver CT	70	19	49	174	8	25	99	36	12	1	83	6	13	591	53	59	8	5
064-Paper0383	Anatomy-Driven Pathology Detection on Chest X-rays	72	69	14	8	40	28	33	43	124	59	18	8	109	158	50	52	6	69
065-Paper1594	Anatomy-informed Data Augmentation for Enhanced Prostate Cancer Detection	72	27	76	98	49	84	95	107	68	5	5	12	23	72	338	14	47	52
066-Paper2034	Aneurysm Pose Estimation with Deep Learning	67	128	73	101	76	53	45	192	30	33	15	76	34	2	229	28	18	59
067-Paper0522	AngioMoCo: Learning-based Motion Correction in Cerebral Digital Subtraction Angiography	62	128	28	14	39	23	52	466	81	9	16	16	52	68	52	14	126	14
068-Paper2152	Annotator Consensus Prediction for Medical Image Segmentation with Diffusion Models	14	29	46	28	21	47	35	20	161	10	13	14	20	87	16	21	25	3
069-Paper2200	Anti-Adversarial Consistency Regularization for Data Augmentation: Applications to Robust Medical Image Segmentation	109	85	24	105	87	14	87	306	133	20	20	7	145	15	23	49	114	6
070-Paper2382	AR2T: Advanced Realistic Rendering Technique for Biomedical Volumes	105	67	143	69	41	179	163	273	134	97	21	150	141	28	294	36	45	148
071-Paper3171	Ariadne's Thread: Using Text Prompts to Improve Segmentation of Infected Areas from Chest X-ray images	82	91	46	52	83	62	54	121	42	40	3	9	193	14	19	60	11	40
072-Paper1249	ArSDM: Colonoscopy Images Synthesis with Adaptive Refinement Semantic Diffusion Models	91	101	57	59	98	12	39	134	260	12	31	12	39	85	10	32	45	15
073-Paper0943	Artifact Restoration in Histology Images with Diffusion Probabilistic Models	27	35	82	45	30	67	32	19	19	14	3	169	109	55	206	5	6	108
074-Paper1934	ASC: Appearance and Structure Consistency for Unsupervised Domain Adaptation in Fetal Brain MRI Segmentation	38	22	29	56	9	28	156	13	179	11	23	13	76	95	23	29	17	12
075-Paper1927	ASCON: Anatomy-aware Supervised Contrastive Learning Framework for Low-dose CT Denoising	64	59	61	87	77	52	53	46	93	16	20	13	52	34	53	23	31	47
076-Paper2274	Assignment Theory-Augmented Neural Network for Dental Arch Labeling	42	57	67	15	56	9	85	48	68	2	11	1	40	42	50	40	21	21
077-Paper1850	Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation	78	36	93	55	18	42	261	45	21	12	13	43	103	187	332	35	23	27
078-Paper2614	Attentive Deep Canonical Correlation Analysis for Diagnosing Alzheimer's Disease using Multimodal Imaging Genetics	18	104	95	33	78	116	42	75	128	17	1	65	100	22	2	18	4	25
079-Paper1623	atTRACTive: Semi-automatic white matter tract segmentation using active learning	33	106	20	38	261	31	8	52	81	13	97	11	25	482	10	63	34	14
080-Paper1042	AUA-dE: An adaptive uncertainty guided attention for diffusion MRI models estimation	67	33	51	23	33	94	104	28	107	10	1	17	100	344	5	33	25	32
081-Paper3582	Automated CT Lung Cancer Screening Workflow using 3D Camera	86	118	48	164	88	26	220	67	178	28	39	51	47	124	99	38	74	10
082-Paper0174	Automatic Bleeding Risk Rating System of Gastric Varices	60	80	51	24	77	52	92	56	22	17	14	25	45	41	97	17	48	17
083-Paper0836	Automatic Retrieval of Corresponding US Views in Longitudinal Examinations	124	158	67	22	155	49	75	201	340	16	56	16	49	53	177	17	46	40
084-Paper2746	Automatic Segmentation of Internal Tooth Structure from CBCT Images using Hierarchical Deep Learning	54	22	66	40	19	129	91	29	27	48	4	37	133	40	67	35	29	22
085-Paper2247	Automatic Surgical Reconstruction for Orbital Blow-out Fracture via Symmetric Prior Anatomical Knowledge-Guided Adversarial Generative Network	26	103	91	18	47	68	48	58	66	16	71	22	9	75	217	19	12	9
086-Paper0682	B-Cos Aligned Transformers Learn Human-Interpretable Features	76	71	81	78	27	137	134	106	383	4	4	7	15	96	210	28	22	27
087-Paper2016	BerDiff: Conditional Bernoulli Diffusion Model for Medical Image Segmentation	139	43	29	50	82	60	10	156	212	21	8	17	27	2	72	58	8	12
088-Paper1399	Beyond the Snapshot: Brain Tokenized Graph Transformer for Longitudinal Brain Functional Connectome Embedding	61	21	72	61	65	35	103	82	71	23	13	11	252	125	22	7	18	25
089-Paper1392	Bidirectional Mapping with Contrastive Learning on Multimodal Neuroimaging Data	58	67	102	65	105	165	41	22	63	1	15	57	46	135	119	14	33	34
090-Paper2993	BigFUSE: Global Context-Aware Image Fusion in Dual-View Light-Sheet Fluorescence Microscopy with Image Formation Prior	34	63	49	142	29	64	25	12	68	13	8	14	19	189	91	35	82	7
091-Paper1973	Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation	88	60	58	86	29	47	251	90	189	3	6	15	8	2	8	12	33	33
092-Paper1650	Boosting Breast Ultrasound Video Classification by the Guidance of Keyframe Feature Centers	39	80	63	32	34	82	17	203	254	1	2	87	118	242	349	20	26	78
093-Paper1247	Boundary Difference Over Union Loss For Medical Image Segmentation	98	42	43	145	134	18	61	41	147	60	12	4	83	163	26	78	53	39
094-Paper2691	Boundary-weighted logit consistency improves calibration of segmentation networks	95	51	133	60	69	269	56	149	235	12	12	87	9	244	117	26	55	37
095-Paper0844	Brain Anatomy-Guided MRI Analysis for Assessing Clinical Progression of Cognitive Impairment with Structural MRI	43	14	13	81	30	13	51	224	111	44	30	1	180	5	2	39	34	20
096-Paper1572	BrainUSL: Unsupervised Graph Structure Learning for Functional Brain Network Analysis	35	26	14	50	49	14	187	44	16	22	10	16	49	145	69	20	9	14
097-Paper1347	Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network	50	83	103	28	55	66	91	49	166	25	23	30	57	276	88	33	38	53
098-Paper2554	Bridging ex-vivo training and intra-operative deployment for surgical margin assessment with Evidential Graph Transformer	15	31	71	24	52	24	20	48	10	15	7	7	56	139	22	26	93	11
099-Paper1146	Building A Bridge: Close The Domain Gap in CT Metal Artifact Reduction	90	24	46	202	24	35	236	150	199	35	7	37	95	11	21	63	4	49
100-Paper2579	Can point cloud networks learn statistical shape models of anatomies?	59	58	51	64	28	155	80	18	168	11	12	32	112	35	139	47	35	52
101-Paper1428	CARL: Cross-aligned Representation Learning for Multi-view Lung Cancer Histology Classification	96	95	40	86	74	30	196	24	98	25	7	35	338	7	586	45	9	46
102-Paper3517	Cascade Transformer Encoded Boundary-Aware Multibranch Fusion Networks for Real-Time and Accurate Colonoscopic Lesion Segmentation	63	81	39	181	102	44	197	80	64	52	16	7	533	23	40	114	25	20
103-Paper0651	CAS-Net: Cross-view Aligned Segmentation by Graph Representation of Knees	71	137	58	41	57	24	155	20	32	17	24	12	38	86	23	17	18	24
104-Paper0442	Category-independent Visual Explanation for Medical Deep Network Understanding	141	33	62	79	37	27	24	32	146	11	25	24	38	116	123	141	31	18
105-Paper0176	Category-level Regularized Unlabeled-to-labeled Learning for Semi-supervised Prostate Segmentation with Multi-site Unlabeled Data	74	54	46	77	81	18	101	21	62	52	3	2	7	12	62	30	14	18
106-Paper2024	CAT-ViL: Co-Attention Gated Vision-Language Embedding for Visual Question Localized-Answering in Robotic Surgery	49	60	78	32	34	132	53	99	214	8	8	40	42	34	79	36	40	19
107-Paper0204	CDiffMR: Can We Replace the Gaussian Noise with K-Space Undersampling for Fast MRI?	66	50	86	73	60	42	30	1	191	33	14	14	103	104	48	32	15	40
108-Paper0672	CellGAN: Conditional Cervical Cell Synthesis for Augmenting Cytopathological Image Classification	20	93	57	85	41	24	62	35	55	13	24	34	32	67	115	70	50	10
109-Paper0692	CenterlinePointNet++: A new point cloud based architecture for coronary artery pressure drop and vFFR estimation	21	80	47	14	27	66	61	24	100	13	16	15	240	95	100	25	14	39
110-Paper0619	Centroid-aware feature recalibration for cancer grading in pathology images	37	64	21	31	77	34	22	138	41	3	34	15	5	27	61	4	18	31
111-Paper2489	Certification of Deep Learning Models for Medical Image Segmentation	69	83	90	60	64	144	184	96	197	161	18	35	178	175	171	71	6	51
112-Paper0586	Chest X-ray Image Classification: A Causal Perspective	30	67	41	43	36	17	15	167	165	2	14	1	145	430	3	17	37	19
113-Paper2463	CheXstray: A Real-Time Multi-Modal Monitoring Workflow for Medical Imaging AI	23	74	19	66	82	8	61	139	0	9	1	9	14	82	10	20	10	3
114-Paper0478	CircleFormer: Circular Nuclei Detection in Whole Slide Images with Circle Queries and Attention	18	24	69	15	30	59	9	38	47	4	15	22	9	23	69	9	30	19
115-Paper2139	CL-ADDA: Contrastive Learning with Amplitude-Driven Data Augmentation for fMRI-Based Individualized Predictions	53	30	61	148	31	39	170	47	230	17	3	15	3	243	48	34	37	23
116-Paper0966	Class Specific Feature Disentanglement And Text Embeddings For Multi-Label Generalized Zero Shot CXR Classification	95	22	59	80	17	52	77	39	32	15	11	1	30	232	43	37	16	5
117-Paper0956	Class-Aware Feature Alignment for Domain Adaptative Mitochondria Segmentation	64	92	61	119	363	55	236	245	50	46	136	14	15	140	47	56	89	16
118-Paper1871	Client-Level Differential Privacy via Adaptive Intermediary in Federated Medical Imaging	53	47	23	43	25	77	16	71	273	45	4	35	45	6	303	43	14	69
119-Paper2270	Clinical Evaluation of AI-assisted Virtual Contrast Enhanced MRI in Primary Gross Tumor Volume Delineation for Radiotherapy of Nasopharyngeal Carcinoma	105	31	107	100	38	54	90	157	69	27	15	40	187	45	99	32	9	71
120-Paper1961	CLIP-Lung: Textual Knowledge-Guided Lung Nodule Malignancy Prediction	129	53	51	433	19	29	190	113	31	112	9	8	626	102	61	140	10	16
121-Paper0680	Cluster-Induced Mask Transformers for Effective Opportunistic Gastric Cancer Screening on Non-contrast CT Scans	33	91	20	26	19	24	74	11	101	12	23	10	14	206	23	33	11	14
122-Paper2079	Clustering disease trajectories in contrastive feature space for biomarker proposal in age-related macular degeneration	12	28	59	50	11	65	130	37	69	1	26	3	5	373	62	24	34	86
123-Paper0169	CoactSeg: Learning from Heterogeneous Data for New Multiple Sclerosis Lesion Segmentation	91	57	52	31	40	159	93	18	205	42	13	17	358	60	142	30	16	38
124-Paper1473	Co-assistant Networks for Label Correction	34	16	31	58	25	35	44	60	70	23	3	11	143	45	13	31	17	10
125-Paper1393	Cochlear Implant Fold Detection in Intra-operative CT using Weakly Supervised Multi-Task Deep Learning	139	67	46	124	47	6	403	74	8	27	61	21	51	458	101	149	26	52
126-Paper2305	CoLa-Diff: Conditional Latent Diffusion Model for Multi-Modal MRI Synthesis	55	68	24	82	52	29	121	91	99	30	20	9	124	57	11	45	40	19
127-Paper0107	Co-Learning Semantic-aware Unsupervised Segmentation for Pathological Image Registration	106	48	40	121	59	39	156	440	30	40	14	50	20	72	94	24	17	43
128-Paper1979	Collaborative modality generation and tissue segmentation for early-developing macaque brain MR images	78	127	54	58	13	51	12	172	38	7	18	14	7	37	135	9	47	8
129-Paper0594	COLosSAL: A Benchmark for Cold-start Active Learning for 3D Medical Image Segmentation	117	86	20	183	138	66	378	136	113	4	10	30	421	93	94	62	93	26
130-Paper0232	Combat Long-tails in Medical Classification with Relation-aware Consistency and Virtual Features Compensation	71	78	106	81	49	160	58	39	164	39	102	46	422	254	177	57	55	24
131-Paper2991	Combating Medical Label Noise via Robust Semi-supervised Contrastive Learning	140	29	51	38	30	61	50	235	21	29	69	5	202	46	60	26	112	10
132-Paper1939	Community-Aware Transformer for Autism Prediction in fMRI Connectome	61	66	63	49	77	103	74	165	94	18	34	10	223	199	88	126	64	54
133-Paper1089	Computationally Efficient 3D MRI Reconstruction with Adaptive MLP	59	28	29	194	27	56	152	74	54	5	5	7	110	28	61	70	38	39
134-Paper3305	Conditional Diffusion Models for Weakly Supervised Medical Image Segmentation	38	93	135	62	140	90	254	119	23	25	62	21	86	104	72	59	136	68
135-Paper0259	Conditional Physics-Informed Graph Neural Network For Fractional Flow Reserve Assessment	108	38	133	60	28	90	62	26	119	24	33	28	408	145	34	36	25	76
136-Paper1290	Conditional Temporal Attention Networks for Neonatal Cortical Surface Reconstruction	52	50	80	150	64	23	32	213	24	5	17	2	272	434	57	15	81	23
137-Paper0848	Consistency-guided Meta-Learning for Bootstrapping Semi-Supervised Medical Image Segmentation	44	58	140	91	66	20	72	40	62	17	13	11	58	102	78	13	35	17
138-Paper1221	Content-Preserving Diffusion Model for Unsupervised AS-OCT image Despeckling	14	46	65	20	35	47	104	90	78	16	14	10	58	12	13	13	14	18
139-Paper0770	Context-Aware Pseudo-Label Refinement for Source-Free Domain Adaptive Fundus Image Segmentation	21	91	81	10	54	23	26	68	117	33	18	11	25	130	11	14	9	25
140-Paper0621	Continual Learning for Abdominal Multi-Organ and Tumor Segmentation	78	43	109	63	33	122	74	34	201	9	6	55	138	20	70	63	10	66
141-Paper3247	ConTrack: Contextual Transformer for Device Tracking in X-ray	55	88	54	130	43	121	171	97	54	12	40	14	174	904	199	16	51	26
142-Paper1275	Contrastive Diffusion Model with Auxiliary Guidance for Coarse-to-Fine PET Reconstruction	127	72	58	95	16	26	53	30	241	10	16	10	22	116	5	23	2	27
143-Paper1098	Contrastive Feature Decoupling for Weakly-supervised Disease Detection	23	25		39	31		45	19		19	16		122	121		22	28	
144-Paper1768	Contrastive Masked Image-Text Modeling for Medical Visual Representation Learning	48	48	45	35	72	50	25	52	44	26	43	9	44	32	17	43	40	34
145-Paper2620	ConvFormer: Plug-and-Play CNN-Style Transformers for Improving Medical Image Segmentation	68	96	50	36	29	74	64	47	170	24	1	21	75	238	113	23	40	63
146-Paper3654	Convolving Directed Graph Edges via Hodge Laplacian for Brain Network Analysis	55	71	25	80	96	30	265	21	53	12	37	25	24	23	39	33	41	46
147-Paper0206	cOOpD: Reformulating COPD classification on chest CT scans as anomaly detection using contrastive representations	34	120	70	17	33	26	83	17	10	15	11	33	40	126	304	5	38	31
148-Paper0603	Correlation-Aware Mutual Learning for Semi-supervised Medical Image Segmentation	83	87	129	23	74	65	138	20	143	18	37	10	268	61	15	11	15	45
149-Paper2102	CorSegRec: A Topology-Preserving Scheme for Extracting Fully-Connected Coronary Arteries from CT Angiography	130	20	47	83	86	61	36	37	83	7	18	47	120	46	67	50	31	47
150-Paper2218	CortexMorph: fast cortical thickness estimation via diffeomorphic registration using VoxelMorph	96	50	39	54	47	46	52	70	36	20	7	27	215	30	129	24	3	30
151-Paper0363	Cortical analysis of heterogeneous clinical brain MRI scans for large-scale neuroimaging studies	65	113	82	63	22	15	131	99	48	27	7	16	128	104	89	60	45	17
152-Paper2725	Coupling Bracket Segmentation and Tooth Surface Reconstruction on 3D Dental Models	51	44	76	12	45	38	20	11	34	1	15	21	165	11	114	7	5	41
153-Paper1449	COVID-19 Pneumonia Classification with Transformer from Incomplete Modalities	16	34	111	14	15	167	5	39	176	18	3	18	9	64	54	2	4	150
154-Paper1030	Cross-adversarial local distribution regularization for semi-supervised medical image segmentation	19	58	63	19	22	79	72	117	73	3	9	19	71	19	8	33	23	27
155-Paper1398	Cross-Dataset Adaptation for Instrument Classification in Cataract Surgery Videos	28	57	27	21	62	31	37	251	46	23	27	20	17	126	251	17	49	41
156-Paper1273	Cross-modulated Few-shot Image Generation for Colorectal Tissue Classification	45	22	49	47	23	32	101	17	106	21	11	7	2	37	30	15	23	27
157-Paper2880	Cross-view Deformable Transformer for Non-displaced Hip Fracture Classification from Frontal-Lateral X-ray Pair	91	68	54	77	63	66	108	93	30	6	23	22	84	19	185	32	41	25
158-Paper1811	CT Kernel Conversion Using Multi-Domain Image-to-Image Translation with Generator-Guided Contrastive Learning	23	16	53	57	22	20	86	104	64	50	1	1	9	104	13	39	2	12
159-Paper3327	CTFlow: Mitigating Effects of Computed Tomography Acquisition and Reconstruction with Normalizing Flows	54	46	116	98	29	131	2	169	21	2	1	44	2	38	120	5	11	28
160-Paper2586	CT-guided, Unsupervised Super-resolution Reconstruction of Single 3D Magnetic Resonance Image	81	39	42	13	51	25	43	173	115	9	11	13	20	86	29	10	27	15
161-Paper2090	CXR-CLIP: Toward Large Scale Chest X-ray Language-Image Pre-training	63	135	22	22	89	21	282	52	51	282	46	5	282	8	52	28	10	12
162-Paper0489	CycleSTTN: A Learning-Based Temporal Model for Specular Augmentation in Endoscopy	51	37	67	25	49	45	159	58	108	10	17	12	64	29	5	37	33	5
163-Paper1426	DARC: Distribution-Aware Re-Coloring Model for Generalizable Nucleus Segmentation	97	39	86	44	24	50	24	227	232	12	15	6	12	33	1	12	42	11
164-Paper1312	DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs	40	26	107	51	20	96	158	20	185	15	12	11	47	57	24	27	20	55
165-Paper3286	DAST: Differentiable Architecture Search with Transformer for 3D Medical Image Segmentation	30	50	66	30	73	60	18	37	105	9	52	1	8	27	220	27	58	48
166-Paper3478	Data AUDIT: Identifying Attribute Utility- and Detectability-Induced Bias in Task Models	107	101	35	90	48	56	53	52	150	24	6	2	476	24	59	44	32	9
167-Paper2036	DBTrans: A Dual-Branch Vision Transformer for Multi-modal Brain Tumor Segmentation	62	41	36	90	57	67	137	11	94	26	14	25	67	43	305	65	16	20
168-Paper1388	DCAug: Domain-aware & Content-consistent Cross-cycle Framework for Tumor Augmentation	63	118	26	29	129	53	57	135	177	9	15	14	113	135	46	18	110	45
