Paper ID	Paper title	For scoring a given reviewer	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of these two aspects	Put 1 if the reviewer has said that the code is or will be available	Choose the category of statement	Choose the category of comments	For scoring a given reviewer									For scoring a given reviewer									Meta-categories			Aggregate over 3 reviews						Put 1 if all reviewers agree. Put 0 if at least two disagree, or if at least one review is too vague to tell if they agree		
48	Asymmetry Disentanglement Network for Interpretable Acute Ischemic Stroke Infarct Segmentation in Non-Contrast CT Scans 	(based on the article alone) I think the article describes the method sufficiently clear, and gives some of the hyper-parameters, so that a reader can sufficiently reimplement the core method. Although the 3D ResUnet itself may not be able to be replicated (not all hyperparameters are here such as width of layers etc). Less reproducible are likely the results themselves, as they are only 1 run per experiment, which means improvements may be subject to the initialization seed, etc. Overall, average.									seems reproducibable.									Dataset available, parameters chosen given, liekly it can be impelemented whilst following the methodology.																				
49	Atlas-based Semantic Segmentation of Prostate Zones 	The reproducibility of this paper is good.									The authors provide specifics and point to the data they used.									This work utilizes publicly available datasets, Prostate x and Prostate 3T. The methods are clearly described and code publicly available, making this work reproducible.																				
50	Atlas-powered deep learning (ADL) - application to diffusion weighted MRI 	Although the architecture is simple (U-Net), the full method is rather complex. Without the code, it seems unlikely one can reproduce the experiments. Although the authors mentioned in the reproducibility checklist that the code was made available, they did not mention it in the paper.									Nothing to say									Authors state training code will be made available, and already publicly available data is used. Parameters of compared methods are not clearly stated (probably due to space limitations), authors claim were chosen according to original paper description but this does not support reproducibility of SOA results. Unclear if statistical tests are done for the ablation study.																				
51	Attention mechanisms for physiological signal deep learning: which attention should we take? 	The paper seems to be pretty reproducible. I would be concerned that if there are any necessary adjustments to apply the self attention methods in the 1D setting as opposed to the 2D setting where they were proposed, these details have been omitted. Otherwise, network diagrams are given for each of the CNNs and the dataset used seems to be open source.									It is reproducible.									The dataset and code are not disclosed in this paper, so the reproducibility of this paper needs to be further improved.																				
52	Attentional Generative Multimodal Network for Neonatal Postoperative Pain Estimation 	The data used is public and the methods are clearly explain. With these 2 elements the results should be reproducible.									Authors use many public dataset and pre-trained models such as USF-MNPAD-I. The implementation details are well described.									Implementation details have been described.																				
53	Attention-enhanced Disentangled Representation Learning for Unsupervised Domain Adaptation in Cardiac Segmentation 	* The authors shared their code, which thus is highly reproducible.									The authors included model details in the section 2 and released the main code on the GitHub.									I'm not sure if it can be reproduced as some modules seem to be unreasonable in my opinion. But the authors provides the code, which is a plus.																				
54	Attentive Symmetric Autoencoder for Brain MRI Segmentation 	Authors state code will be released									As the authors indicate in Abstract, the code and model will be released after accepted. The datasets are all open-accessible and the hyper-parameters of pretraining, fine-tuning and ASA model are also provided in paper, so this work should be reproducible.									The author did sufficient experiments on different public dataset, so it is easy to reproduce.																				
55	Autofocusing+: Noise-Resilient Motion Correction in Magnetic Resonance Imaging 	The authors included scripts but this reviewer encourages the authors to make them public accessible.									Source code is provided. Data from fastMRI database.									The study was conducted on a publicly available dataset. The method is described and could be reimplemented. The authors do not report if source code will be shared.																				
56	AutoGAN-Synthesizer: Neural Architecture Search for Cross-Modality MRI Synthesis 	The code and the data are not available to aid reproducibility.									I believe their experiments are reproducibile.									Since the authors mention they will provide the code to public, it is highly possible to reproduce this paper.																				
57	AutoLaparo: A New Dataset of Integrated Multi-tasks for Image-guided Surgical Automation in Laparoscopic Hysterectomy 	There are some improvements that need to be made on the reproducibility aspect such as: Sharing the data set or at very least a sample of it, especially since this is the data set is the main contribution of this paper. A clear explanation of some of the assumptions made with respect to the data set is needed, especially the parts of the data set on laparoscope motion prediction and anatomy segmentation.									The dataset will be released upon paper publication.									The authors stated that the dataset will be released upon the publication of the paper.																				
58	Automated Classification of General Movements in Infants Using Two-stream Spatiotemporal Fusion Network 	The code is released but the dataset is not.									The code is made available with all steps.									code is avialalbe, dataset not.																				
59	Automatic Detection of Steatosis in Ultrasound Images with Comparative Visual Labeling 	Reproducible. Code and data will be made publicly available.									Good reproducibility. Authors plan to release the codes and the dataset.									One of the datasets used in this paper is public, and the data provided about the networks structure and hyperparameters are enough to reproduce the code. Although the authors have mentioned that they will make the code public.																				
60	Automatic identification of segmentation errors for radiotherapy using geometric learning 	X									The dataset is publicly available, and the authors claim that the code will be made available as well. However, the architecture of the networks is not becoming clear with Fig.2 and 3 only. What are the values in the CNN, GNN and fully connected blocks in Fig.2+3 indicating? Also, the dimension of the features generated by the CNN and later the fully connected layer for the classification is relevant information that is missing.									Due to the provided implement details, I guess it is reproducible.																				
61	Automatic Segmentation of Hip Osteophytes in DXA Scans using U-Nets 	A public database is used, the UK BioBank. No proof of reproducibility.									Overall, I consider reproducibility of the study as high. Several remarks below. The exact model architecture is not given explicitly, eventhough it is understandable from the text to some extent. The authors have checked the code release in the checklist, however, there is no link to the source code in the article. Software versions are not specified for the critical components of the pipeline.									The results should be well reproducible. The authours employed the standard U-Net architecture for segmentation and the initial landmark detection was also carried out using bonefinder software which is also available upon request. The dataset is from UKBB which is also available upon request.																				
62	Automating Blastocyst Formation and Quality Prediction in Time-Lapse Imaging with Adaptive Key Frame Selection 	The authors state they will release the code. Also, the description of the method is clear and simple enough to replicate the proposed architecture and training methodology. The authors state they will release data in the reproducibility form. This would be great as to my knowledge there is no equivalent public, open data.									Not good, as they evaluate the method on their in-house dataset, while do not mention the release plan of both dataset and code									Dataset and codes are not publicly available.																				
63	Automation of clinical measurements on radiographs of children's hips 	Methods are well described and/or referenced and can be reproduced. Results are not reproducible since the dataset is not publicly available.									To the authors' own admission the dataset is lacking examples of cerebral palsy although the the RMP measure, for which SOTA is indicated from the results, is an important measure in cerebral palsy monitoring. As the approach applies a known method, the code is not provided (not applicable)									There is no detail about the random-forest hyperparameters as well as visual descriptors chosen. Therefore this method is barely impossible to reproduce.																				
64	BabyNet: Residual Transformer Module for Birth Weight Prediction on Fetal Ultrasound Video 	The code is publicly available, but the dataset is not.									Authors have provided their source code.									The authors have provided source code at anonymized Github repository. They state that the dataset and pre-trained models will be made available after acceptance.																				
65	Bayesian dense inverse searching algorithm for real-time stereo matching in minimally invasive surgery 	The results are reproducible.									The authors have provided their code of the implementation.									The reproducibility is standard. The authors offer to provide all useful material.																				
66	Bayesian Pseudo Labels: Expectation Maximization for Robust and Efficient Semi-Supervised Segmentation 	Authors have provided necessary information to be able to reproduce this work.									Maybe.									The method is described well enough to be reproduced. The paper uses publicly available datasets and the code will be published.																				
67	Benchmarking the Robustness of Deep Neural Networks to Common Corruptions in Digital Pathology 	Poor. No detail on implementation anywhere, and no code to be published.									This paper seems to be simple to realized but still be a bit unclear.									No code is given (although the authors state this in the questionaire). The authors relate to one of the datasets as a possible benchmark, yet it is not available and no link is provided. It will thus be hard to reproduce the results.																				
68	BERTHop: An Effective Vision-and-Language Model for Chest X-ray Disease Diagnosis 	It looks it is possible to reproduce of the proposed method as it is based on the combination of existing methods.									The dataset is public and the hyper-parameters have been listed.									The authors did not declare whether code will be made public. The individual model components are publicly available making the proposed architecture reproducible. The dataset used is publicly available.																				
69	Bi-directional Encoding for Explicit Centerline Segmentation by Fully-Convolutional Networks 	The implementation code is unavailable and  some part of implementation are unclear.									Reproducible.									According to the reproducibility checklist, the authors do not plan to provide their training or evaluation code. The method itself is fairly straightforward and well described, and a re-implementation should be possible. Most hyperparameters used for training the models are provided in the supplementary material, however, only the CLIP data set is available for reproducing results.																				
70	BiometryNet: Landmark-based Fetal Biometry Estimation from Standard Ultrasound Planes 	The part of Landmark Regression Network seems to be reproducible and it is challenging to reproduce the part of Dynamic Orientation Determination. Ideally, the source code should be released.									The work is fully reproducible since public data sets were used									It is highly recommended for the authors to release their dataset and code for better reproducibility.																				
71	BMD-GAN: Bone mineral density estimation using x-ray image decomposition into projections of bone-segmented quantitative computed tomography using hierarchical learning 	No proof of reproducibility. Experiments achieved on an in-house dataset. Code should be available.									The code is made available. The data is not made available. There is an extensive note about the parameters used in training Reproducability is likely, dependent on the code released.  There are a lot of details in creating the dataset that are probably crucial to reproducing this work.  So without the dataset it may be hard to reproduce. The source of the data is not well described, what is the fidelity (resolution, contrast, reconstruction) of the underlying images?  This lack of clarity could limit reporducability The methods are well described.									Data does not sound to be available but most codes will be available upon acceptance.																				
72	Boundary-Enhanced Self-Supervised Learning for Brain Structure Segmentation 	The proposed method is reproducible.									Reproducibility is doubtful. Please see my response to Q5.									The authors would like to make all codes publicly available, which ensures good reproducibility.																				
73	BoxPolyp: Boost Generalized Polyp Segmentation using Extra Coarse Bounding Box Annotations 	Some clarification needed.									I believe that the obtained results can be reproduced.									Authors have checked yes for the reproducibility of paper.																				
74	Brain-Aware Replacements for Supervised Contrastive Learning in Detection of Alzheimer's Disease 	The dataset is publicly available and the authors will publish their code. So the results should be reliably reproducible.									The paper reports architectural and experimental setups thoroughly. Thus the results should be with little effort reproducible									The author will release their codes in github.																				
75	Breaking with Fixed Set Pathology Recognition through Report-Guided Contrastive Training 	This looks alright to me.									Good reproducibility. Architecture is well defined and results are demonstrated in open source datasets.									I believe that the obtained results can, in principle, be reproduced. Even though key resources (code) are unavailable at this point, the key details (e.g., proof sketches, experimental setup) are sufficiently well described for an expert to confidently reproduce the main results, if given access to the missing resources.																				
76	Building Brains: Subvolume Recombination for Data Augmentation in Large Vessel Occlusion Detection 	Limited reproducibility because of the lack of clarity in the methods section									No code or data available from the paper.									No code, data or models are shared. The reasons for this are not mentioned. Most hyperparameters are shared, but the strategy to choose them is not described.																				
77	CACTUSS: Common Anatomical CT-US Space for US examinations 	Good, but of course would be better if the code could be made available and US data could be made available.									It is adequate.									The authors reference the US simulation algorithm and CUT network and provide parameters for each. As noted in their checklist code is not provided . Overall this limits reproducibility of their work. It would be of great interest to the community if they provided access to their framework to allow others to leverage well-curated CT (or MR?!) datasets for US applications.																				
78	Calibrating Label Distribution for Class-Imbalanced Barely-Supervised Knee Segmentation 	Reproducibility of the paper seems adequate.  The data used is from an open dataset so would be accessible to future investigators wishing to reproduce the result.  The methods and experiments are thoroughly described. Issues with reproducibility: Some of the methods could be more clearly described (see constructive criticism below).  The code does not appear to be open.  There is not very much detail on the software used to implement the algorithm and experiments.  It is stated that Pytorch was used, the version was omitted, further the operating system was omitted.  The hardware used as has only 1 detail, that a 3090 was used.									I think the reproducibility is OK, for the baseline has opened their code, and the implementation of the three modules for addressing the class imbalance problem is not difficult.									Data is available as a public repository. Algorithms are not available, but methods are described very well, so their implementation will be very easy.																				
79	Calibration of Medical Imaging Classification Systems with Weight Scaling 	The formulation seems clear and reproducible. However, code will not be provided. The validation is performed in three publicly available datasets.									The equations are provdided and the data available as well as code links and in this way I think it has a high chance of reproducibility.									It would be desirable to have algorithm 1 in the form of a function implemented in any language and any framework of choice for the sake of reproducibility.																				
80	Camera Adaptation for Fundus-Image-Based CVD Risk Estimation 	The description of the proposed proposed method is clear.									The paper is believed to be reproducible.									I think this article is reproducible.																				
81	Capturing Shape Information with Multi-Scale Topological Loss Terms for 3D Reconstruction 	Code does not appear to be provided, though the authors do use a pre-existing deep learning method for 3D image reconstruction with its corresponding datasets which have been made publicly available.  Some of the TDA methods (computing persistent homology, along with the optimal transport algorithm) would be difficult to reproduce from scratch.									I do not think I would be able to reproduce this paper from the information provided. Some key details are omitted that would be needed to reproduce the work. There are no statements about code availability.									The proposed method is mathematically sound, and the baseline model SHAPR has an open-source implementation. Experimental settings are clearly described. Generally, I have a positive impression of reproducibility.																				
82	Carbon Footprint of Selecting and Training Deep Learning Models for Medical Image Analysis 	Can be reproduced, but probably shouldn't in order to reduce CO2 emissions.									For all models and algorithms, check if you include A clear declaration of what software framework and version you used. [Yes] Software versions are not reported. For all code related to this work that you have made available or will release if this work is accepted, check if you include: Specification of dependencies. [Yes]  Training code. [Yes]  Evaluation code. [Yes]  (Pre-)trained model(s). [Yes]  Dataset or link to the dataset needed to run the code. [Yes]  README file including a table of results accompanied by precise command to run to produce those results. [Yes] I have not seen any references to shared code or data in the manuscript. For all reported experimental results, check if you include: The average runtime for each result, or estimated energy cost. [Yes] The training of models in this work is estimated to use 39.948 kWh of electricity contributing to 11.426 kg of CO2eq. This is equivalent to 94.898 km travelled by car. Excellent! I hope reporting this will soon be a trend.									The reproducibility of the paper is not good.																				
83	CaRTS: Causality-driven Robot Tool Segmentation from Vision and Kinematics Data 	Paper seems like it would be reproducible since the code will be released.									The authors stated that the code and dataset publicly available upon publications, thus it can be assumed that reproducing the results in the paper will be possible.									The code and data seems that will not be released																				
84	CASHformer: Cognition Aware SHape Transformer for Longitudinal Analysis 	The authors agree to release the training code.									The results are reproducible with some effort.									All parts of the model architecture blocks are well described as well as the training procedure (mostly in the supplementary materials). The dataset is exhaustively detailed as well as the splits and the proposed evaluation process. As stated in the reproducibility checklist, not all hyper-parameters tuning / setting is reported, e.g. the loss weight lambda was empirically set.																				
