id	title	category	review 1	review 2	review 3
279-Paper1053	FocalUNETR: A Focal Transformer for Boundary-aware Prostate Segmentation using CT Images	reproducibility	I saw in the reproducibility checklist that the authors do not plan to release trained models. I think the weights of the models trained on public datasets should be released to easier the comparison to future works. In addition, information on the statistical significance of reported differences in performance between evaluated methods, the average runtime, and the memory footprint for each approach should also be reported in the paper.		
282-Paper0231	Foundation Ark: Accruing and Reusing Knowledge for Superior and Robust Performance	reproducibility	The paper seems to be reproducible according to the checklist.		
298-Paper1981	Generating High-Resolution 3D CT with 12-bit Depth using a Diffusion Model with Adjacent Slice and Intensity Calibration Network	reproducibility		The response of reproducibility checklist is marked as NA. However, I believe author/s should complete section 1 for the algorithm reproducibility.	
305-Paper1904	GLSFormer : Gated - Long, Short Sequence Transformer for Step Recognition in Surgical Videos	reproducibility		The authors have filled out a reproducibility checklist upon submission, which is a positive sign for the reproducibility of their work. They have provided detailed information about their experimental setup and evaluation metrics, as well as links to the datasets used in this study. However, while they state that code will be made publicly available after the review process, it is not currently available at the time of publication. Overall, based on the information provided in their checklist and paper itself regarding data availability and experimental details, it seems that reproducing this work would be feasible with some effort. However, without access to code or more detailed implementation instructions beyond what was included in their paper, full reproducibility may be challenging for some readers.	
332-Paper0546	Importance Weighted Variational Cardiac MRI Registration Using Transformer and Implicit Prior	reproducibility	"Use of public datasets. While numbers of training/test splits are reported, given these are public datasets it would be helpful to refer to the actual cases. Results are quantitatively reported, with mean/stdev, and metric referred to, bur there is, in contrary what the authors state in their checklist, no ""An analysis of statistical significance of reported differences in performance between methods."""		
365-Paper2188	Label-preserving Data Augmentation in Latent Space for Diabetic Retinopathy Recognition	reproducibility	All listed criteria of the reproducibility checklist have been fulfilled. Author fully comply and provided evidence.		
387-Paper1317	Localized Questions in Medical Visual Question Answering	reproducibility	The code has been promised to be made available. The experiments seem reproducible with it. The answers to the checklist questions seem reasonable.		
401-Paper2138	Masked Vision and Language Pre-training with Unimodal and Multimodal Contrastive Losses for Medical Visual Question Answering	reproducibility	The authors provide detailed structure of the proposed network and losses in the paper as well as the reproducibility checklist except the momentum model in Fig. 1. which is suspected as MoCo[19].		
449-Paper1294	Multiple Prompt Fusion for Zero-Shot Lesion Detection Using Vision-Language Models	reproducibility		The work was evaluated on a publicly available dataset. According to the checklist, code will be released after acceptance. This information is not included in the paper.	
461-Paper2286	MUVF-YOLOX: A Multi-modal Ultrasound Video Fusion Network for Renal Tumor Diagnosis	reproducibility	The authors use an internal dataset. In the checklist, they select to provide the codes, data, and model. However, these informations do not appear in the paper.		
483-Paper2143	PAS-Net: Rapid Prediction of Antibiotic Susceptibility from Fluorescence Images of Bacterial Cells Using Parallel Dual-branch Network	reproducibility		According to the  answers to the reproducibility checklist, there will be no code to be released, which makes the reproducibility of the paper a little challenge.	
494-Paper0128	PET-diffusion: Unsupervised PET Enhancement based on the Latent Diffusion Model	reproducibility	reproducibility is very poor both datasets and model are not published. The author's reproducibility checklist is inconsistent with the actual paper.		
510-Paper0987	Prediction of Cognitive Scores by Joint Use of Movie-watching fMRI Connectivity and Eye Tracking via Attention-CensNet	reproducibility	According to the reproducibility checklist, the reproducibility of the paper is acceptable.		
533-Paper3264	Reflectance Mode Fluorescence Optical Tomography with Consumer-Grade Cameras	reproducibility	After carefully examining the reproducibility checklist submitted by the authors and considering the requirements for reproducibility, I must state that reproducing the results of this paper may be difficult. While the authors have provided a detailed methodology and experimental setup, they have not included code or data to support the results. Without access to the data and code, it may be challenging to reproduce the experiments described in the paper. Additionally, some of the experiments rely on proprietary software or tools that may not be easily accessible to others. Furthermore, the paper lacks a clear description of the hardware and software used in the experiments, which could affect the ability to reproduce the results. Additionally, there is no mention of the version control system used to manage the code and data, which could make it difficult to track changes and reproduce specific versions of the experiments. In summary, while the authors have made efforts to ensure the reproducibility of their results, the lack of code and data, as well as some missing details about the experimental setup, may make reproducing the experiments challenging.		
534-Paper0923	Regressing Simulation to Real: Unsupervised Domain Adaptation for Automated Quality Assessment in Transoesophageal Echocardiography	reproducibility		Reproducibility checklist is thorough	
553-Paper1184	Robust estimation of the microstructure of the early developing brain using deep learning	reproducibility		The responses to the reproducibility checklist appear correct.	
582-Paper2757	Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning	reproducibility	Code is not yet available but the authors state, in the reproducibility checklist, that it will be made available.		
593-Paper1041	Semi-supervised Domain Adaptive Medical Image Segmentation through Consistency Regularized Disentangled Contrastive Learning	reproducibility		Although the authors mention that the code will be released, they did not specify in the reproducibility checklist. I suggest the authors to release code for public benefits if accepted.	
609-Paper1777	SMRD: SURE-based Robust MRI Reconstruction with Diffusion Models	reproducibility		All relevant details and parameters are defined in the manuscript. However, code access and/or documentation about used datasets (e.g. in code repository) are not provided. Reproducibility checklist is correctly answered.	
611-Paper3696	Solving Low-Dose CT Reconstruction via GAN with Local Coherence	reproducibility		Confirmed that reproducibility checklist is completed and accurate.	
612-Paper0985	Source-Free Domain Adaptation for Medical Image Segmentation via Prototype-Anchored Feature Alignment and Contrastive Learning	reproducibility	Judging from the checklist, there seems to be no major issues with reproducibility.		
615-Paper2515	Spatiotemporal Incremental Mechanics Modeling of Facial Tissue Change	reproducibility		Most of the important parameters are given and presented in a clear, straight-forward manner and the authors state that code will be released (in the reproducibility checklist). Data is not available, but the method can be reproduced.	
631-Paper0188	Surgical Video Captioning with Mutual-Modal Concept Alignment	reproducibility		The authors will release the code upon acceptance (indicated in the paper / checklist), and also the dataset (indicated in the checklist). It is however unclear, if the authors intend to release their newly collected large Neurosurgery Video Captioning Dataset, or only refer to the already public EndoVis Image Captioning Dataset. I would strongly encourage the authors to publish the Neurosurgery Video Captioning Dataset, if possible.	
635-Paper1380	SwIPE: Efficient and Robust Medical Image Segmentation with Implicit Patch Embeddings	reproducibility	Based on the information provided by the authors, the paper has been submitted with a completed reproducibility checklist. The authors have listed implementation details that can be followed easily.		
651-Paper0181	Topology-Preserving Automatic Labeling of Coronary Arteries via Anatomy-aware Connection Classifier	reproducibility		The reproducibility of the paper is strong based on the provided information in the reproducibility checklist. The authors have addressed most of the crucial aspects, which includes: Clear descriptions of the software framework, assumptions, and mathematical setting, algorithm, and/or model. Detailed information about the datasets, including relevant statistics, and links to downloadable versions if public. Code availability, including specification of dependencies Comprehensive reporting of experimental results, such as hyper-parameter selection and sensitivity analysis	
653-Paper0994	Toward Fairness Through Fair Multi-Exit Framework for Dermatological Disease Diagnosis	reproducibility	"The reproducibility of this paper is quite low. There are several key details that are missing (see weaknesses): the loss function, the number of samples in and the class-wise distribution of training, validation, and testing sets, the number of training runs and if the experiments were repeated. In the reproducibility checklist, the authors have replied ""Yes"" to several items that are not present in the paper: ""A clear declaration of what software framework and version you used."" -> missing. ""Information on sensitivity regarding parameter changes."" -> missing. ""The exact number of training and evaluation runs."" -> missing. ""The details of train / validation / test splits."" -> missing. ""A description of results with central tendency (e.g. mean) & variation (e.g. error bars)."" -> missing. ""An analysis of statistical significance of reported differences in performance between methods."" -> missing."		
654-Paper0225	Towards Accurate Microstructure Estimation via 3D Hybrid Graph Transformer	reproducibility		the authors meet all the criteria on the reproducibility checklist.	
657-Paper3191	Towards frugal unsupervised detection of subtle abnormalities in medical imaging	reproducibility	The reproducibility checklist has been filled but not codes were attached.		
659-Paper3244	Towards multi-modal anatomical landmark detection for ultrasound-guided brain tumor resection with contrastive learning	reproducibility		The work should be reproducible with reasonable efforts considering the checklist provided by the authors.	
673-Paper0529	Treasure in Distribution: A Domain Randomization based Multi-Source Domain Generalization for 2D Medical Image Segmentation	reproducibility	The authors have declared related options as found from the checklist.		
695-Paper1729	Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features	reproducibility		"Reproducibility is rather weak and significantly lower as promised in the reproducibility checklist. The checklist contains only ""yes""es, even at questions that are not applicable for this work. However, the manuscript is missing many of the promised information, such as description of the compute hardware, A description of results with central tendency (e.g. mean) & variation, Details on how baseline methods were implemented and tuned, A description of the memory footprint, Discussion of clinical significance, The average runtime for each result, or estimated energy cost, a note that code will be released and more."	
709-Paper2328	Vision Transformer based Multi-Class Lesion Detection in IVOCT	reproducibility	As pointed out in the weaknesses section, the reproducibility checklist is fully checked while information on publishing data, code or ethics approval are not mentioned in the manuscript. Furthermore, no information on hyperparameters is given in the paper which makes reproducibility of the results very difficult.		
715-Paper1867	Wasserstein Distance-Preserving Vector Space of Persistent Homology	reproducibility		The authors did not provide a link to their code but will share it after acceptance as indicated by their answers to the reproducibility checklist.	
