category		clarity	clarity	clarity	rate	rate	rate	confidence	confidence	confidence	rate rebuttal	rate rebuttal	rate rebuttal
011-Paper0286	A General Stitching Solution for Whole-Brain 3D Nuclei Instance Segmentation from Microscopy Images	Very Good	Good	Excellent	6	6	6	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
012-Paper1873	A Model-Agnostic Framework for Universal Anomaly Detection of Multi-Organ and Multi-Modal Images	Good	Very Good	Good	5	6	6	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
013-Paper1912	A Modulatory Elongated Model for Delineating Retinal Microvasculature in OCTA Images	Good	Good	Good	5	5	4	Very confident	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
014-Paper0643	A Motion Transformer for Single Particle Tracking in Fluorescence Microscopy Images	Good	Very Good	Excellent	3	6	6	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	5	N/A	N/A
015-Paper2184	A Multimodal Disease Progression Model for Genetic Associations with Disease Dynamics	Excellent	Satisfactory	Good	5	3	6	Very confident	Very confident	Very confident	N/A	3	6
016-Paper1115	A Multi-Task Method for Immunofixation Electrophoresis Image Classification	Very Good	Satisfactory	Good	6	4	5	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	N/A	3	5
017-Paper2273	A Multi-Task Network for Anatomy Identification in Endoscopic Pituitary Surgery	Very Good	Excellent	Good	5	6	4	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	N/A	6	N/A
018-Paper1457	A Novel Multi-Task Model Imitating Dermatologists for Accurate Differential Diagnosis of Skin Diseases in Clinical Images	Good	Very Good	Good	6	6	6	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
019-Paper0813	A Novel Video-CTU Registration Method with Structural Point Similarity for FURS Navigation	Very Good	Satisfactory	Good	5	5	4	Very confident	Very confident	Very confident	N/A	N/A	4
020-Paper2659	A One-class Variational Autoencoder (OCVAE) cascade for classifying atypical bone marrow cell sub-types	Very Good	Good	Very Good	6	4	5	Very confident	Somewhat confident	Very confident	6	N/A	N/A
021-Paper2349	A Patient-Specific Self-supervised Model for Automatic X-ray/CT Registration	Satisfactory	Very Good	Good	2	7	6	Very confident	Very confident	Very confident	3	8	6
022-Paper3224	A Privacy-Preserving Walk in the Latent Space of Generative Models for Medical Applications	Excellent	Good	Excellent	7	3	6	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
023-Paper0753	A Reliable and Interpretable Framework of Multi-view Learning for Liver Fibrosis Staging	Very Good	Very Good	Very Good	7	7	7	Somewhat confident	Very confident	Very confident	N/A	N/A	N/A
024-Paper1104	A Semantic-guided and Knowledge-based Generative Framework for Orthodontic Visual Outcome Preview	Very Good	Very Good	Very Good	6	5	5	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
025-Paper1008	A Sheaf Theoretic Perspective for Robust Prostate Segmentation	Good	Good	Satisfactory	5	4	6	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	5	N/A	6
026-Paper2327	A Small-Sample Method with EEG Signals Based on Abductive Learning for Motor Imagery Decoding	Very Good	Excellent	Good	4	7	6	Confident but not absolutely certain	Very confident	Somewhat confident	6	N/A	N/A
027-Paper1755	A Spatial-Temporal Deformable Attention based Framework for Breast Lesion Detection in Videos	Excellent	Very Good	Very Good	7	5	6	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
028-Paper2027	A Spatial-Temporally Adaptive PINN Framework for 3D Bi-Ventricular Electrophysiological Simulations and Parameter Inference	Excellent	Very Good	Very Good	6	5	5	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
029-Paper0501	A Style Transfer-based Augmentation Framework for Improving Segmentation and Classification Performance across Different Sources in Ultrasound Images	Poor	Very Good	Very Good	3	7	5	Very confident	Very confident	Very confident	N/A	N/A	N/A
030-Paper3722	A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging	Very Good	Satisfactory	Satisfactory	6	3	6	Very confident	Somewhat confident	Confident but not absolutely certain	N/A	N/A	6
031-Paper1001	A Transfer Learning Approach to Localise a Deep Brain Stimulation Target	Good	Very Good	Good	3	6	5	Confident but not absolutely certain	Somewhat confident	Somewhat confident	4	N/A	N/A
032-Paper1827	A Unified Deep-Learning-Based Framework for Cochlear Implant Electrode Array Localization	Good	Very Good	Excellent	4	4	7	Very confident	Very confident	Very confident	N/A	7	N/A
033-Paper2320	A Video-based End-to-end Pipeline for Non-nutritive Sucking Action Recognition and Segmentation in Young Infants	Good	Good	Excellent	3	4	6	Very confident	Very confident	Somewhat confident	4	5	N/A
034-Paper2791	A2FSeg: Adaptive Multi-Modal Fusion Network for Medical Image Segmentation	Good	Good	Very Good	5	5	5	Very confident	Very confident	Very confident	N/A	N/A	N/A
035-Paper2655	ACC-UNet: A Completely Convolutional UNet model for the 2020s	Good	Very Good	Very Good	5	7	6	Very confident	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
036-Paper2373	Accurate and Robust Patient Height and Weight Estimation in Clinical Imaging using a Depth Camera	Good	Excellent	Excellent	3	6	5	Confident but not absolutely certain	Very confident	Very confident	N/A	6	5
037-Paper1541	Accurate multi-contrast MRI super-resolution via a dual cross-attention transformer network	Very Good	Very Good	Good	5	6	5	Confident but not absolutely certain	Somewhat confident	Confident but not absolutely certain	N/A	N/A	N/A
038-Paper0867	ACTION++: Improving Semi-supervised Medical Image Segmentation with Adaptive Anatomical Contrast	Satisfactory	Good	Excellent	5	5	8	Confident but not absolutely certain	Somewhat confident	Very confident	N/A	N/A	N/A
039-Paper1160	ACT-Net: Anchor-context Action Detection in Surgery Videos	Satisfactory	Good	Very Good	5	5	5	Very confident	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
040-Paper2061	Acute Ischemic Stroke Onset Time Classification with Dynamic Convolution and Perfusion Maps Fusion	Very Good	Good	Poor	4	5	5	Very confident	Very confident	Confident but not absolutely certain	4	N/A	N/A
041-Paper1499	Adapter Learning in Pretrained Feature Extractor for Continual Learning of Diseases	Good	Good	Good	5	4	5	Very confident	Very confident	Somewhat confident	5	5	N/A
042-Paper2125	Adaptive Multi-scale Online Likelihood Network for AI-assisted Interactive Segmentation	Satisfactory	Very Good	Excellent	3	4	7	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	5	N/A	6
043-Paper1681	Adaptive Region Selection for Active Learning in Whole Slide Image Semantic Segmentation	Very Good	Very Good	Very Good	6	5	5	Very confident	Very confident	Very confident	N/A	N/A	N/A
044-Paper1894	Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs	Good	Good	Good	5	4	5	Somewhat confident	Confident but not absolutely certain	Very confident	N/A	5	5
045-Paper0722	Additional Positive Enables Better Representation Learning for Medical Images	Very Good	Very Good	Good	6	5	7	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
046-Paper1865	Adjustable Robust Transformer for High Myopia Screening in Optical Coherence Tomography	Very Good	Very Good	Good	5	5	4	Confident but not absolutely certain	Confident but not absolutely certain	Somewhat confident	N/A	N/A	5
047-Paper0340	Adult-like Phase and Multi-scale Assistance for Isointense Infant Brain Tissue Segmentation	Satisfactory	Good	Good	4	6	5	Very confident	Confident but not absolutely certain	Very confident	5	N/A	5
048-Paper1475	AirwayFormer: Structure-Aware Boundary-Adaptive Transformers for Airway Anatomical Labeling	Very Good	Poor	Satisfactory	7	6	4	Very confident	Confident but not absolutely certain	Somewhat confident	N/A	N/A	N/A
049-Paper0690	Alias-Free Co-Modulated Network for Cross-Modality Synthesis and Super-Resolution of MR Images	Good	Good	Satisfactory	5	5	5	Confident but not absolutely certain	Very confident	Very confident	N/A	N/A	N/A
050-Paper2820	ALL-IN: A Local GLobal Graph-based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment	Very Good	Satisfactory	Very Good	7	3	6	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	5	4	N/A
051-Paper1205	AMAE: Adaptation of Pre-Trained Masked Autoencoder for Dual-Distribution Anomaly Detection in Chest X-Rays	Satisfactory	Very Good	Very Good	5	5	4	Very confident	Very confident	Confident but not absolutely certain	5	5	N/A
052-Paper0989	AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor	Satisfactory	Satisfactory	Good	5	3	6	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
053-Paper2596	An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment	Good	Satisfactory	Good	5	5	5	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
054-Paper1278	An Anti-Biased TBSRTC-Category Aware Nuclei Segmentation Framework with A Multi-Label Thyroid Cytology Benchmark	Excellent	Excellent	Good	6	8	4	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	N/A	N/A	5
055-Paper2173	An Auto-Encoder to Reconstruct Structure with Cryo-EM Images via Theoretically Guaranteed Isometric Latent Space, and its Application for Automatically Computing the Conformational Pathway	Very Good	Satisfactory	Satisfactory	5	5	3	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	N/A	6	N/A
056-Paper2970	An automated pipeline for quantitative T2* fetal body MRI and segmentation at low field	Good	Very Good	Very Good	3	7	4	Very confident	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
057-Paper0599	An Explainable Deep Framework: Towards Task-Specific Fusion for Multi-to-One MRI Synthesis	Satisfactory	Very Good	Very Good	4	7	5	Very confident	Very confident	Very confident	5	5	5
058-Paper3214	An Explainable Geometric-Weighted Graph Attention Network for Identifying Functional Networks Associated with Gait Impairment	Very Good	Good	Very Good	5	3	7	Somewhat confident	Confident but not absolutely certain	Confident but not absolutely certain	5	5	N/A
059-Paper3355	An Interpretable and Attention-based Method for Gaze Estimation Using Electroencephalography	Very Good	Good	Very Good	6	6	4	Somewhat confident	Very confident	Confident but not absolutely certain	N/A	N/A	5
060-Paper1858	An Unsupervised Multispectral Image Registration Network for Skin Diseases	Very Good	Very Good	Very Good	6	7	4	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	6	5	5
061-Paper2566	Analysis of Suture Force Simulations for Optimal Orientation of Rhomboid Skin Flaps	Excellent	Excellent	Good	6	5	3	Confident but not absolutely certain	Very confident	Very confident	N/A	6	5
062-Paper2830	Anatomical Landmark Detection Using a Multiresolution Learning Approach with a Hybrid Transformer-CNN Model	Satisfactory	Good	Satisfactory	3	5	4	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	4
063-Paper0270	Anatomical-aware Point-Voxel Network for Couinaud Segmentation in Liver CT	Excellent	Excellent	Very Good	7	3	7	Very confident	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
064-Paper0383	Anatomy-Driven Pathology Detection on Chest X-rays	Good	Good	Good	5	5	3	Confident but not absolutely certain	Somewhat confident	Very confident	N/A	6	N/A
065-Paper1594	Anatomy-informed Data Augmentation for Enhanced Prostate Cancer Detection	Excellent	Good	Very Good	8	5	3	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	N/A	5	4
066-Paper2034	Aneurysm Pose Estimation with Deep Learning	Very Good	Very Good	Excellent	7	3	5	Very confident	Very confident	Confident but not absolutely certain	N/A	5	6
067-Paper0522	AngioMoCo: Learning-based Motion Correction in Cerebral Digital Subtraction Angiography	Good	Good	Good	5	5	5	Somewhat confident	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
068-Paper2152	Annotator Consensus Prediction for Medical Image Segmentation with Diffusion Models	Good	Poor	Very Good	5	4	5	Not confident	Confident but not absolutely certain	Very confident	N/A	5	N/A
069-Paper2200	Anti-Adversarial Consistency Regularization for Data Augmentation: Applications to Robust Medical Image Segmentation	Excellent	Good	Very Good	5	5	5	Confident but not absolutely certain	Somewhat confident	Very confident	N/A	N/A	N/A
070-Paper2382	AR2T: Advanced Realistic Rendering Technique for Biomedical Volumes	Good	Excellent	Very Good	5	3	6	Very confident	Very confident	Confident but not absolutely certain	6	N/A	N/A
071-Paper3171	Ariadne's Thread: Using Text Prompts to Improve Segmentation of Infected Areas from Chest X-ray images	Very Good	Very Good	Good	6	5	6	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
072-Paper1249	ArSDM: Colonoscopy Images Synthesis with Adaptive Refinement Semantic Diffusion Models	Excellent	Very Good	Very Good	7	7	5	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
073-Paper0943	Artifact Restoration in Histology Images with Diffusion Probabilistic Models	Satisfactory	Good	Good	4	4	6	Somewhat confident	Somewhat confident	Somewhat confident	5	4	N/A
074-Paper1934	ASC: Appearance and Structure Consistency for Unsupervised Domain Adaptation in Fetal Brain MRI Segmentation	Good	Very Good	Satisfactory	4	5	4	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	6	5	N/A
075-Paper1927	ASCON: Anatomy-aware Supervised Contrastive Learning Framework for Low-dose CT Denoising	Very Good	Excellent	Excellent	6	7	6	Very confident	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
076-Paper2274	Assignment Theory-Augmented Neural Network for Dental Arch Labeling	Satisfactory	Very Good	Satisfactory	5	7	4	Confident but not absolutely certain	Very confident	Somewhat confident	N/A	7	4
077-Paper1850	Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation	Excellent	Satisfactory	Good	7	4	5	Very confident	Very confident	Very confident	7	5	6
078-Paper2614	Attentive Deep Canonical Correlation Analysis for Diagnosing Alzheimer's Disease using Multimodal Imaging Genetics	Very Good	Very Good	Good	6	5	5	Very confident	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
079-Paper1623	atTRACTive: Semi-automatic white matter tract segmentation using active learning	Very Good	Good	Good	7	4	5	Very confident	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
080-Paper1042	AUA-dE: An adaptive uncertainty guided attention for diffusion MRI models estimation	Poor	Good	Very Good	4	5	5	Somewhat confident	Somewhat confident	Somewhat confident	N/A	N/A	5
081-Paper3582	Automated CT Lung Cancer Screening Workflow using 3D Camera	Excellent	Very Good	Satisfactory	7	5	3	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	N/A	N/A	4
082-Paper0174	Automatic Bleeding Risk Rating System of Gastric Varices	Very Good	Excellent	Good	3	7	6	Very confident	Very confident	Confident but not absolutely certain	3	N/A	N/A
083-Paper0836	Automatic Retrieval of Corresponding US Views in Longitudinal Examinations	Satisfactory	Excellent	Good	5	7	4	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
084-Paper2746	Automatic Segmentation of Internal Tooth Structure from CBCT Images using Hierarchical Deep Learning	Good	Very Good	Very Good	3	7	7	Very confident	Very confident	Confident but not absolutely certain	5	N/A	N/A
085-Paper2247	Automatic Surgical Reconstruction for Orbital Blow-out Fracture via Symmetric Prior Anatomical Knowledge-Guided Adversarial Generative Network	Good	Excellent	Satisfactory	4	8	4	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	N/A	7	5
086-Paper0682	B-Cos Aligned Transformers Learn Human-Interpretable Features	Very Good	Excellent	Very Good	6	5	6	Confident but not absolutely certain	Very confident	Somewhat confident	N/A	N/A	N/A
087-Paper2016	BerDiff: Conditional Bernoulli Diffusion Model for Medical Image Segmentation	Excellent	Good	Good	7	5	4	Confident but not absolutely certain	Very confident	Very confident	N/A	N/A	5
088-Paper1399	Beyond the Snapshot: Brain Tokenized Graph Transformer for Longitudinal Brain Functional Connectome Embedding	Good	Good	Very Good	4	3	6	Very confident	Very confident	Very confident	N/A	3	6
089-Paper1392	Bidirectional Mapping with Contrastive Learning on Multimodal Neuroimaging Data	Excellent	Very Good	Good	7	7	5	Very confident	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
090-Paper2993	BigFUSE: Global Context-Aware Image Fusion in Dual-View Light-Sheet Fluorescence Microscopy with Image Formation Prior	Excellent	Excellent	Very Good	7	4	6	Very confident	Very confident	Very confident	8	7	N/A
091-Paper1973	Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation	Good	Good	Good	6	6	3	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	6	N/A	4
092-Paper1650	Boosting Breast Ultrasound Video Classification by the Guidance of Keyframe Feature Centers	Excellent	Very Good	Good	6	5	6	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
093-Paper1247	Boundary Difference Over Union Loss For Medical Image Segmentation	Excellent	Very Good	Poor	7	7	3	Very confident	Very confident	Very confident	N/A	N/A	N/A
094-Paper2691	Boundary-weighted logit consistency improves calibration of segmentation networks	Very Good	Very Good	Very Good	5	5	5	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
095-Paper0844	Brain Anatomy-Guided MRI Analysis for Assessing Clinical Progression of Cognitive Impairment with Structural MRI	Good	Very Good	Satisfactory	5	5	4	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	5	5	N/A
096-Paper1572	BrainUSL: Unsupervised Graph Structure Learning for Functional Brain Network Analysis	Good	Good	Good	5	6	5	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
097-Paper1347	Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network	Satisfactory	Good	Good	4	5	5	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	6
098-Paper2554	Bridging ex-vivo training and intra-operative deployment for surgical margin assessment with Evidential Graph Transformer	Very Good	Satisfactory	Very Good	5	3	6	Confident but not absolutely certain	Somewhat confident	Very confident	N/A	N/A	N/A
099-Paper1146	Building A Bridge: Close The Domain Gap in CT Metal Artifact Reduction	Excellent	Satisfactory	Satisfactory	7	4	4	Very confident	Confident but not absolutely certain	Very confident	8	4	N/A
100-Paper2579	Can point cloud networks learn statistical shape models of anatomies?	Very Good	Very Good	Excellent	5	5	4	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	N/A	N/A	5
101-Paper1428	CARL: Cross-aligned Representation Learning for Multi-view Lung Cancer Histology Classification	Very Good	Good	Very Good	6	6	4	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	N/A	6	5
102-Paper3517	Cascade Transformer Encoded Boundary-Aware Multibranch Fusion Networks for Real-Time and Accurate Colonoscopic Lesion Segmentation	Good	Good	Excellent	4	5	7	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
103-Paper0651	CAS-Net: Cross-view Aligned Segmentation by Graph Representation of Knees	Satisfactory	Very Good	Very Good	3	6	6	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	3	N/A	N/A
104-Paper0442	Category-independent Visual Explanation for Medical Deep Network Understanding	Very Good	Poor	Good	7	5	3	Somewhat confident	Very confident	Confident but not absolutely certain	N/A	5	4
105-Paper0176	Category-level Regularized Unlabeled-to-labeled Learning for Semi-supervised Prostate Segmentation with Multi-site Unlabeled Data	Very Good	Very Good	Very Good	7	7	6	Very confident	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
106-Paper2024	CAT-ViL: Co-Attention Gated Vision-Language Embedding for Visual Question Localized-Answering in Robotic Surgery	Good	Very Good	Very Good	5	6	4	Confident but not absolutely certain	Somewhat confident	Confident but not absolutely certain	4	N/A	N/A
107-Paper0204	CDiffMR: Can We Replace the Gaussian Noise with K-Space Undersampling for Fast MRI?	Very Good	Very Good	Good	6	7	4	Confident but not absolutely certain	Very confident	Very confident	N/A	N/A	N/A
108-Paper0672	CellGAN: Conditional Cervical Cell Synthesis for Augmenting Cytopathological Image Classification	Very Good	Very Good	Good	6	5	6	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
109-Paper0692	CenterlinePointNet++: A new point cloud based architecture for coronary artery pressure drop and vFFR estimation	Satisfactory	Very Good	Excellent	3	6	7	Very confident	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
110-Paper0619	Centroid-aware feature recalibration for cancer grading in pathology images	Very Good	Good	Excellent	6	5	4	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	N/A	5	4
111-Paper2489	Certification of Deep Learning Models for Medical Image Segmentation	Good	Very Good	Satisfactory	5	6	5	Confident but not absolutely certain	Somewhat confident	Confident but not absolutely certain	N/A	N/A	N/A
112-Paper0586	Chest X-ray Image Classification: A Causal Perspective	Satisfactory	Poor	Very Good	5	3	5	Somewhat confident	Confident but not absolutely certain	Very confident	N/A	5	N/A
113-Paper2463	CheXstray: A Real-Time Multi-Modal Monitoring Workflow for Medical Imaging AI	Poor	Very Good	Excellent	4	7	8	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
114-Paper0478	CircleFormer: Circular Nuclei Detection in Whole Slide Images with Circle Queries and Attention	Good	Very Good	Good	5	4	5	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	6
115-Paper2139	CL-ADDA: Contrastive Learning with Amplitude-Driven Data Augmentation for fMRI-Based Individualized Predictions	Very Good	Good	Good	6	5	5	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
116-Paper0966	Class Specific Feature Disentanglement And Text Embeddings For Multi-Label Generalized Zero Shot CXR Classification	Good	Satisfactory	Satisfactory	5	4	5	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
117-Paper0956	Class-Aware Feature Alignment for Domain Adaptative Mitochondria Segmentation	Satisfactory	Good	Good	2	5	6	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	4	5	N/A
118-Paper1871	Client-Level Differential Privacy via Adaptive Intermediary in Federated Medical Imaging	Good	Good	Satisfactory	5	5	4	Not confident	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
119-Paper2270	Clinical Evaluation of AI-assisted Virtual Contrast Enhanced MRI in Primary Gross Tumor Volume Delineation for Radiotherapy of Nasopharyngeal Carcinoma	Excellent	Good	Good	7	5	5	Very confident	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
120-Paper1961	CLIP-Lung: Textual Knowledge-Guided Lung Nodule Malignancy Prediction	Very Good	Good	Very Good	7	4	5	Confident but not absolutely certain	Very confident	Very confident	7	N/A	5
121-Paper0680	Cluster-Induced Mask Transformers for Effective Opportunistic Gastric Cancer Screening on Non-contrast CT Scans	Satisfactory	Very Good	Very Good	4	6	5	Very confident	Very confident	Confident but not absolutely certain	4	N/A	N/A
122-Paper2079	Clustering disease trajectories in contrastive feature space for biomarker proposal in age-related macular degeneration	Very Good	Satisfactory	Excellent	5	3	7	Very confident	Very confident	Confident but not absolutely certain	6	5	7
123-Paper0169	CoactSeg: Learning from Heterogeneous Data for New Multiple Sclerosis Lesion Segmentation	Very Good	Very Good	Good	5	6	6	Very confident	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
124-Paper1473	Co-assistant Networks for Label Correction	Good	Good	Good	6	3	5	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
125-Paper1393	Cochlear Implant Fold Detection in Intra-operative CT using Weakly Supervised Multi-Task Deep Learning	Excellent	Excellent	Very Good	5	6	5	Very confident	Very confident	Very confident	N/A	N/A	N/A
126-Paper2305	CoLa-Diff: Conditional Latent Diffusion Model for Multi-Modal MRI Synthesis	Good	Very Good	Good	6	5	4	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	N/A	N/A	5
127-Paper0107	Co-Learning Semantic-aware Unsupervised Segmentation for Pathological Image Registration	Very Good	Poor	Very Good	6	3	6	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
128-Paper1979	Collaborative modality generation and tissue segmentation for early-developing macaque brain MR images	Very Good	Excellent	Good	7	4	5	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	6	N/A	N/A
129-Paper0594	COLosSAL: A Benchmark for Cold-start Active Learning for 3D Medical Image Segmentation	Excellent	Very Good	Good	6	5	2	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	N/A	5	N/A
130-Paper0232	Combat Long-tails in Medical Classification with Relation-aware Consistency and Virtual Features Compensation	Excellent	Very Good	Very Good	5	6	5	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
131-Paper2991	Combating Medical Label Noise via Robust Semi-supervised Contrastive Learning	Very Good	Satisfactory	Excellent	5	4	7	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	5	4	N/A
132-Paper1939	Community-Aware Transformer for Autism Prediction in fMRI Connectome	Good	Excellent	Very Good	5	4	6	Confident but not absolutely certain	Very confident	Very confident	7	4	N/A
133-Paper1089	Computationally Efficient 3D MRI Reconstruction with Adaptive MLP	Very Good	Very Good	Very Good	5	7	5	Confident but not absolutely certain	Very confident	Very confident	N/A	N/A	N/A
134-Paper3305	Conditional Diffusion Models for Weakly Supervised Medical Image Segmentation	Good	Very Good	Very Good	5	6	6	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
135-Paper0259	Conditional Physics-Informed Graph Neural Network For Fractional Flow Reserve Assessment	Satisfactory	Very Good	Good	5	7	6	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
