Paper ID	Paper title	For scoring a given reviewer	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of these two aspects	Put 1 if the reviewer has said that the code is or will be available	Choose the category of statement	Choose the category of comments	For scoring a given reviewer									For scoring a given reviewer									Meta-categories			Aggregate over 3 reviews						Put 1 if all reviewers agree. Put 0 if at least two disagree, or if at least one review is too vague to tell if they agree			
050-Paper2820	ALL-IN: A Local GLobal Graph-based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment	Reproducibility might be slightly challenging without knowing all parameters (ex: number of super nodes) but this method is reproducible in a reasonable manner.	0	0	0	1	0	0	3. (+) statement	2. (-) comments	Sufficiently reproducible if code is provided. Paper likely does not provide sufficient detail on model architecture/training to replicate otherwise.	1	0	0	1	0	0	1. (none) statement	4. (-/+) comments	good	0	0	0	0	0	0	3. (+) statement	1. (none) comments	Reproducible	Irreproducible	Reproducible	1	0	0	2	0	2	Disagreement	https://github.com/pazadimo/ALL-IN	0	Empty
051-Paper1205	AMAE: Adaptation of Pre-Trained Masked Autoencoder for Dual-Distribution Anomaly Detection in Chest X-Rays	Most concepts should be quite easily reproducible. However, since this work uses a pretrained model, multiple stages and no training code will be made available I feel like this would hinder the reproducibility quite a lot.	0	0	1	0	0	0	2. (-) statement 	4. (-/+) comments	It seems reproducible as the authors have provided many details of the proposed methods. If the authors promise the release their codes, I will consider increase my score.	1	0	1	0	0	0	3. (+) statement	3. (+) comments	Have no idea.	0	0	0	0	0	0	0. Unusable (statement)	0. Unusable (comments)	Irreproducible	Reproducible	Unusable	1	0	2	0	0	1	Disagreement	N/A	0	
052-Paper0989	AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor	Authors provide a link for the release of their code	0	0	1	0	0	1	1. (none) statement	3. (+) comments	The authors did not specifically introduce the experimental environment and parameters and did not provide the code, which is not very convenient for other researchers to access.	0	0	1	1	0	0	1. (none) statement	2. (-) comments	The paper is reproducible	0	0	0	0	0	0	3. (+) statement	1. (none) comments	Reproducible	Irreproducible	Reproducible	0	0	2	1	0	2	Disagreement	https://github.com/windstormer/AME-CAM	1	
053-Paper2596	An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment	No relevant	0	0	0	0	0	0	1. (none) statement	0. Unusable (comments)	The dataset does not seem to be available for download.	0	1	0	0	0	0	1. (none) statement	2. (-) comments	The paper focuses on dataset that is strictly related to the data, so it is reproducible for someone possessing the base data.	0	1	0	0	0	0	0. Unusable (statement)	0. Unusable (comments)	Unusable	Irreproducible	Unusable	0	2	0	0	0	0	Unusable	https://github.com/nadeemlab/DeepLIIF	1	
054-Paper1278	An Anti-Biased TBSRTC-Category Aware Nuclei Segmentation Framework with A Multi-Label Thyroid Cytology Benchmark	The code is provided and the model is explained well, helping with the reproducibility of the method.	1	0	1	0	0	1	3. (+) statement	3. (+) comments	Code is available.  Data will be available upon acceptance	0	1	1	0	0	1	1. (none) statement	3. (+) comments	The illustration of the method is clear to reproduce the method. And the dataset will be released on GitHub after the review process.	1	0	1	0	0	1	1. (none) statement	3. (+) comments	Reproducible	Reproducible	Reproducible	2	1	3	0	0	3	Agreement	https://github.com/Junchao-Zhu/TCSegNet	1	Dataset promised but not released
055-Paper2173	An Auto-Encoder to Reconstruct Structure with Cryo-EM Images via Theoretically Guaranteed Isometric Latent Space, and its Application for Automatically Computing the Conformational Pathway	Reproducibility is fine	0	0	0	0	0	0	3. (+) statement	1. (none) comments	The work is reproducible.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	code was provided	0	0	1	0	0	1	1. (none) statement	3. (+) comments	Reproducible	Reproducible	Reproducible	0	0	1	0	0	3	Agreement	N/A	0	
056-Paper2970	An automated pipeline for quantitative T2* fetal body MRI and segmentation at low field	The present application-oriented study has poor reproducibility based since:    data is not made available  code of the whole pipeline is not made to , only certain parts like the standard nnUnet  trained models are not made available  computational requirements were not described  due to small number of test cases, reproducing the results on different dataset could be challenging (especially since the test data structure is not fully reported, i.e. sex, gestational age, diagnosis, ethnicity, etc.)	0	1	1	1	0	0	2. (-) statement 	2. (-) comments	The paper has provided enough details for ensuring general reproducibility.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	Information to reproduce the experiments is provided.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	Irreproducible	Reproducible	Reproducible	0	1	1	1	0	2	Disagreement	https://github.com/SVRTK/Fetal-T2star-Recon	0	Empty
057-Paper0599	An Explainable Deep Framework: Towards Task-Specific Fusion for Multi-to-One MRI Synthesis	Reproducibility is good. Public datasets in development and evaluation. Publicly available code (up on acceptance). Reported both mean and standard deviation in comparisons.	0	1	1	1	1	1	3. (+) statement	3. (+) comments	Limited reproducibility. This is an interesting work. It would be better if the authors could make corresponding codes public to make a better contribution to the community.	0	0	1	0	0	0	2. (-) statement 	2. (-) comments	okayish but more details need to presented.	0	0	0	0	0	0	3. (+) statement	2. (-) comments	Reproducible	Irreproducible	Reproducible	0	1	2	1	1	2	Disagreement	https://github.com/fiy2W/mri_seq2seq	1	
058-Paper3214	An Explainable Geometric-Weighted Graph Attention Network for Identifying Functional Networks Associated with Gait Impairment	No significant concerns, code not released yet during the reviewing phase.	0	0	1	0	0	0	3. (+) statement	2. (-) comments	The paper describes they will release the code upon acceptance.	0	0	1	0	0	1	1. (none) statement	3. (+) comments	They did well	0	0	0	0	0	0	3. (+) statement	1. (none) comments	Reproducible	Reproducible	Reproducible	0	0	2	0	0	3	Agreement	https://github.com/favour-nerrise/xGW-GAT	1	
059-Paper3355	An Interpretable and Attention-based Method for Gaze Estimation Using Electroencephalography	According to the authors' answers to the checklist as well as the information provided in the article, the reproducibility appears to be possible.   The actual code is not included.	0	0	1	0	0	0	3. (+) statement	2. (-) comments	Details clear. Data and code not available, although data may become available via another paper on arxiv	0	1	1	0	0	0	1. (none) statement	4. (-/+) comments	Dataset is publicly available. No information about code release is provided.	0	1	1	0	0	0	1. (none) statement	4. (-/+) comments	Reproducible	Irreproducible	Irreproducible	0	2	3	0	0	1	Disagreement	N/A	0	
060-Paper1858	An Unsupervised Multispectral Image Registration Network for Skin Diseases	The data used is not publicly available, making it hard both to reproduce and compare in future studies.  The architecture hyperparameters and training details (loss, train/test splits, etc..) are provided.  The code is yet not made available (maybe for anonymisation of the submission).	0	1	1	1	0	0	1. (none) statement	4. (-/+) comments	The authors mark all "Yes" in the reproducibility checklist. Based on the model explanation and loss functions in the paper, reproducing the method should be feasible.	1	0	0	0	0	0	3. (+) statement	1. (none) comments	Despite the lack of open-source code, the reproducibility of this paper is acceptable.	0	0	1	0	0	0	3. (+) statement	2. (-) comments	Irreproducible	Reproducible	Reproducible	1	1	2	1	0	2	Disagreement	https://github.com/SH-Diao123/MSIR	0	
061-Paper2566	Analysis of Suture Force Simulations for Optimal Orientation of Rhomboid Skin Flaps	The Authors' statements about the reproducibility of the paper appear to be correct/true. Including the input files for conducting the simulations may be one possible area for improvement.	0	0	0	1	0	0	1. (none) statement	4. (-/+) comments	The reproducibility can be rated as sufficient.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	The given conditions in FEM during a skin flap procedure is quite unknown. So, it is difficult to reproduce the simulation and experiments. For example, the followings information are unknown or insufficient:    The applied forces or given displacements during a skin flap procedure  (In the supplemental movie, the flapped skin moves step by step, and the movement looks depending not on the simple applied forces. The applied forces look changing during skin flap. But, it is unclear how the temporal difference of applied conditions are determined. )  How to match the nodes of different segments in a skin flap	1	0	0	1	0	0	2. (-) statement 	2. (-) comments	Irreproducible	Reproducible	Irreproducible	1	0	0	2	0	1	Disagreement	N/A	0	
062-Paper2830	Anatomical Landmark Detection Using a Multiresolution Learning Approach with a Hybrid Transformer-CNN Model	While datasets used in this study for experiments are publicly available, the hybrid transformer-CNN algorithm is not mathematically expressed or made available to the reader/reviewer for checking. This definitely reduces the reproducibility of the paper.	1	1	0	0	0	0	2. (-) statement 	4. (-/+) comments	Authors have indicated that the code will be released upon acceptance. This in conjunction with the observation that the model is evaluated on public benchmark would significant help with reproducibility.	0	1	1	0	0	1	3. (+) statement	3. (+) comments	n/a	0	0	0	0	0	0	0. Unusable (statement)	0. Unusable (comments)	Irreproducible	Reproducible	Unusable	1	2	1	0	0	1	Disagreement	https://github.com/seriee/Multiresolution-HTC.git	1	
063-Paper0270	Anatomical-aware Point-Voxel Network for Couinaud Segmentation in Liver CT	Yes	0	0	0	0	0	0	3. (+) statement	1. (none) comments	The intra- and inter-user variability between multiple annotators are not reported. This variability is essential to clarify the desired resolution for the output!    The split for the training/validation is not mentioned.    The network is trained for 400 epochs, but how the final weight is chosen? Best on the validation loss?    The training and validation loss of the selected epoch for each method is not mentioned.    The robustness of the Couinaud segmentation with respect to the performance of the liver/vessel segmentation is not reported.	0	1	0	1	0	0	1. (none) statement	2. (-) comments	The used hyperparameters were well documented	0	0	0	1	0	0	1. (none) statement	3. (+) comments	Reproducible	Irreproducible	Reproducible	0	1	0	2	0	2	Disagreement	N/A	0	
064-Paper0383	Anatomy-Driven Pathology Detection on Chest X-rays	Code provided. Links to data provided. So, in general, it is reproducibility is adequate in the way the method has been described in the paper. However, a link to github repository (even if private at this stage) is not provided. And without that the description isnt sufficient for someone to recreate this work easily - but, it is possible.	0	1	1	0	0	1	3. (+) statement	4. (-/+) comments	The authors used 2 public datasets and the approach explained quite well which makes it feasible to reproduce.	0	1	0	0	0	0	3. (+) statement	3. (+) comments	The author provides the code and supplementary materials.	0	0	1	0	0	0	1. (none) statement	3. (+) comments	Reproducible	Reproducible	Reproducible	0	2	2	0	0	3	Agreement	https://github.com/philip-mueller/adpd	1	
065-Paper1594	Anatomy-informed Data Augmentation for Enhanced Prostate Cancer Detection	This is a 100% reproducible.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	Reproducible. Method details described well.	1	0	0	0	0	0	3. (+) statement	3. (+) comments	The paper is unlikely to be reproduccible with the current information provided.	0	0	0	0	0	0	2. (-) statement 	1. (none) comments	Reproducible	Reproducible	Irreproducible	1	0	0	0	0	2	Disagreement	https://github.com/MIC-DKFZ/anatomy_informed_DA	1	
066-Paper2034	Aneurysm Pose Estimation with Deep Learning	Except the evaluation with the private dataset, other aspect of the paper can be reproduced. The network architecture is well described, implementation detail are given, both evaluation metrics and validation schema are detailed.	1	1	0	1	0	0	1. (none) statement	3. (+) comments	This paper includes implementation detail section with sufficient information which allows it to be reproducible.	0	0	0	0	0	0	3. (+) statement	3. (+) comments	The methods described in the paper seem sufficient to reproduce the results. The reproducibility points given are mostly valid, more so than in any other paper I have reviewed. It was particularly nice that the authors (only in 5 papers reviewed) included a placeholder for a link to the cod.   The following points were checked in the reproducibility response, but I couldn't find them in the paper:   I) Hyperparameter tuning II) Runtime, III) Memory footprint, IV)	1	0	1	1	0	1	3. (+) statement	3. (+) comments	Reproducible	Reproducible	Reproducible	2	1	1	2	0	3	Agreement	https://gitlab.inria.fr/yassis/DeepAnePose	1	
067-Paper0522	AngioMoCo: Learning-based Motion Correction in Cerebral Digital Subtraction Angiography	"We will make the code publicly available."in this paper.	0	0	1	0	0	1	1. (none) statement	0. Unusable (comments)	The reproducibility is possible knowing that the authors mention that they will make the code available.	0	0	1	0	0	1	3. (+) statement	3. (+) comments	Good reproducibility of the neural networks method. The author state that the data will be released.	0	1	0	0	0	0	3. (+) statement	3. (+) comments	Unusable	Reproducible	Reproducible	0	1	2	0	0	2	Agreement	https://github.com/RuishengSu/AngioMoCo	0	Only README
068-Paper2152	Annotator Consensus Prediction for Medical Image Segmentation with Diffusion Models	They used the public datasets. The code will be published.	0	1	1	0	0	1	1. (none) statement	3. (+) comments	Database is available, but no code is provided nor mention will be provided.	0	1	1	0	0	0	1. (none) statement	4. (-/+) comments	Yes, the authors provide the implementation details, such as the platform, the main parameters.	1	0	0	1	0	0	3. (+) statement	3. (+) comments	Reproducible	Irreproducible	Reproducible	1	2	2	1	0	2	Disagreement	https://github.com/tomeramit/Annotator-Consensus-Prediction	1	
069-Paper2200	Anti-Adversarial Consistency Regularization for Data Augmentation: Applications to Robust Medical Image Segmentation	The method and experimental setup is well-described in the paper, and the authors intent to make their code publicly available.	1	0	1	1	0	1	1. (none) statement	3. (+) comments	Authors have provided enough details in the paper. It would be great if they can release the code after publication.	0	0	1	0	0	0	1. (none) statement	3. (+) comments	This method might be easy to reproduce.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	Reproducible	Reproducible	Reproducible	1	0	2	1	0	3	Agreement	N/A	0	
070-Paper2382	AR2T: Advanced Realistic Rendering Technique for Biomedical Volumes	This paper has a Satisfactory reproducibility.  The authors have a clear and detailed description of the algorithm, but but many of the used parameters are not specified. For example, in the reproducibility checklist, the authors mention "camera properties", but throughout the paper, no details are given about this.  About the dataset, the autors mention the CBCT (Cone-Beam Computed Tomography) volumes acquired by Anonymous CT Medical Imaging Platform but no additional information is given about the platform. The exception is the Manix data set from https://docs.set.health/docs/introduction/public-medical-data which the authors refer to use and to which they present references.	1	1	0	1	0	0	3. (+) statement	4. (-/+) comments	The method is the author's own implementation, not released as open source. The data used by the authors is accessible however.	0	1	1	0	0	0	1. (none) statement	4. (-/+) comments	The paper provides a detailed description of the methods and techniques used to implement the AR2T rendering framework, including the transfer functions, phase functions, and voxelization process. Additionally, the paper provides examples of the rendered images, as well as a convergence criterion for the iterative process.  However, the paper does not provide the exact data sets used for the experiments, making it difficult to reproduce the results. Furthermore, while the authors mention evaluating the framework's speed and quality, they do not provide any quantitative measurements or benchmarks for comparison with other approaches. Finally, the availability of the executable to the research community for further evaluation and comparison is currently under evaluation, which may limit reproducibility.  Therefore, while the paper provides a detailed description of the methods used, there are some weaknesses in terms of reproducibility, making it difficult to fully evaluate the framework's effectiveness and compare it with other approaches.	1	0	1	1	0	0	2. (-) statement 	4. (-/+) comments	Reproducible	Irreproducible	Irreproducible	2	2	2	2	0	1	Disagreement	N/A	0	
071-Paper3171	Ariadne's Thread: Using Text Prompts to Improve Segmentation of Infected Areas from Chest X-ray images	The authors evaluate their method on the QaTa-COV19 dataset and mention that they have corrected errors in the text annotations. While this is a positive aspect, sharing the updated dataset and any pre-processing steps taken would be crucial for reproducibility.	1	1	0	0	0	0	1. (none) statement	4. (-/+) comments	reproducibility is good	0	0	0	0	0	0	3. (+) statement	1. (none) comments	Reproducible    Training and Evaluation codes available  Model description included	1	0	1	0	0	1	3. (+) statement	3. (+) comments	Irreproducible	Reproducible	Reproducible	2	1	1	0	0	2	Disagreement	https://github.com/Junelin2333/LanGuideMedSeg-MICCAI2023	1	
072-Paper1249	ArSDM: Colonoscopy Images Synthesis with Adaptive Refinement Semantic Diffusion Models	The method, training setting is well described and the architecture is clear	1	0	0	1	0	0	1. (none) statement	3. (+) comments	Based on the details given in the document most of the experiments are reproducible. However, additional information on the hyperparameters/optimisation part would be required (see point #6, i.e. optimiser, lr, etc)	0	0	0	1	0	0	3. (+) statement	4. (-/+) comments	Detailed parameters are shown in the manuscript. I think reproducibility is fine.	0	0	0	1	0	0	3. (+) statement	3. (+) comments	Reproducible	Reproducible	Reproducible	1	0	0	3	0	3	Agreement	https://github.com/DuYooho/ArSDM	1	
073-Paper0943	Artifact Restoration in Histology Images with Diffusion Probabilistic Models	I recommend the author to add the detailed explanation of the code in README.md.	0	0	1	0	0	0	1. (none) statement	2. (-) comments	Codes are provided.	0	0	0	0	0	1	1. (none) statement	3. (+) comments	The diffusion method is slow due to the large number of samplings. However, the paper does not provide a direct comparison of ArtiFusion's speed to existing methods. However, the authors do mention that the proposed method is computationally expensive due to the large number of samplings required by the diffusion process.  To address this issue, the authors propose a time token scheme that reduces the number of samplings required during training and inference. Additionally, they use a Swin-Transformer denoising architecture that is designed to capture local-global correlations in regional artifact restoration more efficiently than other architectures.  While there is no direct comparison of ArtiFusion's speed to existing methods, the authors do report that their proposed method achieves superior results compared to state-of-the-art GAN-based methods on a public histological dataset. Therefore, while ArtiFusion may be computationally expensive due to its use of diffusion-based artifact restoration, it is still able to achieve promising results in terms of accuracy and preservation of tissue structures and stain style in artifact-free regions during restoration.	0	0	0	0	0	0	0. Unusable (statement)	0. Unusable (comments)	Irreproducible	Reproducible	Unusable	0	0	1	0	0	1	Disagreement	https://github.com/zhenqi-he/ArtiFusion	1	
074-Paper1934	ASC: Appearance and Structure Consistency for Unsupervised Domain Adaptation in Fetal Brain MRI Segmentation	The code will be public. The experiments performed on public datasets.	0	1	1	0	0	1	1. (none) statement	3. (+) comments	The reproducibility of this paper is good because 1) the code and data will be available, and 2) the implementation details are clear.	1	1	1	0	0	1	3. (+) statement	3. (+) comments	The authors would provide the code, and this paper utilizes the public dataset.	0	1	1	0	0	1	1. (none) statement	3. (+) comments	Reproducible	Reproducible	Reproducible	1	3	3	0	0	3	Agreement	N/A	0	
075-Paper1927	ASCON: Anatomy-aware Supervised Contrastive Learning Framework for Low-dose CT Denoising	This paper is reproducible with the provided implementation details. Making source code publicly accessiable is deseriable.	1	0	1	0	0	0	3. (+) statement	4. (-/+) comments	The proposed method may be reproducible since the implementation details, network architecture in supplemental materials, and pseudo algorithm are provided.	1	0	0	0	0	0	3. (+) statement	3. (+) comments	Given the clear description of the algorithm, it should be easy to reproduce.	1	0	0	0	0	0	3. (+) statement	3. (+) comments	Reproducible	Reproducible	Reproducible	3	0	1	0	0	3	Agreement	https://github.com/hao1635/ASCON	1	
076-Paper2274	Assignment Theory-Augmented Neural Network for Dental Arch Labeling	Sounds good.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	Author filled out the reproducibility checklist but does not include codes.	0	0	1	0	0	0	1. (none) statement	2. (-) comments	Good.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	Reproducible	Irreproducible	Reproducible	0	0	1	0	0	2	Disagreement	N/A	0	
077-Paper1850	Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation	As long as the author's provide code, reproducibility is not a problem.	0	0	1	0	0	1	3. (+) statement	1. (none) comments	this paper is reproducible since the authors claimed they will release the code	0	0	1	0	0	1	3. (+) statement	3. (+) comments	The paper would be difficult to reproduce without an official implementation due to the lack of clarity about the exact definition of uncertainty maps, as well as validation metrics. Details about the datasets are provided. Some but not all implementation details are provided.	1	1	0	1	0	0	2. (-) statement 	4. (-/+) comments	Reproducible	Reproducible	Irreproducible	1	1	2	1	0	2	Disagreement	https://github.com/ThierryJudge/contouring-uncertainty	0	Empty
078-Paper2614	Attentive Deep Canonical Correlation Analysis for Diagnosing Alzheimer's Disease using Multimodal Imaging Genetics	The authors marked yes to everything. After reading the paper I think this is obviously not correct.	0	0	0	0	0	0	1. (none) statement	2. (-) comments	Reproducible	0	0	0	0	0	0	3. (+) statement	1. (none) comments	Authors have provided detailed descriptions of the methods used, the data preprocessing steps, and the evaluation metrics used. Additionally, they have made the code for the ADCCA model publicly available, which promotes reproducibility and allows other researchers to build on this work. Overall, the paper appears to have taken reproducibility seriously and has made efforts to ensure that their work can be replicated by others.	1	0	1	1	0	0	3. (+) statement	3. (+) comments	Irreproducible	Reproducible	Reproducible	1	0	1	1	0	2	Disagreement	https://github.com/rongzhou7/ADCCA	1	README not filled
079-Paper1623	atTRACTive: Semi-automatic white matter tract segmentation using active learning	The paper has the source code available for the reproducibility of the results.	0	0	1	0	0	1	1. (none) statement	3. (+) comments	The authors have committed themselves to sustain a good reproducibility of the paper, despite a portion of empirical investigation based on trials with human operators. Some of the data used in the analysis belongs to the Human Connectome Project, a public dataset. In the paper, it is indicated that the code used for the paper's analysis is publicly available. Moreover the authors provide the proposed method, atTRACTive, as a prototype freely available.  The major issue with the reproducibility of the paper is the clinical dataset. Both data tractography and annotated bundles are not distributed as open data.	1	1	1	1	0	1	3. (+) statement	4. (-/+) comments	It might be difficult to reproduce because it includes in-house data.	0	1	0	0	0	0	2. (-) statement 	2. (-) comments	Reproducible	Reproducible	Irreproducible	1	2	2	1	0	2	Disagreement	https://github.com/MIC-DKFZ/atTRACTive_simulations	1	
080-Paper1042	AUA-dE: An adaptive uncertainty guided attention for diffusion MRI models estimation	It is difficult to determine the reproducibility of the paper.	0	0	0	0	0	0	1. (none) statement	1. (none) comments	N/A.	0	0	0	0	0	0	0. Unusable (statement)	0. Unusable (comments)	OK. Despite not sharing the code/data, the authors described the network architecture clearly with detailed theoretical analysis.	1	1	1	0	0	0	3. (+) statement	4. (-/+) comments	Unusable	Unusable	Reproducible	1	1	1	0	0	1	Unusable	N/A	0	
081-Paper3582	Automated CT Lung Cancer Screening Workflow using 3D Camera	There isn't really much detail at all on the hardware (3D camera) or network hyper parameters and deep learning libraries used. So reproducibility is poor for this work.	1	0	0	1	0	0	2. (-) statement 	2. (-) comments	It requires large dataset (<60,000 CTs and 2742 pairs of depth and CT images) to train, but it is not easy to collect.  Providing more information on the architecture of the model and the training process could increase reproducbility.	1	1	0	1	0	0	2. (-) statement 	2. (-) comments	* This work is difficult to reproduce as many key details are not included. For example, the paper does not describe how to set up the 3D camera and how to acquire the depth image. Additionally, the chosen network description is not well-defined.  * The dataset and code are not available	1	1	1	0	0	0	2. (-) statement 	2. (-) comments	Irreproducible	Irreproducible	Irreproducible	3	2	1	2	0	0	Agreement	N/A	0	
