category		contribution	contribution	contribution	detailed	detailed	detailed	justifictation	justifictation	justifictation	reproducibility	reproducibility	reproducibility	strenghts	strenghts	strenghts	total	total	total	weakness	weakness	weakness
011-Paper1016	A New Dataset and A Baseline Model for Breast Lesion Detection in Ultrasound Videos	39	80	67.0	218	52	229.0	22	23	22.0	1	39	13.0	29	43	12.0	329.0	261.0	363.0	20	24	20.0
012-Paper0202	A Novel Deep Learning System for Breast Lesion Risk Stratification in Ultrasound Images	103	85	56.0	243	52	63.0	24	41	34.0	50	8	20.0	37	22	56.0	557.0	336.0	378.0	100	128	149.0
013-Paper0975	A Novel Fusion Network for Morphological Analysis of Common Iliac Artery	48	29	38.0	118	79	61.0	32	28	22.0	8	24	13.0	34	25	49.0	302.0	211.0	210.0	62	26	27.0
014-Paper1405	A Novel Knowledge Keeper Network for 7T-Free But 7T-Guided Brain Tissue Segmentation	36	23	30.0	22	38	117.0	5	11	7.0	5	5	7.0	7	19	40.0	166.0	203.0	318.0	91	107	117.0
015-Paper1881	A Penalty Approach for Normalizing Feature Distributions to Build Confounder-Free Models	18	37	64.0	412	74	1.0	22	25	41.0	14	5	12.0	42	24	48.0	648.0	272.0	300.0	140	107	134.0
016-Paper2636	A Projection-Based K-space Transformer Network for Undersampled Radial MRI Reconstruction with Limited Training Subjects	14	34	70.0	39	102	19.0	12	12	42.0	14	8	24.0	31	33	29.0	131.0	223.0	232.0	21	34	48.0
017-Paper0545	A Robust Volumetric Transformer for Accurate 3D Tumor Segmentation	84	27	40.0	88	23	54.0	52	3	20.0	7	5	12.0	76	85	37.0	451.0	241.0	239.0	144	98	76.0
018-Paper0114	A Self-Guided Framework for Radiology Report Generation	39	70	28.0	54	279	119.0	19	10	28.0	21	10	29.0	39	32	43.0	202.0	714.0	268.0	30	313	21.0
019-Paper0199	A Sense of Direction in Biomedical Neural Networks	122	80	74.0	493	190	158.0	26	45	52.0	12	32	31.0	23	28	101.0	697.0	423.0	616.0	21	48	200.0
020-Paper0395	A Spatiotemporal Model for Precise and Efficient Fully-automatic 3D Motion Correction in OCT	87	20	34.0	257	7	53.0	75	11	33.0	88	15	13.0	90	35	23.0	727.0	185.0	172.0	130	97	16.0
021-Paper0893	A Transformer-Based Iterative Reconstruction Model for Sparse-View CT Reconstruction	56	27	27.0	173	30	113.0	39	22	55.0	18	16	2.0	23	36	25.0	445.0	170.0	289.0	136	39	67.0
022-Paper0036	AANet: Artery-Aware Network for Pulmonary Embolism Detection in CTPA Images	55	63	24.0	1	170	34.0	5	39	37.0	7	18	19.0	34	43	32.0	193.0	503.0	265.0	91	170	119.0
023-Paper2394	Accelerated pseudo 3D dynamic speech MR imaging at 3T using unsupervised deep variational manifold learning	33	43	31.0	63	62	110.0	27	18	6.0	6	15	18.0	45	30	52.0	307.0	195.0	282.0	133	27	65.0
024-Paper2344	Accurate and Explainable Image-based Prediction Using a Lightweight Generative Model	39	46	127.0	52	5	370.0	39	40	148.0	31	31	22.0	47	81	91.0	242.0	471.0	1091.0	34	268	333.0
025-Paper0249	Accurate and Robust Lesion RECIST Diameter Prediction and Segmentation with Transformers	134	87	47.0	181	1075	230.0	35	109	31.0	42	202	1.0	31	51	19.0	464.0	1759.0	379.0	41	235	51.0
026-Paper1270	Accurate Corresponding Fiber Tract Segmentation via FiberGeoMap Learner	71	18	98.0	263	179	500.0	8	11	47.0	1	1	12.0	68	11	80.0	439.0	379.0	744.0	28	159	7.0
027-Paper0159	ACT: Semi-supervised Domain-adaptive Medical Image Segmentation with Asymmetric Co-Training	37	122	69.0	24	109	46.0	18	53	49.0	3	24	14.0	42	56	68.0	197.0	615.0	434.0	73	251	188.0
028-Paper2509	Adaptation of Surgical Activity Recognition Models Across Operating Rooms	11	156	46.0	41	127	22.0	131	35	16.0	10	23	33.0	17	26	12.0	230.0	390.0	190.0	20	23	61.0
029-Paper2006	Adapting the Mean Teacher for keypoint-based lung registration under geometric domain shifts	58	43	22.0	50	51	72.0	15	17	32.0	6	10	11.0	28	47	52.0	567.0	266.0	202.0	410	98	13.0
030-Paper0272	Adaptive 3D Localization of 2D Freehand Ultrasound Brain Images	21	42	30.0	176	72	81.0	16	22	44.0	1	4	21.0	18	49	80.0	244.0	294.0	459.0	12	105	203.0
031-Paper2848	AdaTriplet: Adaptive Gradient Triplet Loss with Automatic Margin Learning for Forensic Medical Image Matching	56	36	81.0	74	34	72.0	18	17	84.0	5	8	21.0	43	54	35.0	230.0	223.0	643.0	34	74	350.0
032-Paper1371	Addressing Class Imbalance in Semi-supervised Image Segmentation: A Study on Cardiac MRI	67	16	55.0	66	92	95.0	39	81	19.0	12	12	13.0	40	34	48.0	373.0	267.0	257.0	149	32	27.0
033-Paper0332	Adversarial Consistency for Single Domain Generalization in Medical Image Segmentation	55	51	58.0	88	120	28.0	19	28	10.0	37	16	8.0	60	11	57.0	293.0	472.0	230.0	34	246	69.0
034-Paper1829	Adversarially Robust Prototypical Few-shot Segmentation with Neural-ODEs	18	57	57.0	32	17	38.0	4	6	32.0	9	8	20.0	29	60	38.0	555.0	209.0	285.0	463	61	100.0
035-Paper1248	Agent with Tangent-based Formulation and Anatomical Perception for Standard Plane Localization in 3D Ultrasound	81	60	37.0	121	118	46.0	8	115	39.0	33	28	12.0	72	69	59.0	501.0	457.0	355.0	186	67	162.0
036-Paper1552	Aggregative Self-Supervised Feature Learning from Limited Medical Images	80	55	76.0	162	141	128.0	21	57	86.0	19	14	14.0	31	53	48.0	323.0	443.0	382.0	10	123	30.0
037-Paper1305	An Accurate Unsupervised Liver Lesion Detection Method Using Pseudo-Lesions	82	145	52.0	140	129	92.0	38	18	41.0	31	17	28.0	46	44	58.0	480.0	574.0	320.0	143	221	49.0
038-Paper1415	An adaptive network with extragradient for diffusion MRI-based microstructure estimation	35	66	36.0	106	247	86.0	25	18	31.0	4	41	23.0	34	42	42.0	217.0	476.0	293.0	13	62	75.0
039-Paper2756	An Advanced Deep Learning Framework for Video-based Diagnosis of ASD	30	50	77.0	20	146	29.0	36	14	39.0	9	1	21.0	9	25	34.0	152.0	270.0	354.0	48	34	154.0
040-Paper0031	An End-to-End Combinatorial Optimization Method for R-band Chromosome Recognition with Grouping Guided Attention	62	91	36.0	28	19	82.0	61	26	38.0	23	6	196.0	45	50	107.0	275.0	341.0	950.0	56	149	491.0
041-Paper0049	An Inclusive Task-Aware Framework for Radiology Report Generation	42	134	46.0	133	79	27.0	18	41	2.0	4	5	1.0	47	161	29.0	377.0	570.0	117.0	133	150	12.0
042-Paper1549	An Optimal Control Problem for Elastic Registration and Force Estimation in Augmented Surgery	68	106	36.0	99	212	47.0	88	39	15.0	14	18	7.0	60	52	13.0	555.0	505.0	160.0	226	78	42.0
043-Paper1625	Analyzing and Improving Low Dose CT Denoising Network via HU Level Slicing	28	85	53.0	37	61	94.0	29	81	39.0	1	35	40.0	33	36	56.0	161.0	342.0	357.0	33	44	75.0
044-Paper1703	Analyzing Brain Structural Connectivity as Continuous Random Functions	37	62	11.0	249	100	40.0	15	5	24.0	7	42	12.0	67	71	29.0	411.0	298.0	552.0	36	18	436.0
045-Paper1726	Anatomy-Guided Weakly-Supervised Abnormality Localization in Chest X-rays	74	100	52.0	6	2	48.0	25	26	34.0	3	8	7.0	32	39	32.0	201.0	391.0	208.0	61	216	35.0
046-Paper2430	Anomaly-aware multiple instance learning for rare anemia disorder classification	46	25	48.0	107	31	56.0	7	2	23.0	25	9	22.0	22	51	93.0	291.0	195.0	403.0	84	77	161.0
047-Paper1683	Assessing the Performance of Automated Prediction and Ranking of Patient Age from Chest X-rays Against Clinicians	109	76	78.0	5	211	134.0	26	58	124.0	6	21	2.0	62	51	40.0	395.0	444.0	456.0	187	27	78.0
048-Paper1796	Asymmetry Disentanglement Network for Interpretable Acute Ischemic Stroke Infarct Segmentation in Non-Contrast CT Scans	144	28	26.0	484	173	75.0	20	14	40.0	81	2	14.0	263	19	68.0	1421.0	470.0	270.0	429	234	47.0
049-Paper2434	Atlas-based Semantic Segmentation of Prostate Zones	34	24	66.0	32	23	232.0	57	12	26.0	7	11	24.0	33	23	31.0	371.0	120.0	545.0	208	27	166.0
050-Paper0345	Atlas-powered deep learning (ADL) - application to diffusion weighted MRI	34	30	71.0	22	154	524.0	13	26	50.0	45	3	56.0	20	36	66.0	143.0	318.0	827.0	9	69	60.0
051-Paper1798	Attention mechanisms for physiological signal deep learning: which attention should we take?	69	5	42.0	166	148	211.0	77	18	21.0	62	3	21.0	201	8	18.0	896.0	187.0	338.0	321	5	25.0
052-Paper2482	Attentional Generative Multimodal Network for Neonatal Postoperative Pain Estimation	37	90	77.0	55	86	99.0	37	51	37.0	20	17	5.0	38	29	34.0	213.0	324.0	324.0	26	51	72.0
053-Paper1971	Attention-enhanced Disentangled Representation Learning for Unsupervised Domain Adaptation in Cardiac Segmentation	30	42	49.0	69	67	31.0	9	26	10.0	11	17	28.0	26	69	34.0	169.0	306.0	457.0	24	85	305.0
054-Paper0676	Attentive Symmetric Autoencoder for Brain MRI Segmentation	31	60	22.0	30	89	36.0	7	68	11.0	6	40	15.0	49	102	35.0	141.0	700.0	197.0	18	341	78.0
055-Paper0121	Autofocusing+: Noise-Resilient Motion Correction in Magnetic Resonance Imaging	29	69	45.0	56	335	200.0	19	47	32.0	15	8	28.0	17	51	44.0	182.0	606.0	399.0	46	96	50.0
056-Paper0386	AutoGAN-Synthesizer: Neural Architecture Search for Cross-Modality MRI Synthesis	18	121	55.0	55	58	155.0	16	12	5.0	11	6	19.0	30	37	23.0	231.0	273.0	312.0	101	39	55.0
057-Paper1988	AutoLaparo: A New Dataset of Integrated Multi-tasks for Image-guided Surgical Automation in Laparoscopic Hysterectomy	64	40	74.0	521	11	219.0	29	43	42.0	72	8	15.0	40	36	94.0	752.0	252.0	537.0	26	114	93.0
058-Paper1919	Automated Classification of General Movements in Infants Using Two-stream Spatiotemporal Fusion Network	47	93	44.0	78	201	2.0	38	56	6.0	9	8	5.0	19	72	20.0	388.0	467.0	120.0	197	37	43.0
059-Paper2247	Automatic Detection of Steatosis in Ultrasound Images with Comparative Visual Labeling	25	81	94.0	8	162	131.0	55	58	35.0	9	11	38.0	67	102	44.0	201.0	667.0	482.0	37	253	140.0
060-Paper1361	Automatic identification of segmentation errors for radiotherapy using geometric learning	1	109	58.0	1	164	4.0	91	96	5.0	1	73	11.0	1	95	22.0	96.0	970.0	274.0	1	433	174.0
061-Paper2252	Automatic Segmentation of Hip Osteophytes in DXA Scans using U-Nets	21	59	51.0	63	319	64.0	14	105	29.0	12	64	44.0	21	137	67.0	146.0	742.0	419.0	15	58	164.0
062-Paper0295	Automating Blastocyst Formation and Quality Prediction in Time-Lapse Imaging with Adaptive Key Frame Selection	84	52	52.0	258	150	93.0	36	5	62.0	53	23	7.0	29	20	62.0	540.0	258.0	292.0	80	8	16.0
063-Paper2315	Automation of clinical measurements on radiographs of children's hips	71	109	24.0	189	60	274.0	14	55	33.0	21	48	22.0	59	73	20.0	424.0	402.0	409.0	70	57	36.0
064-Paper1731	BabyNet: Residual Transformer Module for Birth Weight Prediction on Fetal Ultrasound Video	33	21	61.0	115	149	168.0	43	16	49.0	10	6	24.0	47	32	44.0	280.0	235.0	565.0	32	11	219.0
065-Paper0280	Bayesian dense inverse searching algorithm for real-time stereo matching in minimally invasive surgery	62	79	59.0	3	182	84.0	9	54	13.0	4	9	12.0	13	134	21.0	92.0	471.0	250.0	1	13	61.0
066-Paper2505	Bayesian Pseudo Labels: Expectation Maximization for Robust and Efficient Semi-Supervised Segmentation	75	17	61.0	34	4	162.0	26	52	34.0	12	1	21.0	78	52	63.0	256.0	338.0	352.0	31	212	11.0
067-Paper1462	Benchmarking the Robustness of Deep Neural Networks to Common Corruptions in Digital Pathology	93	63	39.0	4	22	188.0	14	17	74.0	12	14	43.0	53	62	50.0	493.0	234.0	704.0	317	56	310.0
068-Paper2856	BERTHop: An Effective Vision-and-Language Model for Chest X-ray Disease Diagnosis	53	54	39.0	66	6	47.0	25	19	17.0	21	10	29.0	29	33	79.0	244.0	156.0	299.0	50	34	88.0
069-Paper1459	Bi-directional Encoding for Explicit Centerline Segmentation by Fully-Convolutional Networks	16	24	56.0	18	18	780.0	2	32	54.0	12	1	56.0	11	57	43.0	129.0	377.0	1144.0	70	245	155.0
070-Paper1108	BiometryNet: Landmark-based Fetal Biometry Estimation from Standard Ultrasound Planes	54	60	50.0	142	85	84.0	24	28	36.0	29	11	16.0	55	29	23.0	419.0	230.0	219.0	115	17	10.0
071-Paper1852	BMD-GAN: Bone mineral density estimation using x-ray image decomposition into projections of bone-segmented quantitative computed tomography using hierarchical learning	36	45	31.0	163	122	71.0	21	14	14.0	14	90	15.0	41	127	50.0	339.0	433.0	230.0	64	35	49.0
072-Paper0820	Boundary-Enhanced Self-Supervised Learning for Brain Structure Segmentation	68	49	46.0	18	87	97.0	18	25	30.0	5	9	14.0	88	19	35.0	286.0	323.0	345.0	89	134	123.0
073-Paper0016	BoxPolyp: Boost Generalized Polyp Segmentation using Extra Coarse Bounding Box Annotations	136	50	135.0	306	66	183.0	54	13	61.0	3	9	9.0	152	13	15.0	747.0	200.0	471.0	96	49	68.0
074-Paper2706	Brain-Aware Replacements for Supervised Contrastive Learning in Detection of Alzheimer's Disease	30	40	41.0	22	89	76.0	23	27	29.0	19	17	8.0	65	37	87.0	264.0	278.0	313.0	105	68	72.0
075-Paper2270	Breaking with Fixed Set Pathology Recognition through Report-Guided Contrastive Training	110	32	50.0	52	55	270.0	39	55	73.0	5	14	49.0	73	58	17.0	352.0	241.0	587.0	73	27	128.0
076-Paper1095	Building Brains: Subvolume Recombination for Data Augmentation in Large Vessel Occlusion Detection	27	47	21.0	208	259	30.0	16	29	46.0	12	8	27.0	10	23	36.0	298.0	394.0	236.0	25	28	76.0
077-Paper0239	CACTUSS: Common Anatomical CT-US Space for US examinations	59	70	62.0	302	36	62.0	45	22	51.0	21	3	61.0	31	22	94.0	518.0	219.0	470.0	60	66	140.0
078-Paper0017	Calibrating Label Distribution for Class-Imbalanced Barely-Supervised Knee Segmentation	56	87	42.0	381	158	81.0	50	6	20.0	103	29	24.0	152	69	80.0	955.0	486.0	290.0	213	137	43.0
079-Paper0963	Calibration of Medical Imaging Classification Systems with Weight Scaling	56	42	23.0	10	112	43.0	31	68	20.0	21	26	28.0	75	52	39.0	217.0	351.0	453.0	24	51	300.0
080-Paper1145	Camera Adaptation for Fundus-Image-Based CVD Risk Estimation	75	57	73.0	117	161	53.0	28	37	22.0	9	7	6.0	25	60	39.0	276.0	394.0	204.0	22	72	11.0
081-Paper2332	Capturing Shape Information with Multi-Scale Topological Loss Terms for 3D Reconstruction	93	73	98.0	23	147	34.0	27	60	48.0	52	36	28.0	58	54	80.0	329.0	414.0	459.0	76	44	171.0
082-Paper2156	Carbon Footprint of Selecting and Training Deep Learning Models for Medical Image Analysis	19	44	24.0	177	161	45.0	18	33	19.0	12	167	8.0	30	87	5.0	273.0	529.0	289.0	17	37	188.0
083-Paper0783	CaRTS: Causality-driven Robot Tool Segmentation from Vision and Kinematics Data	32	96	38.0	85	152	30.0	31	41	48.0	13	27	10.0	47	147	62.0	416.0	548.0	312.0	208	85	124.0
084-Paper1369	CASHformer: Cognition Aware SHape Transformer for Longitudinal Analysis	48	53	133.0	11	48	85.0	14	13	48.0	8	7	58.0	36	30	97.0	162.0	224.0	545.0	45	73	124.0
085-Paper0894	Censor-aware Semi-supervised Learning for Survival Time Prediction from Medical Images	32	65	43.0	59	161	6.0	24	51	28.0	41	36	9.0	64	38	33.0	266.0	399.0	187.0	46	48	68.0
086-Paper0497	CephalFormer: Incorporating Global Structure Constraint into Visual Features for General Cephalometric Landmark Detection	63	60	61.0	42	183	76.0	146	28	21.0	7	10	8.0	39	48	73.0	404.0	402.0	246.0	107	73	7.0
087-Paper2197	Cerebral Microbleeds Detection Using a 3D Feature Fused Region Proposal Network with Hard Sample Prototype Learning	66	43	42.0	306	116	176.0	29	43	19.0	4	44	16.0	48	56	61.0	491.0	437.0	354.0	38	135	40.0
088-Paper0402	CFDA: Collaborative Feature Disentanglement and Augmentation for Pulmonary Airway Tree Modeling of COVID-19 CTs	58	41	30.0	32	20	52.0	15	41	6.0	24	5	4.0	30	40	31.0	188.0	157.0	251.0	29	10	128.0
089-Paper1601	Characterization of brain activity patterns across states of consciousness based on variational auto-encoders	4	76	72.0	67	85	31.0	8	24	4.0	2	8	3.0	11	63	14.0	98.0	341.0	251.0	6	85	127.0
090-Paper1593	CheXRelNet: An Anatomy-Aware Model for Tracking Longitudinal Relationships between Chest X-Rays	49	95	45.0	63	170	2.0	6	22	2.0	27	25	26.0	46	85	7.0	200.0	534.0	92.0	9	137	10.0
091-Paper1588	ChrSNet: Chromosome Straightening using Self-attention Guided Networks	66	36	26.0	384	90	76.0	48	14	26.0	10	18	25.0	40	27	25.0	601.0	220.0	277.0	53	35	99.0
092-Paper2297	CIRDataset: A large-scale Dataset for Clinically-Interpretable lung nodule Radiomics and malignancy prediction	80	30	110.0	366	155	160.0	24	28	21.0	42	63	14.0	25	28	48.0	576.0	328.0	381.0	39	24	28.0
093-Paper1320	Class Impression for Data-free Incremental Learning	40	38	48.0	55	21	20.0	37	19	43.0	12	16	2.0	117	72	91.0	321.0	473.0	215.0	60	307	11.0
094-Paper1363	Classification-aided High-quality PET Image Synthesis via Bidirectional Contrastive GAN with Shared Information Maximization	49	93	83.0	198	131	180.0	4	5	112.0	4	5	13.0	21	26	72.0	290.0	337.0	588.0	14	77	128.0
095-Paper0431	Clinical-realistic Annotation for Histopathology Images with Probabilistic Semi-supervision: A Worst-case Study	35	36	88.0	91	99	45.0	6	24	25.0	13	34	47.0	30	26	105.0	206.0	284.0	667.0	31	65	357.0
096-Paper2314	CLTS-GAN: Color-Lighting-Texture-Specular Reflection Augmentation for Colonoscopy	52	32	98.0	55	193	289.0	35	15	49.0	32	7	29.0	86	35	53.0	318.0	375.0	713.0	58	93	195.0
097-Paper0726	Collaborative Quantization Embeddings for Intra-Subject Prostate MR Image Registration	53	38	30.0	152	78	60.0	25	34	14.0	16	32	22.0	25	63	43.0	289.0	252.0	407.0	18	7	238.0
098-Paper0779	Combining mixed-format labels for AI-based pathology detection pipeline in a large-scale knee MRI study	24	141	41.0	88	408	241.0	12	67	70.0	18	39	28.0	26	138	18.0	214.0	864.0	434.0	46	71	36.0
099-Paper2128	Combining multiple atlases to estimate data-driven mappings between functional connectomes using optimal transport	43	121	79.0	76	2	98.0	6	22	36.0	14	1	10.0	32	83	41.0	262.0	299.0	310.0	91	70	46.0
100-Paper1882	Computer-aided Tuberculosis Diagnosis with Attribute Reasoning Assistance	32	44	93.0	125	37	94.0	35	33	35.0	53	7	17.0	67	62	59.0	415.0	231.0	350.0	103	48	52.0
101-Paper0377	Conditional Generative Data Augmentation for Clinical Audio Datasets	42	65	37.0	91	157	368.0	18	12	22.0	12	13	48.0	18	18	40.0	208.0	297.0	577.0	27	32	62.0
102-Paper1704	Conditional VAEs for confound removal and normative modelling of neurodegenerative diseases	86	14	43.0	30	35	17.0	7	11	35.0	14	2	13.0	23	12	69.0	209.0	138.0	208.0	49	64	31.0
103-Paper2792	Consistency-based Semi-supervised Evidential Active Learning for Diagnostic Radiograph Classification	66	69	55.0	57	29	141.0	34	27	19.0	6	19	21.0	48	48	80.0	305.0	256.0	403.0	94	64	87.0
104-Paper0744	Consistency-preserving Visual Question Answering in Medical Imaging	29	38	59.0	159	42	68.0	10	27	18.0	11	1	1.0	95	17	18.0	395.0	163.0	215.0	91	38	51.0
105-Paper0772	Context-Aware Transformers For Spinal Cancer Detection and Radiological Grading	50	71	36.0	23	182	18.0	43	52	7.0	13	37	22.0	33	74	43.0	251.0	452.0	206.0	89	36	80.0
106-Paper0991	Context-aware Voxel-wise Contrastive Learning for Label Efficient Multi-organ Segmentation	25	45	17.0	6	73	58.0	31	47	16.0	6	14	11.0	36	34	31.0	333.0	297.0	201.0	229	84	68.0
107-Paper1211	ConTrans: Improving Transformer with Convolutional Attention for Medical Image Segmentation	35	48	52.0	70	7	210.0	6	37	46.0	15	20	8.0	55	32	27.0	382.0	237.0	506.0	201	93	163.0
108-Paper0616	ContraReg: Contrastive Learning of Multi-modality Unsupervised Deformable Image Registration	25	62	47.0	105	32	72.0	9	12	35.0	24	60	31.0	41	30	155.0	296.0	316.0	367.0	92	120	27.0
109-Paper1057	Contrast-free Liver Tumor Detection using Ternary Knowledge Transferred Teacher-student Deep Reinforcement Learning	27	21	33.0	42	90	28.0	35	15	38.0	5	7	18.0	142	16	43.0	320.0	159.0	227.0	69	10	67.0
110-Paper0148	Contrastive Functional Connectivity Graph Learning for Population-based fMRI Classification	30	44	43.0	210	105	24.0	13	10	19.0	12	12	20.0	43	19	35.0	475.0	200.0	157.0	167	10	16.0
111-Paper1698	Contrastive learning for echocardiographic view integration	38	28	49.0	63	3	125.0	22	19	32.0	7	5	17.0	58	46	90.0	241.0	190.0	401.0	53	89	88.0
112-Paper1582	Contrastive Masked Transformers for Forecasting Renal Transplant Function	113	63	41.0	28	75	45.0	27	14	11.0	14	19	4.0	142	65	14.0	328.0	380.0	122.0	4	144	7.0
113-Paper1027	Contrastive Re-localization and History Distillation in Federated CMR Segmentation	87	64	16.0	347	139	246.0	39	70	26.0	25	93	23.0	35	137	11.0	558.0	681.0	344.0	25	178	22.0
114-Paper0573	Contrastive Transformer-based Multiple Instance Learning for Weakly Supervised Polyp Frame Detection	17	58	61.0	105	5	64.0	18	51	51.0	9	21	36.0	27	33	37.0	178.0	281.0	427.0	2	113	178.0
115-Paper0458	Coronary R-CNN: Vessel-wise Method for Coronary Artery Lesion Detection and Analysis in Coronary CT Angiography	59	32	79.0	110	189	19.0	36	44	60.0	64	36	8.0	18	59	24.0	365.0	424.0	209.0	78	64	19.0
116-Paper2123	CorticalFlow++: Boosting Cortical Surface Reconstruction Accuracy, Regularity, and Interoperability	40	69	55.0	78	67	223.0	21	13	2.0	20	7	3.0	45	29	111.0	378.0	220.0	396.0	174	35	2.0
117-Paper0775	CRISP - Reliable Uncertainty Estimation for Medical Image Segmentation	33	52	135.0	56	110	189.0	32	44	65.0	9	11	34.0	119	41	41.0	297.0	431.0	655.0	48	173	191.0
118-Paper0133	CS2: A Controllable and Simultaneous Synthesizer of Images and Annotations with Minimal Human Intervention	37	91	44.0	48	179	118.0	22	34	58.0	18	16	10.0	89	44	21.0	223.0	399.0	377.0	9	35	126.0
119-Paper0756	Curvature-enhanced Implicit Function Network for High-quality Tooth Model Generation from CBCT Images	40	69	25.0	27	83	97.0	25	45	3.0	23	49	1.0	26	97	6.0	225.0	449.0	136.0	84	106	4.0
120-Paper0539	DA-Net: Dual Branch Transformer and Adaptive Strip Upsampling for Retinal Vessels Segmentation	122	66	36.0	193	105	74.0	46	49	17.0	16	15	6.0	170	51	58.0	750.0	411.0	209.0	203	125	18.0
121-Paper0233	D'ARTAGNAN: Counterfactual Video Generation	29	23	41.0	4	161	172.0	19	7	43.0	25	19	32.0	13	80	11.0	126.0	451.0	327.0	36	161	28.0
122-Paper1816	Data-Driven Deep Supervision for Skin Lesion Classification	104	30	39.0	247	160	13.0	32	58	20.0	39	1	5.0	25	28	21.0	509.0	430.0	110.0	62	153	12.0
123-Paper1296	Data-driven Multi-Modal Partial Medical Image Preregistration by Template Space Patch Mapping	51	98	49.0	127	203	139.0	39	59	45.0	69	28	33.0	14	65	77.0	325.0	470.0	415.0	25	17	72.0
124-Paper2698	DDPNet: A novel dual-domain parallel network for low-dose CT reconstruction	41	68	44.0	142	62	13.0	6	47	17.0	40	24	11.0	15	48	44.0	533.0	550.0	172.0	289	301	43.0
125-Paper0688	Decoding Task Sub-type States with Group Deep Bidirectional Recurrent Neural Network	43	52	34.0	225	244	205.0	43	25	27.0	6	17	5.0	37	36	41.0	392.0	426.0	347.0	38	52	35.0
126-Paper0406	Decoupling Predictions in Distributed Learning for Multi-Center Left Atrial MRI Segmentation	76	102	0.0	166	291	0.0	29	24	0.0	80	10	0.0	47	29	0.0	510.0	478.0	0.0	112	22	0.0
127-Paper1750	Deep filter bank regression for super-resolution of anisotropic MR brain images	66	125	38.0	121	180	25.0	38	13	16.0	12	24	5.0	53	70	21.0	297.0	609.0	176.0	7	197	71.0
128-Paper2496	Deep Geometric Supervision Improves Spatial Generalization in Orthopedic Surgery Planning	97	44	22.0	43	253	189.0	27	16	27.0	14	16	7.0	30	15	61.0	325.0	378.0	379.0	114	34	73.0
129-Paper0636	Deep is a Luxury We Don't Have	17	50	48.0	20	135	282.0	20	61	36.0	15	22	21.0	27	50	19.0	121.0	349.0	445.0	22	31	39.0
130-Paper1440	Deep Laparoscopic Stereo Matching with Transformers	74	92	36.0	130	312	25.0	69	13	21.0	64	12	3.0	74	27	13.0	425.0	776.0	122.0	14	320	24.0
131-Paper2581	Deep Learning based Modality-Independent Intracranial Aneurysm Detection	10	46	49.0	85	56	21.0	10	39	58.0	8	10	25.0	12	41	64.0	155.0	414.0	273.0	30	222	56.0
132-Paper0144	Deep Learning-based Facial Appearance Simulation Driven by Surgically Planned Craniomaxillofacial Bony Movement	41	75	81.0	254	71	98.0	18	49	37.0	34	12	85.0	105	59	147.0	512.0	326.0	554.0	60	60	106.0
