id	title	repro	review 1	review 3	review 2
061-Paper2252	Automatic Segmentation of Hip Osteophytes in DXA Scans using U-Nets	Overall, I consider reproducibility of the study as high. Several remarks below. The exact model architecture is not given explicitly, eventhough it is understandable from the text to some extent. The authors have checked the code release in the checklist, however, there is no link to the source code in the article. Software versions are not specified for the critical components of the pipeline.			Overall, I consider reproducibility of the study as high. Several remarks below. The exact model architecture is not given explicitly, eventhough it is understandable from the text to some extent. The authors have checked the code release in the checklist, however, there is no link to the source code in the article. Software versions are not specified for the critical components of the pipeline.
062-Paper0295	Automating Blastocyst Formation and Quality Prediction in Time-Lapse Imaging with Adaptive Key Frame Selection				
063-Paper2315	Automation of clinical measurements on radiographs of children's hips				
064-Paper1731	BabyNet: Residual Transformer Module for Birth Weight Prediction on Fetal Ultrasound Video				
065-Paper0280	Bayesian dense inverse searching algorithm for real-time stereo matching in minimally invasive surgery				
066-Paper2505	Bayesian Pseudo Labels: Expectation Maximization for Robust and Efficient Semi-Supervised Segmentation				
067-Paper1462	Benchmarking the Robustness of Deep Neural Networks to Common Corruptions in Digital Pathology				
068-Paper2856	BERTHop: An Effective Vision-and-Language Model for Chest X-ray Disease Diagnosis				
069-Paper1459	Bi-directional Encoding for Explicit Centerline Segmentation by Fully-Convolutional Networks	According to the reproducibility checklist, the authors do not plan to provide their training or evaluation code. The method itself is fairly straightforward and well described, and a re-implementation should be possible. Most hyperparameters used for training the models are provided in the supplementary material, however, only the CLIP data set is available for reproducing results.		According to the reproducibility checklist, the authors do not plan to provide their training or evaluation code. The method itself is fairly straightforward and well described, and a re-implementation should be possible. Most hyperparameters used for training the models are provided in the supplementary material, however, only the CLIP data set is available for reproducing results.	
070-Paper1108	BiometryNet: Landmark-based Fetal Biometry Estimation from Standard Ultrasound Planes				
071-Paper1852	BMD-GAN: Bone mineral density estimation using x-ray image decomposition into projections of bone-segmented quantitative computed tomography using hierarchical learning				
072-Paper0820	Boundary-Enhanced Self-Supervised Learning for Brain Structure Segmentation				
073-Paper0016	BoxPolyp: Boost Generalized Polyp Segmentation using Extra Coarse Bounding Box Annotations				
074-Paper2706	Brain-Aware Replacements for Supervised Contrastive Learning in Detection of Alzheimer's Disease				
075-Paper2270	Breaking with Fixed Set Pathology Recognition through Report-Guided Contrastive Training				
076-Paper1095	Building Brains: Subvolume Recombination for Data Augmentation in Large Vessel Occlusion Detection				
077-Paper0239	CACTUSS: Common Anatomical CT-US Space for US examinations	The authors reference the US simulation algorithm and CUT network and provide parameters for each. As noted in their checklist code is not provided . Overall this limits reproducibility of their work. It would be of great interest to the community if they provided access to their framework to allow others to leverage well-curated CT (or MR?!) datasets for US applications.		The authors reference the US simulation algorithm and CUT network and provide parameters for each. As noted in their checklist code is not provided . Overall this limits reproducibility of their work. It would be of great interest to the community if they provided access to their framework to allow others to leverage well-curated CT (or MR?!) datasets for US applications.	
078-Paper0017	Calibrating Label Distribution for Class-Imbalanced Barely-Supervised Knee Segmentation				
079-Paper0963	Calibration of Medical Imaging Classification Systems with Weight Scaling				
080-Paper1145	Camera Adaptation for Fundus-Image-Based CVD Risk Estimation				
081-Paper2332	Capturing Shape Information with Multi-Scale Topological Loss Terms for 3D Reconstruction				
082-Paper2156	Carbon Footprint of Selecting and Training Deep Learning Models for Medical Image Analysis				
083-Paper0783	CaRTS: Causality-driven Robot Tool Segmentation from Vision and Kinematics Data				
084-Paper1369	CASHformer: Cognition Aware SHape Transformer for Longitudinal Analysis	All parts of the model architecture blocks are well described as well as the training procedure (mostly in the supplementary materials). The dataset is exhaustively detailed as well as the splits and the proposed evaluation process. As stated in the reproducibility checklist, not all hyper-parameters tuning / setting is reported, e.g. the loss weight lambda was empirically set.		All parts of the model architecture blocks are well described as well as the training procedure (mostly in the supplementary materials). The dataset is exhaustively detailed as well as the splits and the proposed evaluation process. As stated in the reproducibility checklist, not all hyper-parameters tuning / setting is reported, e.g. the loss weight lambda was empirically set.	
085-Paper0894	Censor-aware Semi-supervised Learning for Survival Time Prediction from Medical Images				
086-Paper0497	CephalFormer: Incorporating Global Structure Constraint into Visual Features for General Cephalometric Landmark Detection				
087-Paper2197	Cerebral Microbleeds Detection Using a 3D Feature Fused Region Proposal Network with Hard Sample Prototype Learning				
088-Paper0402	CFDA: Collaborative Feature Disentanglement and Augmentation for Pulmonary Airway Tree Modeling of COVID-19 CTs				
089-Paper1601	Characterization of brain activity patterns across states of consciousness based on variational auto-encoders	The paper meet the crieria on the checklist.			The paper meet the crieria on the checklist.
090-Paper1593	CheXRelNet: An Anatomy-Aware Model for Tracking Longitudinal Relationships between Chest X-Rays				
091-Paper1588	ChrSNet: Chromosome Straightening using Self-attention Guided Networks				
092-Paper2297	CIRDataset: A large-scale Dataset for Clinically-Interpretable lung nodule Radiomics and malignancy prediction	Apparently, the authors have not understood how to fill out the checklist: all questions are answered with yes, yet most of the information is missing in the paper (e.g. only everage values are given for comparison and no variation, no tests for statistical significance, ...) On a positive note, datasets and code will be released, which should answer many of the open questions.			Apparently, the authors have not understood how to fill out the checklist: all questions are answered with yes, yet most of the information is missing in the paper (e.g. only everage values are given for comparison and no variation, no tests for statistical significance, ...) On a positive note, datasets and code will be released, which should answer many of the open questions.
093-Paper1320	Class Impression for Data-free Incremental Learning				
094-Paper1363	Classification-aided High-quality PET Image Synthesis via Bidirectional Contrastive GAN with Shared Information Maximization				
095-Paper0431	Clinical-realistic Annotation for Histopathology Images with Probabilistic Semi-supervision: A Worst-case Study	More details about each training step, e.g., pre-training, fine-tuning, MC dropout configuration, need to be clarified for reproducibility. The authors checked almost all boxes in the checklist, in which it says the code would be made available. If that is the case, reproducibility is not an issue.		More details about each training step, e.g., pre-training, fine-tuning, MC dropout configuration, need to be clarified for reproducibility. The authors checked almost all boxes in the checklist, in which it says the code would be made available. If that is the case, reproducibility is not an issue.	
096-Paper2314	CLTS-GAN: Color-Lighting-Texture-Specular Reflection Augmentation for Colonoscopy				
097-Paper0726	Collaborative Quantization Embeddings for Intra-Subject Prostate MR Image Registration				
098-Paper0779	Combining mixed-format labels for AI-based pathology detection pipeline in a large-scale knee MRI study	Overall, very high reproducibiliy score. The checklist provided by the authors is in a agreement with the provided details. Few aspects regarding the private dataset and the data management are to be clarified. See the comments in next section.			Overall, very high reproducibiliy score. The checklist provided by the authors is in a agreement with the provided details. Few aspects regarding the private dataset and the data management are to be clarified. See the comments in next section.
099-Paper2128	Combining multiple atlases to estimate data-driven mappings between functional connectomes using optimal transport				
100-Paper1882	Computer-aided Tuberculosis Diagnosis with Attribute Reasoning Assistance				
101-Paper0377	Conditional Generative Data Augmentation for Clinical Audio Datasets				
102-Paper1704	Conditional VAEs for confound removal and normative modelling of neurodegenerative diseases				
103-Paper2792	Consistency-based Semi-supervised Evidential Active Learning for Diagnostic Radiograph Classification				
104-Paper0744	Consistency-preserving Visual Question Answering in Medical Imaging				
105-Paper0772	Context-Aware Transformers For Spinal Cancer Detection and Radiological Grading				
106-Paper0991	Context-aware Voxel-wise Contrastive Learning for Label Efficient Multi-organ Segmentation				
107-Paper1211	ConTrans: Improving Transformer with Convolutional Attention for Medical Image Segmentation				
108-Paper0616	ContraReg: Contrastive Learning of Multi-modality Unsupervised Deformable Image Registration				
109-Paper1057	Contrast-free Liver Tumor Detection using Ternary Knowledge Transferred Teacher-student Deep Reinforcement Learning	Most reproducibility checklist are fulfilled.	Most reproducibility checklist are fulfilled.		
110-Paper0148	Contrastive Functional Connectivity Graph Learning for Population-based fMRI Classification				
111-Paper1698	Contrastive learning for echocardiographic view integration				
112-Paper1582	Contrastive Masked Transformers for Forecasting Renal Transplant Function				
113-Paper1027	Contrastive Re-localization and History Distillation in Federated CMR Segmentation				
114-Paper0573	Contrastive Transformer-based Multiple Instance Learning for Weakly Supervised Polyp Frame Detection				
115-Paper0458	Coronary R-CNN: Vessel-wise Method for Coronary Artery Lesion Detection and Analysis in Coronary CT Angiography				
116-Paper2123	CorticalFlow++: Boosting Cortical Surface Reconstruction Accuracy, Regularity, and Interoperability				
117-Paper0775	CRISP - Reliable Uncertainty Estimation for Medical Image Segmentation				
118-Paper0133	CS2: A Controllable and Simultaneous Synthesizer of Images and Annotations with Minimal Human Intervention				
119-Paper0756	Curvature-enhanced Implicit Function Network for High-quality Tooth Model Generation from CBCT Images	I have some concerns about the reproducibility of the paper. The implementation and technical details of the method are not given in the paper. In the checklist, they claim that they will publish the data, training code, and network model. However, this information is not given in the text.			I have some concerns about the reproducibility of the paper. The implementation and technical details of the method are not given in the paper. In the checklist, they claim that they will publish the data, training code, and network model. However, this information is not given in the text.
120-Paper0539	DA-Net: Dual Branch Transformer and Adaptive Strip Upsampling for Retinal Vessels Segmentation				
121-Paper0233	D'ARTAGNAN: Counterfactual Video Generation				
122-Paper1816	Data-Driven Deep Supervision for Skin Lesion Classification				
123-Paper1296	Data-driven Multi-Modal Partial Medical Image Preregistration by Template Space Patch Mapping				
124-Paper2698	DDPNet: A novel dual-domain parallel network for low-dose CT reconstruction				
125-Paper0688	Decoding Task Sub-type States with Group Deep Bidirectional Recurrent Neural Network				
126-Paper0406	Decoupling Predictions in Distributed Learning for Multi-Center Left Atrial MRI Segmentation				
127-Paper1750	Deep filter bank regression for super-resolution of anisotropic MR brain images				
128-Paper2496	Deep Geometric Supervision Improves Spatial Generalization in Orthopedic Surgery Planning				
129-Paper0636	Deep is a Luxury We Don't Have				
130-Paper1440	Deep Laparoscopic Stereo Matching with Transformers				
131-Paper2581	Deep Learning based Modality-Independent Intracranial Aneurysm Detection				
132-Paper0144	Deep Learning-based Facial Appearance Simulation Driven by Surgically Planned Craniomaxillofacial Bony Movement	The paper provides many details on their implementation, hence there is no major reason to argue about paper reproducibility. Authors report the different hyperparameters used (both in the data processing phase and network training and evaluation phase). Details on the dimension of each modules of the architecture are also provided. Although authors declared that they shared dataset and code in the reproducibility checklist, I do not see any link to such resources in the paper. I would expect that authors share their implementations upon acceptance.		The paper provides many details on their implementation, hence there is no major reason to argue about paper reproducibility. Authors report the different hyperparameters used (both in the data processing phase and network training and evaluation phase). Details on the dimension of each modules of the architecture are also provided. Although authors declared that they shared dataset and code in the reproducibility checklist, I do not see any link to such resources in the paper. I would expect that authors share their implementations upon acceptance.	
133-Paper1387	Deep learning-based Head and Neck Radiotherapy Planning Dose Prediction via Beam-wise Dose Decomposition	Seems okay since author promised to provide the data and code in the reproducibility checklist. Otherwise, it is unclear to say since some key network architecture details are not provided in the paper itself.	"The authors have essentially answered ""yes"" to every question in the reproducibility checklist. However, in reality most of the relevant points have not been included in the manuscript. While not all raised questions can be addressed in the manuscript, the checklist should be filled out correctly. I believe the most interesting information to add to the manuscript would be how the proposed method's hyperparameters were tuned (especially the loss function hyperparameters alpha and beta), how the baselines were implemented and tuned and additional discussion of the clinical significance (see comments above)."	Seems okay since author promised to provide the data and code in the reproducibility checklist. Otherwise, it is unclear to say since some key network architecture details are not provided in the paper itself.	
134-Paper1226	Deep Motion Network for Freehand 3D Ultrasound Reconstruction				
135-Paper2703	Deep Multimodal Guidance for Medical Image Classification				
136-Paper2262	Deep Regression with Spatial-Frequency Feature Coupling and Image Synthesis for Robot-Assisted Endomicroscopy				
137-Paper2350	Deep Reinforcement Learning for Detection of Inner Ear Abnormal Anatomy in Computed Tomography				
138-Paper2325	Deep Reinforcement Learning for Small Bowel Path Tracking using Different Types of Annotations				
139-Paper0232	Deep treatment response assessment and prediction of colorectal cancer liver metastases				
140-Paper0637	DeepCRC: Colorectum and Colorectal Cancer Segmentation in CT Scans via Deep Colorectal Coordinate Transform				
141-Paper0970	Deep-learning Based T1 and T2 Quantification from Undersampled Magnetic Resonance Fingerprinting Data to Track Tracer Kinetics in Small Laboratory Animals	The checklist mentions the code will not be available in a repository as it is still under development, which limits reproducibility.		The checklist mentions the code will not be available in a repository as it is still under development, which limits reproducibility.	The checklist states that the dataset is downloadable, but I did not see an (anonymized) link in the manuscript Same for code and models The exact architecture of the UNet (number of features per layer) is not provided.  Not a problem if code is released. Hyper-parameter strategy is not mentioned, but maybe no hyper-parameter search was performed (which would be fine) Time/cost/memory not reported No statistical significance tests
142-Paper2133	DeepMIF: Deep learning based cell profiling for multispectral immunofluorescence images with graphical user interface	The reproducibility of the paper is good. The authors provided necessary details from the reproducibility checklist.			The reproducibility of the paper is good. The authors provided necessary details from the reproducibility checklist.
143-Paper1080	DeepPyramid: Enabling Pyramid View and Deformable Pyramid Reception for Semantic Segmentation in Cataract Surgery Videos				
144-Paper0626	DeepRecon: Joint 2D Cardiac Segmentation and 3D Volume Reconstruction via A Structure-Specific Generative Method	Good, the author's answers to the reproducibility checklist correspond to the content of their paper.	Good, the author's answers to the reproducibility checklist correspond to the content of their paper.		
145-Paper1802	Deformer: Towards Displacement Field Learning for Unsupervised Medical Image Registration	Good reproducibility. Many technical details of the proposed method are reported and the authors claimed that the code will release if the work is accepted in the reproducibility checklist.	Good reproducibility. Many technical details of the proposed method are reported and the authors claimed that the code will release if the work is accepted in the reproducibility checklist.		
146-Paper0151	Degradation-invariant Enhancement of Fundus Images via Pyramid Constraint Network				
147-Paper0429	Delving into Local Features for Open-Set Domain Adaptation in Fundus Image Analysis				
148-Paper0702	Denoising for Relaxing: Unsupervised Domain Adaptive Fundus Image Segmentation without Source Data				
149-Paper0796	Denoising of 3D MR images using a voxel-wise hybrid residual MLP-CNN model to improve small lesion diagnostic confidence				
150-Paper0632	DentalPointNet: Landmark Localization on High-Resolution 3D Digital Dental Models				
151-Paper0408	DeSD: Self-Supervised Learning with Deep Self-Distillation for 3D Medical Image Segmentation				
152-Paper1127	DeStripe: A Self2Self Spatio-Spectral Graph Neural Network with Unfolded Hessian for Stripe Artifact Removal in Light-sheet Microscopy				
153-Paper1579	Detecting Aortic Valve Pathology from the 3-Chamber Cine Cardiac MRI View				
154-Paper1426	DEUE: Delta Ensemble Uncertainty Estimation for a More Robust Estimation of Ejection Fraction				
155-Paper0164	DGMIL: Distribution Guided Multiple Instance Learning for Whole Slide Image Classification	The authors have clarified that the code will be available in the reproducibility checklist.	The authors have clarified that the code will be available in the reproducibility checklist.		
156-Paper0682	Did You Get What You Paid For? Rethinking Annotation Cost of Deep Learning Based Computer Aided Detection in Chest Radiographs				
157-Paper0467	Diffusion Deformable Model for 4D Temporal Medical Image Generation				
158-Paper0704	Diffusion Models for Medical Anomaly Detection				
159-Paper1952	Digestive Organ Recognition in Video Capsule Endoscopy based on Temporal Segmentation Network				
160-Paper1447	Discrepancy and Gradient-guided Multi-Modal Knowledge Distillation for Pathological Glioma Grading				
161-Paper0659	Discrepancy-based Active Learning for Weakly Supervised Bleeding Segmentation in Wireless Capsule Endoscopy Images				
162-Paper0353	Disentangle then Calibrate: Selective Treasure Sharing for Generalized Rare Disease Diagnosis				
163-Paper2193	DisQ: Disentangling Quantitative MRI Mapping of the Heart	The manuscript mentions the code will be available in a repository and the checklist supports this statement. There are some little details not explained in the paper, but it may be out of the scope of a conference paper. Once uploaded, it will guarantee reproducibility.			The manuscript mentions the code will be available in a repository and the checklist supports this statement. There are some little details not explained in the paper, but it may be out of the scope of a conference paper. Once uploaded, it will guarantee reproducibility.
164-Paper0323	Distilling Knowledge from Topological Representations for Pathological Complete Response Prediction				
165-Paper1029	Domain Adaptive Mitochondria Segmentation via Enforcing Inter-Section Consistency				
166-Paper1242	Domain Adaptive Nuclei Instance Segmentation and Classification via Category-aware Feature Alignment and Pseudo-labelling	The authors do not provide the description of results with central tendency (e.g. mean) & variation in the paper, which they answered Yes in the checklist. It would be a plus to add mean and variance to the results.	The authors do not provide the description of results with central tendency (e.g. mean) & variation in the paper, which they answered Yes in the checklist. It would be a plus to add mean and variance to the results.		
167-Paper0127	Domain Specific Convolution and High Frequency Reconstruction based Unsupervised Domain Adaptation for Medical Image Segmentation				
168-Paper1315	Domain-Adaptive 3D Medical Image Synthesis: An Efficient Unsupervised Approach				
169-Paper0992	Domain-Prior-Induced Structural MRI Adaptation for Clinical Progression Prediction of Subjective Cognitive Decline				
170-Paper1693	DOMINO: Domain-aware Model Calibration in Medical Image Segmentation				
171-Paper0021	Double-Uncertainty Guided Spatial and Temporal Consistency Regularization Weighting for Learning-based Abdominal Registration				
172-Paper1456	DRGen: Domain Generalization in Diabetic Retinopathy Classification				
173-Paper1510	DS3-Net: Difficulty-perceived Common-to-T1ce Semi-Supervised Multimodal MRI Synthesis Network				
174-Paper0950	DSP-Net: Deeply-Supervised Pseudo-Siamese Network for Dynamic Angiographic Image Matching				
175-Paper1389	DSR: Direct Simultaneous Registration for Multiple 3D Images				
176-Paper0333	Dual-Branch Squeeze-Fusion-Excitation Module for Cross-Modality Registration of Cardiac SPECT and CT				
177-Paper0838	Dual-Distribution Discrepancy for Anomaly Detection in Chest X-Rays				
178-Paper1476	Dual-graph Learning Convolutional Networks for Interpretable Alzheimer's Disease Diagnosis				
179-Paper1430	Dual-HINet: Dual Hierarchical Integration Network of Multigraphs for Connectional Brain Template Learning				
180-Paper1066	DuDoCAF: Dual-Domain Cross-Attention Fusion with Recurrent Transformer for Fast Multi-contrast MR Imaging				
181-Paper0434	Dynamic Bank Learning for Semi-supervised Federated Image Diagnosis with Class Imbalance				
182-Paper2304	EchoCoTr: Estimation of the Left Ventricular Ejection Fraction from Spatiotemporal Echocardiography				
183-Paper1732	EchoGNN: Explainable Ejection Fraction Estimation with Graph Neural Networks				
184-Paper0300	Edge-oriented Point-cloud Transformer for 3D Intracranial Aneurysm Segmentation				
185-Paper1159	Effective Opportunistic Esophageal Cancer Screening using Noncontrast CT Imaging				
186-Paper2172	Efficient Bayesian Uncertainty Estimation for nnU-Net				
187-Paper0368	Efficient Biomedical Instance Segmentation via Knowledge Distillation	Some details are missing. The authors seems just check everything 'yes' in the checklist. Missing one of the loss function definition. Missing software framework and version. No new dataset proposed. Missing training time for the proposed distillation method.		Some details are missing. The authors seems just check everything 'yes' in the checklist. Missing one of the loss function definition. Missing software framework and version. No new dataset proposed. Missing training time for the proposed distillation method.	
188-Paper2377	Efficient population based hyperparameter scheduling for medical image segmentation				
189-Paper2746	Electron Microscope Image Registration using Laplacian Sharpening Transformer U-Net	use of public challenge data unclear if code is to be made available no significance testing (not claimed in checklist but unclear why not carried out)	use of public challenge data unclear if code is to be made available no significance testing (not claimed in checklist but unclear why not carried out)		
190-Paper0420	Embedding Gradient-based Optimization in Image Registration Networks				
191-Paper1872	Embedding Human Brain Function via Transformer				
192-Paper1262	End-to-End cell recognition by point annotation				
193-Paper0791	End-to-End Evidential-Efficient Net for Radiomics Analysis of Brain MRI to Predict Oncogene Expression and Overall Survival				
194-Paper0506	End-to-end Learning for Image-based Detection of Molecular Alterations in Digital Pathology				
195-Paper2010	End-to-end Multi-Slice-to-Volume Concurrent Registration and Multimodal Generation				
196-Paper1271	End-to-End Segmentation of Medical Images via Patch-wise Polygons Prediction	Some details are missing. The authors seems just check everything 'yes' in the checklist. Missing one of the loss function definition, i.e. L_{BCE}. Missing software framework and version. No new dataset proposed. Missing training time for the proposed network.		Some details are missing. The authors seems just check everything 'yes' in the checklist. Missing one of the loss function definition, i.e. L_{BCE}. Missing software framework and version. No new dataset proposed. Missing training time for the proposed network.	
197-Paper2651	Enforcing connectivity of 3D linear structures using their 2D projections	Apparently, the authors have not understood how to fill out the checklist: for many questions answered with yes, the information is actually missing in the paper (e.g. no tests for statistical significance, memory footprint, analysis of situations in which the method failed, etc.). Since no code will be published, these details will remain unknown.			Apparently, the authors have not understood how to fill out the checklist: for many questions answered with yes, the information is actually missing in the paper (e.g. no tests for statistical significance, memory footprint, analysis of situations in which the method failed, etc.). Since no code will be published, these details will remain unknown.
198-Paper1940	Enhancing model generalization for substantia nigra segmentation using a test-time normalization-based method				
199-Paper1749	Ensembled Prediction of Rheumatic Heart Disease from Ungated Doppler Echocardiography Acquired in Low-Resource Settings	The authors filled out the reproducibility checklists, but will not release their codes and dataset in the future. Then implementation details of all models in the paper are well described. It is easy to follow the paper and reproduce their work.	"Overall reasonably good. The model was clearly described although code has not been made available. One point of concern though - in the checklist, the authors answered ""Yes"" to ""The range of hyper-parameters considered, method to select the best hyper-parameter configuration, and specification of all hyper-parameters used to generate results."" I agree that they specified final hyperparameter values but I did not see any description of the range of values tested or how the hyperparameters were optimised (see detailed comments below)."	The authors filled out the reproducibility checklists, but will not release their codes and dataset in the future. Then implementation details of all models in the paper are well described. It is easy to follow the paper and reproduce their work.	
200-Paper0439	Estimating Model Performance under Domain Shifts with Class-Specific Confidence Scores				
201-Paper1563	Evidence fusion with contextual discounting for multi-modality medical image segmentation				
202-Paper0960	Evolutionary Multi-objective Architecture Search Framework: Application to COVID-19 3D CT Classification				
203-Paper1856	Explainable Contrastive Multiview Graph Representation of Brain, Mind, and Behavior				
204-Paper2558	Explaining Chest X-ray Pathologies in Natural Language				
205-Paper0081	Exploring Smoothness and Class-Separation for Semi-supervised Medical Image Segmentation				
206-Paper2742	Extended Electrophysiological Source Imaging with Spatial Graph Filters				
207-Paper2316	FairPrune: Achieving Fairness Through Pruning for Dermatological Disease Diagnosis				
208-Paper2313	Fast Automatic Liver Tumor Radiofrequency Ablation Planning via Learned Physics Model				
209-Paper2730	Fast FF-to-FFPE Whole Slide Image Translation via Laplacian Pyramid and Contrastive Learning				
210-Paper2428	Fast Spherical Mapping of Cortical Surface Meshes using Deep Unsupervised Learning	The paper meets the requirements of the checklist.		The paper meets the requirements of the checklist.	
211-Paper1680	Fast Unsupervised Brain Anomaly Detection and Segmentation with Diffusion Models	While the code is not publicly available (and the reproducibility checklist says so), I believe the authors might have used the original repositories for VQ-VAE and DDPM which are publicly available. Even though implementation details are not given, it might be possible to reproduce the method partially. Furthermore, the results are presented using public datasets.		While the code is not publicly available (and the reproducibility checklist says so), I believe the authors might have used the original repositories for VQ-VAE and DDPM which are publicly available. Even though implementation details are not given, it might be possible to reproduce the method partially. Furthermore, the results are presented using public datasets.	
212-Paper2777	Feature Re-calibration based Multiple Instance Learning for Whole Slide Image Classification				
213-Paper2407	Feature robustness and sex differences in medical imaging: a case study in MRI-based Alzheimer's disease detection				
