category		clarity	clarity	clarity	rate	rate	rate	confidence	confidence	confidence	rate rebuttal	rate rebuttal	rate rebuttal
011-Paper1016	A New Dataset and A Baseline Model for Breast Lesion Detection in Ultrasound Videos	Good	Very Good	Very Good	3	7	6	Somewhat Confident	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
012-Paper0202	A Novel Deep Learning System for Breast Lesion Risk Stratification in Ultrasound Images	Satisfactory	Excellent	Good	4	7	6	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	Not Answered	Not Answered	Not Answered
013-Paper0975	A Novel Fusion Network for Morphological Analysis of Common Iliac Artery	Satisfactory	Very Good	Good	3	5	5	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	5	Not Answered	Not Answered
014-Paper1405	A Novel Knowledge Keeper Network for 7T-Free But 7T-Guided Brain Tissue Segmentation	Very Good	Satisfactory	Very Good	5	3	5	Very confident	Somewhat Confident	Confident but not absolutely certain	N/A	N/A	N/A
015-Paper1881	A Penalty Approach for Normalizing Feature Distributions to Build Confounder-Free Models	Excellent	Good	Satisfactory	5	4	5	Very confident	Confident but not absolutely certain	Very confident	6	Not Answered	Not Answered
016-Paper2636	A Projection-Based K-space Transformer Network for Undersampled Radial MRI Reconstruction with Limited Training Subjects	Good	Excellent	Good	7	8	3	Very confident	Very confident	Somewhat Confident	N/A	N/A	N/A
017-Paper0545	A Robust Volumetric Transformer for Accurate 3D Tumor Segmentation	Very Good	Excellent	Good	5	6	5	Very confident	Very confident	Very confident	N/A	N/A	N/A
018-Paper0114	A Self-Guided Framework for Radiology Report Generation	Very Good	Good	Excellent	6	5	7	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
019-Paper0199	A Sense of Direction in Biomedical Neural Networks	Satisfactory	Very Good	Good	5	4	5	Very confident	Confident but not absolutely certain	Very confident	5	5	Not Answered
020-Paper0395	A Spatiotemporal Model for Precise and Efficient Fully-automatic 3D Motion Correction in OCT	Excellent	Good	Satisfactory	6	5	4	Somewhat Confident	Confident but not absolutely certain	Very confident	Not Answered	5	Not Answered
021-Paper0893	A Transformer-Based Iterative Reconstruction Model for Sparse-View CT Reconstruction	Good	Very Good	Very Good	5	7	5	Confident but not absolutely certain	Very confident	Very confident	N/A	N/A	N/A
022-Paper0036	AANet: Artery-Aware Network for Pulmonary Embolism Detection in CTPA Images	Very Good	Satisfactory	Very Good	6	5	6	Confident but not absolutely certain	Very confident	Very confident	N/A	N/A	N/A
023-Paper2394	Accelerated pseudo 3D dynamic speech MR imaging at 3T using unsupervised deep variational manifold learning	Good	Good	Very Good	6	6	4	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	Not Answered	Not Answered	Not Answered
024-Paper2344	Accurate and Explainable Image-based Prediction Using a Lightweight Generative Model	Very Good	Excellent	Good	7	7	4	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
025-Paper0249	Accurate and Robust Lesion RECIST Diameter Prediction and Segmentation with Transformers	Satisfactory	Good	Good	6	4	6	Very confident	Very confident	Confident but not absolutely certain	Not Answered	Not Answered	Not Answered
026-Paper1270	Accurate Corresponding Fiber Tract Segmentation via FiberGeoMap Learner	Satisfactory	Satisfactory	Excellent	4	5	8	Somewhat Confident	Very confident	Very confident	5	4	Not Answered
027-Paper0159	ACT: Semi-supervised Domain-adaptive Medical Image Segmentation with Asymmetric Co-Training	Satisfactory	Satisfactory	Very Good	5	5	5	Somewhat Confident	Very confident	Very confident	N/A	N/A	N/A
028-Paper2509	Adaptation of Surgical Activity Recognition Models Across Operating Rooms	Excellent	Excellent	Good	4	8	4	Very confident	Very confident	Very confident	Not Answered	8	3
029-Paper2006	Adapting the Mean Teacher for keypoint-based lung registration under geometric domain shifts	Satisfactory	Excellent	Excellent	2	7	7	Very confident	Very confident	Very confident	2	7	Not Answered
030-Paper0272	Adaptive 3D Localization of 2D Freehand Ultrasound Brain Images	Very Good	Very Good	Good	4	6	6	Not Confident	Confident but not absolutely certain	Very confident	5	Not Answered	Not Answered
031-Paper2848	AdaTriplet: Adaptive Gradient Triplet Loss with Automatic Margin Learning for Forensic Medical Image Matching	Good	Excellent	Excellent	6	7	4	Somewhat Confident	Very confident	Very confident	N/A	N/A	N/A
032-Paper1371	Addressing Class Imbalance in Semi-supervised Image Segmentation: A Study on Cardiac MRI	Satisfactory	Very Good	Excellent	3	7	7	Confident but not absolutely certain	Somewhat Confident	Very confident	Not Answered	7	7
033-Paper0332	Adversarial Consistency for Single Domain Generalization in Medical Image Segmentation	Good	Poor	Good	6	3	6	Very confident	Very confident	Very confident	Not Answered	Not Answered	Not Answered
034-Paper1829	Adversarially Robust Prototypical Few-shot Segmentation with Neural-ODEs	Satisfactory	Excellent	Very Good	4	7	5	Confident but not absolutely certain	Very confident	Somewhat Confident	N/A	N/A	N/A
035-Paper1248	Agent with Tangent-based Formulation and Anatomical Perception for Standard Plane Localization in 3D Ultrasound	Excellent	Very Good	Very Good	7	5	7	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
036-Paper1552	Aggregative Self-Supervised Feature Learning from Limited Medical Images	Very Good	Satisfactory	Excellent	6	5	5	Very confident	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
037-Paper1305	An Accurate Unsupervised Liver Lesion Detection Method Using Pseudo-Lesions	Good	Good	Very Good	6	4	5	Very confident	Very confident	Very confident	Not Answered	Not Answered	5
038-Paper1415	An adaptive network with extragradient for diffusion MRI-based microstructure estimation	Very Good	Excellent	Good	6	6	4	Confident but not absolutely certain	Somewhat Confident	Confident but not absolutely certain	7	Not Answered	Not Answered
039-Paper2756	An Advanced Deep Learning Framework for Video-based Diagnosis of ASD	Good	Good	Very Good	6	6	4	Somewhat Confident	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
040-Paper0031	An End-to-End Combinatorial Optimization Method for R-band Chromosome Recognition with Grouping Guided Attention	Excellent	Good	Very Good	7	5	6	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
041-Paper0049	An Inclusive Task-Aware Framework for Radiology Report Generation	Satisfactory	Good	Very Good	5	6	6	Somewhat Confident	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
042-Paper1549	An Optimal Control Problem for Elastic Registration and Force Estimation in Augmented Surgery	Very Good	Very Good	Satisfactory	5	6	2	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	Not Answered	Not Answered	Not Answered
043-Paper1625	Analyzing and Improving Low Dose CT Denoising Network via HU Level Slicing	Good	Good	Very Good	6	6	4	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	Not Answered	6	Not Answered
044-Paper1703	Analyzing Brain Structural Connectivity as Continuous Random Functions	Excellent	Good	Poor	7	6	2	Somewhat Confident	Very confident	Very confident	Not Answered	6	2
045-Paper1726	Anatomy-Guided Weakly-Supervised Abnormality Localization in Chest X-rays	Very Good	Very Good	Good	5	5	1	Very confident	Confident but not absolutely certain	Very confident	Not Answered	5	2
046-Paper2430	Anomaly-aware multiple instance learning for rare anemia disorder classification	Very Good	Very Good	Good	4	5	5	Very confident	Very confident	Very confident	5	5	5
047-Paper1683	Assessing the Performance of Automated Prediction and Ranking of Patient Age from Chest X-rays Against Clinicians	Good	Poor	Very Good	5	5	6	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
048-Paper1796	Asymmetry Disentanglement Network for Interpretable Acute Ischemic Stroke Infarct Segmentation in Non-Contrast CT Scans	Very Good	Very Good	Good	6	4	5	Very confident	Confident but not absolutely certain	Somewhat Confident	6	4	Not Answered
049-Paper2434	Atlas-based Semantic Segmentation of Prostate Zones	Very Good	Very Good	Very Good	5	6	4	Confident but not absolutely certain	Somewhat Confident	Very confident	5	Not Answered	Not Answered
050-Paper0345	Atlas-powered deep learning (ADL) - application to diffusion weighted MRI	Very Good	Good	Very Good	7	4	6	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	Not Answered	Not Answered	Not Answered
051-Paper1798	Attention mechanisms for physiological signal deep learning: which attention should we take?	Excellent	Very Good	Good	6	5	4	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	Not Answered	Not Answered	5
052-Paper2482	Attentional Generative Multimodal Network for Neonatal Postoperative Pain Estimation	Very Good	Very Good	Good	7	4	5	Somewhat Confident	Confident but not absolutely certain	Confident but not absolutely certain	Not Answered	6	Not Answered
053-Paper1971	Attention-enhanced Disentangled Representation Learning for Unsupervised Domain Adaptation in Cardiac Segmentation	Very Good	Very Good	Good	6	5	3	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	Not Answered	5	3
054-Paper0676	Attentive Symmetric Autoencoder for Brain MRI Segmentation	Excellent	Very Good	Good	7	5	6	Very confident	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
055-Paper0121	Autofocusing+: Noise-Resilient Motion Correction in Magnetic Resonance Imaging	Good	Satisfactory	Very Good	5	5	6	Confident but not absolutely certain	Somewhat Confident	Very confident	6	Not Answered	6
056-Paper0386	AutoGAN-Synthesizer: Neural Architecture Search for Cross-Modality MRI Synthesis	Satisfactory	Excellent	Good	5	6	4	Very confident	Very confident	Confident but not absolutely certain	Not Answered	6	5
057-Paper1988	AutoLaparo: A New Dataset of Integrated Multi-tasks for Image-guided Surgical Automation in Laparoscopic Hysterectomy	Excellent	Very Good	Good	5	4	5	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	Not Answered	4	Not Answered
058-Paper1919	Automated Classification of General Movements in Infants Using Two-stream Spatiotemporal Fusion Network	Very Good	Good	Good	4	5	6	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	Not Answered	Not Answered	Not Answered
059-Paper2247	Automatic Detection of Steatosis in Ultrasound Images with Comparative Visual Labeling	Very Good	Very Good	Good	6	4	5	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	6	4	Not Answered
060-Paper1361	Automatic identification of segmentation errors for radiotherapy using geometric learning	Good	Good	Satisfactory	6	6	5	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
061-Paper2252	Automatic Segmentation of Hip Osteophytes in DXA Scans using U-Nets	Good	Excellent	Excellent	4	5	6	Very confident	Very confident	Very confident	4	6	Not Answered
062-Paper0295	Automating Blastocyst Formation and Quality Prediction in Time-Lapse Imaging with Adaptive Key Frame Selection	Very Good	Good	Excellent	5	5	7	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
063-Paper2315	Automation of clinical measurements on radiographs of children's hips	Excellent	Good	Satisfactory	6	5	3	Confident but not absolutely certain	Very confident	Very confident	6	5	4
064-Paper1731	BabyNet: Residual Transformer Module for Birth Weight Prediction on Fetal Ultrasound Video	Good	Good	Very Good	5	6	5	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
065-Paper0280	Bayesian dense inverse searching algorithm for real-time stereo matching in minimally invasive surgery	Excellent	Good	Good	8	6	5	Confident but not absolutely certain	Very confident	Somewhat Confident	N/A	N/A	N/A
066-Paper2505	Bayesian Pseudo Labels: Expectation Maximization for Robust and Efficient Semi-Supervised Segmentation	Very Good	Very Good	Very Good	6	6	7	Confident but not absolutely certain	Very confident	Very confident	N/A	N/A	N/A
067-Paper1462	Benchmarking the Robustness of Deep Neural Networks to Common Corruptions in Digital Pathology	Very Good	Excellent	Satisfactory	5	7	2	Confident but not absolutely certain	Very confident	Very confident	Not Answered	7	Not Answered
068-Paper2856	BERTHop: An Effective Vision-and-Language Model for Chest X-ray Disease Diagnosis	Good	Very Good	Good	4	7	6	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	5	Not Answered	Not Answered
069-Paper1459	Bi-directional Encoding for Explicit Centerline Segmentation by Fully-Convolutional Networks	Satisfactory	Good	Good	4	5	4	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	6	5	Not Answered
070-Paper1108	BiometryNet: Landmark-based Fetal Biometry Estimation from Standard Ultrasound Planes	Good	Excellent	Very Good	5	7	6	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
071-Paper1852	BMD-GAN: Bone mineral density estimation using x-ray image decomposition into projections of bone-segmented quantitative computed tomography using hierarchical learning	Satisfactory	Excellent	Excellent	5	7	7	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
072-Paper0820	Boundary-Enhanced Self-Supervised Learning for Brain Structure Segmentation	Good	Satisfactory	Good	6	4	3	Very confident	Very confident	Confident but not absolutely certain	Not Answered	Not Answered	5
073-Paper0016	BoxPolyp: Boost Generalized Polyp Segmentation using Extra Coarse Bounding Box Annotations	Excellent	Good	Good	8	5	5	Very confident	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
074-Paper2706	Brain-Aware Replacements for Supervised Contrastive Learning in Detection of Alzheimer's Disease	Excellent	Very Good	Very Good	7	4	6	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
075-Paper2270	Breaking with Fixed Set Pathology Recognition through Report-Guided Contrastive Training	Very Good	Very Good	Very Good	6	7	5	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
076-Paper1095	Building Brains: Subvolume Recombination for Data Augmentation in Large Vessel Occlusion Detection	Satisfactory	Very Good	Very Good	5	5	6	Confident but not absolutely certain	Very confident	Very confident	N/A	N/A	N/A
077-Paper0239	CACTUSS: Common Anatomical CT-US Space for US examinations	Excellent	Good	Good	6	4	7	Very confident	Somewhat Confident	Very confident	Not Answered	Not Answered	Not Answered
078-Paper0017	Calibrating Label Distribution for Class-Imbalanced Barely-Supervised Knee Segmentation	Good	Satisfactory	Very Good	6	4	7	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
079-Paper0963	Calibration of Medical Imaging Classification Systems with Weight Scaling	Very Good	Satisfactory	Good	6	4	4	Somewhat Confident	Somewhat Confident	Somewhat Confident	Not Answered	5	Not Answered
080-Paper1145	Camera Adaptation for Fundus-Image-Based CVD Risk Estimation	Satisfactory	Satisfactory	Very Good	5	3	6	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	Not Answered	Not Answered	6
081-Paper2332	Capturing Shape Information with Multi-Scale Topological Loss Terms for 3D Reconstruction	Very Good	Very Good	Very Good	7	7	5	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
082-Paper2156	Carbon Footprint of Selecting and Training Deep Learning Models for Medical Image Analysis	Excellent	Excellent	Poor	7	7	1	Very confident	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
083-Paper0783	CaRTS: Causality-driven Robot Tool Segmentation from Vision and Kinematics Data	Satisfactory	Good	Very Good	3	5	6	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	Not Answered	5	Not Answered
084-Paper1369	CASHformer: Cognition Aware SHape Transformer for Longitudinal Analysis	Good	Satisfactory	Very Good	4	6	4	Somewhat Confident	Somewhat Confident	Confident but not absolutely certain	Not Answered	6	7
085-Paper0894	Censor-aware Semi-supervised Learning for Survival Time Prediction from Medical Images	Excellent	Very Good	Very Good	6	6	5	Confident but not absolutely certain	Confident but not absolutely certain	Somewhat Confident	N/A	N/A	N/A
086-Paper0497	CephalFormer: Incorporating Global Structure Constraint into Visual Features for General Cephalometric Landmark Detection	Very Good	Good	Excellent	5	5	7	Very confident	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
087-Paper2197	Cerebral Microbleeds Detection Using a 3D Feature Fused Region Proposal Network with Hard Sample Prototype Learning	Very Good	Good	Good	7	4	6	Very confident	Confident but not absolutely certain	Somewhat Confident	N/A	N/A	N/A
088-Paper0402	CFDA: Collaborative Feature Disentanglement and Augmentation for Pulmonary Airway Tree Modeling of COVID-19 CTs	Good	Good	Very Good	7	5	6	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
089-Paper1601	Characterization of brain activity patterns across states of consciousness based on variational auto-encoders	Very Good	Satisfactory	Good	6	5	4	Confident but not absolutely certain	Confident but not absolutely certain	Somewhat Confident	Not Answered	Not Answered	Not Answered
090-Paper1593	CheXRelNet: An Anatomy-Aware Model for Tracking Longitudinal Relationships between Chest X-Rays	Very Good	Very Good	Very Good	5	4	7	Confident but not absolutely certain	Confident but not absolutely certain	Somewhat Confident	Not Answered	5	Not Answered
091-Paper1588	ChrSNet: Chromosome Straightening using Self-attention Guided Networks	Good	Very Good	Excellent	3	6	6	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	Not Answered	Not Answered	Not Answered
092-Paper2297	CIRDataset: A large-scale Dataset for Clinically-Interpretable lung nodule Radiomics and malignancy prediction	Good	Very Good	Good	5	4	5	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	5	5	5
093-Paper1320	Class Impression for Data-free Incremental Learning	Good	Satisfactory	Excellent	5	4	7	Very confident	Very confident	Confident but not absolutely certain	Not Answered	Not Answered	Not Answered
094-Paper1363	Classification-aided High-quality PET Image Synthesis via Bidirectional Contrastive GAN with Shared Information Maximization	Good	Excellent	Very Good	5	6	5	Very confident	Very confident	Very confident	N/A	N/A	N/A
095-Paper0431	Clinical-realistic Annotation for Histopathology Images with Probabilistic Semi-supervision: A Worst-case Study	Very Good	Good	Very Good	6	4	6	Very confident	Somewhat Confident	Confident but not absolutely certain	Not Answered	5	6
096-Paper2314	CLTS-GAN: Color-Lighting-Texture-Specular Reflection Augmentation for Colonoscopy	Good	Satisfactory	Good	6	5	4	Somewhat Confident	Somewhat Confident	Very confident	7	Not Answered	5
097-Paper0726	Collaborative Quantization Embeddings for Intra-Subject Prostate MR Image Registration	Very Good	Excellent	Good	5	8	2	Very confident	Very confident	Very confident	6	Not Answered	2
098-Paper0779	Combining mixed-format labels for AI-based pathology detection pipeline in a large-scale knee MRI study	Satisfactory	Excellent	Good	3	6	5	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	Not Answered	Not Answered	Not Answered
099-Paper2128	Combining multiple atlases to estimate data-driven mappings between functional connectomes using optimal transport	Very Good	Excellent	Good	6	7	6	Very confident	Somewhat Confident	Very confident	N/A	N/A	N/A
100-Paper1882	Computer-aided Tuberculosis Diagnosis with Attribute Reasoning Assistance	Good	Satisfactory	Good	6	4	4	Very confident	Very confident	Confident but not absolutely certain	Not Answered	Not Answered	6
101-Paper0377	Conditional Generative Data Augmentation for Clinical Audio Datasets	Excellent	Satisfactory	Good	6	4	5	Confident but not absolutely certain	Confident but not absolutely certain	Somewhat Confident	6	4	5
102-Paper1704	Conditional VAEs for confound removal and normative modelling of neurodegenerative diseases	Good	Satisfactory	Satisfactory	5	2	5	Very confident	Confident but not absolutely certain	Very confident	Not Answered	Not Answered	Not Answered
103-Paper2792	Consistency-based Semi-supervised Evidential Active Learning for Diagnostic Radiograph Classification	Poor	Satisfactory	Very Good	5	5	5	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
104-Paper0744	Consistency-preserving Visual Question Answering in Medical Imaging	Excellent	Good	Good	6	5	4	Very confident	Confident but not absolutely certain	Somewhat Confident	Not Answered	Not Answered	5
105-Paper0772	Context-Aware Transformers For Spinal Cancer Detection and Radiological Grading	Satisfactory	Very Good	Satisfactory	5	6	5	Very confident	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
106-Paper0991	Context-aware Voxel-wise Contrastive Learning for Label Efficient Multi-organ Segmentation	Satisfactory	Satisfactory	Good	4	5	4	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	Not Answered	Not Answered	Not Answered
107-Paper1211	ConTrans: Improving Transformer with Convolutional Attention for Medical Image Segmentation	Very Good	Good	Good	7	4	4	Very confident	Very confident	Very confident	N/A	N/A	N/A
108-Paper0616	ContraReg: Contrastive Learning of Multi-modality Unsupervised Deformable Image Registration	Good	Satisfactory	Excellent	6	3	8	Very confident	Very confident	Very confident	Not Answered	5	Not Answered
109-Paper1057	Contrast-free Liver Tumor Detection using Ternary Knowledge Transferred Teacher-student Deep Reinforcement Learning	Very Good	Very Good	Excellent	7	7	5	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
110-Paper0148	Contrastive Functional Connectivity Graph Learning for Population-based fMRI Classification	Good	Very Good	Good	4	5	6	Very confident	Somewhat Confident	Confident but not absolutely certain	Not Answered	Not Answered	Not Answered
111-Paper1698	Contrastive learning for echocardiographic view integration	Excellent	Very Good	Excellent	7	4	7	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	Not Answered	5	Not Answered
112-Paper1582	Contrastive Masked Transformers for Forecasting Renal Transplant Function	Very Good	Very Good	Very Good	4	5	6	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
113-Paper1027	Contrastive Re-localization and History Distillation in Federated CMR Segmentation	Satisfactory	Very Good	Satisfactory	5	7	4	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	Not Answered	7	Not Answered
114-Paper0573	Contrastive Transformer-based Multiple Instance Learning for Weakly Supervised Polyp Frame Detection	Very Good	Good	Good	7	5	5	Confident but not absolutely certain	Very confident	Very confident	N/A	N/A	N/A
115-Paper0458	Coronary R-CNN: Vessel-wise Method for Coronary Artery Lesion Detection and Analysis in Coronary CT Angiography	Excellent	Satisfactory	Good	6	4	5	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	Not Answered	Not Answered	Not Answered
116-Paper2123	CorticalFlow++: Boosting Cortical Surface Reconstruction Accuracy, Regularity, and Interoperability	Good	Good	Very Good	5	5	5	Very confident	Very confident	Very confident	5	Not Answered	Not Answered
117-Paper0775	CRISP - Reliable Uncertainty Estimation for Medical Image Segmentation	Very Good	Satisfactory	Good	6	3	5	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	Not Answered	3	Not Answered
118-Paper0133	CS2: A Controllable and Simultaneous Synthesizer of Images and Annotations with Minimal Human Intervention	Very Good	Very Good	Good	6	5	3	Very confident	Confident but not absolutely certain	Very confident	6	5	Not Answered
119-Paper0756	Curvature-enhanced Implicit Function Network for High-quality Tooth Model Generation from CBCT Images	Very Good	Very Good	Good	6	6	4	Very confident	Confident but not absolutely certain	Somewhat Confident	N/A	N/A	N/A
120-Paper0539	DA-Net: Dual Branch Transformer and Adaptive Strip Upsampling for Retinal Vessels Segmentation	Very Good	Very Good	Very Good	6	5	7	Confident but not absolutely certain	Very confident	Very confident	N/A	N/A	N/A
121-Paper0233	D'ARTAGNAN: Counterfactual Video Generation	Very Good	Satisfactory	Satisfactory	6	5	3	Somewhat Confident	Somewhat Confident	Confident but not absolutely certain	5	Not Answered	Not Answered
122-Paper1816	Data-Driven Deep Supervision for Skin Lesion Classification	Good	Good	Very Good	5	5	6	Very confident	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
123-Paper1296	Data-driven Multi-Modal Partial Medical Image Preregistration by Template Space Patch Mapping	Good	Very Good	Excellent	4	6	6	Somewhat Confident	Very confident	Somewhat Confident	Not Answered	6	Not Answered
124-Paper2698	DDPNet: A novel dual-domain parallel network for low-dose CT reconstruction	Poor	Very Good	Very Good	5	3	6	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	6	4	6
125-Paper0688	Decoding Task Sub-type States with Group Deep Bidirectional Recurrent Neural Network	Very Good	Very Good	Excellent	5	7	7	Very confident	Very confident	Very confident	N/A	N/A	N/A
126-Paper0406	Decoupling Predictions in Distributed Learning for Multi-Center Left Atrial MRI Segmentation	Very Good	Good		7	5		Very confident	Very confident		Not Answered	6	
127-Paper1750	Deep filter bank regression for super-resolution of anisotropic MR brain images	Very Good	Excellent	Satisfactory	6	7	4	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
128-Paper2496	Deep Geometric Supervision Improves Spatial Generalization in Orthopedic Surgery Planning	Satisfactory	Good	Good	6	7	6	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
129-Paper0636	Deep is a Luxury We Don't Have	Very Good	Very Good	Good	6	5	5	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	Not Answered	5	5
130-Paper1440	Deep Laparoscopic Stereo Matching with Transformers	Very Good	Satisfactory	Satisfactory	7	3	6	Very confident	Very confident	Confident but not absolutely certain	Not Answered	5	Not Answered
131-Paper2581	Deep Learning based Modality-Independent Intracranial Aneurysm Detection	Very Good	Very Good	Excellent	6	5	6	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
132-Paper0144	Deep Learning-based Facial Appearance Simulation Driven by Surgically Planned Craniomaxillofacial Bony Movement	Very Good	Very Good	Excellent	7	6	8	Confident but not absolutely certain	Very confident	Very confident	N/A	N/A	N/A
133-Paper1387	Deep learning-based Head and Neck Radiotherapy Planning Dose Prediction via Beam-wise Dose Decomposition	Very Good	Very Good	Satisfactory	4	5	3	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	5	Not Answered	4
134-Paper1226	Deep Motion Network for Freehand 3D Ultrasound Reconstruction	Very Good	Very Good	Good	8	7	6	Very confident	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
135-Paper2703	Deep Multimodal Guidance for Medical Image Classification	Very Good	Very Good	Excellent	4	7	7	Confident but not absolutely certain	Very confident	Very confident	N/A	N/A	N/A
136-Paper2262	Deep Regression with Spatial-Frequency Feature Coupling and Image Synthesis for Robot-Assisted Endomicroscopy	Good	Very Good	Good	5	5	5	Confident but not absolutely certain	Somewhat Confident	Confident but not absolutely certain	Not Answered	Not Answered	5
