category		contribution	contribution	contribution	contribution	detailed	detailed	detailed	detailed	justifictation	justifictation	justifictation	justifictation	repro	repro	repro	repro	strenghts	strenghts	strenghts	strenghts	total	total	total	weakness	weakness	weakness	weakness
053-Paper1971	Attention-enhanced Disentangled Representation Learning for Unsupervised Domain Adaptation in Cardiac Segmentation	121.0	30	42	49	167.0	69	67	31	45.0	9	26	10	56.0	11	17	28	129.0	26	69	34	169.0	306.0	457.0	414.0	24	85	305
054-Paper0676	Attentive Symmetric Autoencoder for Brain MRI Segmentation	113.0	31	60	22	155.0	30	89	36	86.0	7	68	11	61.0	6	40	15	186.0	49	102	35	141.0	700.0	197.0	437.0	18	341	78
055-Paper0121	Autofocusing+: Noise-Resilient Motion Correction in Magnetic Resonance Imaging	143.0	29	69	45	591.0	56	335	200	98.0	19	47	32	51.0	15	8	28	112.0	17	51	44	182.0	606.0	399.0	192.0	46	96	50
056-Paper0386	AutoGAN-Synthesizer: Neural Architecture Search for Cross-Modality MRI Synthesis	194.0	18	121	55	268.0	55	58	155	33.0	16	12	5	36.0	11	6	19	90.0	30	37	23	231.0	273.0	312.0	195.0	101	39	55
057-Paper1988	AutoLaparo: A New Dataset of Integrated Multi-tasks for Image-guided Surgical Automation in Laparoscopic Hysterectomy	178.0	64	40	74	751.0	521	11	219	114.0	29	43	42	95.0	72	8	15	170.0	40	36	94	752.0	252.0	537.0	233.0	26	114	93
058-Paper1919	Automated Classification of General Movements in Infants Using Two-stream Spatiotemporal Fusion Network	184.0	47	93	44	281.0	78	201	2	100.0	38	56	6	22.0	9	8	5	111.0	19	72	20	388.0	467.0	120.0	277.0	197	37	43
059-Paper2247	Automatic Detection of Steatosis in Ultrasound Images with Comparative Visual Labeling	200.0	25	81	94	301.0	8	162	131	148.0	55	58	35	58.0	9	11	38	213.0	67	102	44	201.0	667.0	482.0	430.0	37	253	140
060-Paper1361	Automatic identification of segmentation errors for radiotherapy using geometric learning	168.0	1	109	58	169.0	1	164	4	192.0	91	96	5	85.0	1	73	11	118.0	1	95	22	96.0	970.0	274.0	608.0	1	433	174
061-Paper2252	Automatic Segmentation of Hip Osteophytes in DXA Scans using U-Nets	131.0	21	59	51	446.0	63	319	64	148.0	14	105	29	120.0	12	64	44	225.0	21	137	67	146.0	742.0	419.0	237.0	15	58	164
062-Paper0295	Automating Blastocyst Formation and Quality Prediction in Time-Lapse Imaging with Adaptive Key Frame Selection	188.0	84	52	52	501.0	258	150	93	103.0	36	5	62	83.0	53	23	7	111.0	29	20	62	540.0	258.0	292.0	104.0	80	8	16
063-Paper2315	Automation of clinical measurements on radiographs of children's hips	204.0	71	109	24	523.0	189	60	274	102.0	14	55	33	91.0	21	48	22	152.0	59	73	20	424.0	402.0	409.0	163.0	70	57	36
064-Paper1731	BabyNet: Residual Transformer Module for Birth Weight Prediction on Fetal Ultrasound Video	115.0	33	21	61	432.0	115	149	168	108.0	43	16	49	40.0	10	6	24	123.0	47	32	44	280.0	235.0	565.0	262.0	32	11	219
065-Paper0280	Bayesian dense inverse searching algorithm for real-time stereo matching in minimally invasive surgery	200.0	62	79	59	269.0	3	182	84	76.0	9	54	13	25.0	4	9	12	168.0	13	134	21	92.0	471.0	250.0	75.0	1	13	61
066-Paper2505	Bayesian Pseudo Labels: Expectation Maximization for Robust and Efficient Semi-Supervised Segmentation	153.0	75	17	61	200.0	34	4	162	112.0	26	52	34	34.0	12	1	21	193.0	78	52	63	256.0	338.0	352.0	254.0	31	212	11
067-Paper1462	Benchmarking the Robustness of Deep Neural Networks to Common Corruptions in Digital Pathology	195.0	93	63	39	214.0	4	22	188	105.0	14	17	74	69.0	12	14	43	165.0	53	62	50	493.0	234.0	704.0	683.0	317	56	310
068-Paper2856	BERTHop: An Effective Vision-and-Language Model for Chest X-ray Disease Diagnosis	146.0	53	54	39	119.0	66	6	47	61.0	25	19	17	60.0	21	10	29	141.0	29	33	79	244.0	156.0	299.0	172.0	50	34	88
069-Paper1459	Bi-directional Encoding for Explicit Centerline Segmentation by Fully-Convolutional Networks	96.0	16	24	56	816.0	18	18	780	88.0	2	32	54	69.0	12	1	56	111.0	11	57	43	129.0	377.0	1144.0	470.0	70	245	155
070-Paper1108	BiometryNet: Landmark-based Fetal Biometry Estimation from Standard Ultrasound Planes	164.0	54	60	50	311.0	142	85	84	88.0	24	28	36	56.0	29	11	16	107.0	55	29	23	419.0	230.0	219.0	142.0	115	17	10
071-Paper1852	BMD-GAN: Bone mineral density estimation using x-ray image decomposition into projections of bone-segmented quantitative computed tomography using hierarchical learning	112.0	36	45	31	356.0	163	122	71	49.0	21	14	14	119.0	14	90	15	218.0	41	127	50	339.0	433.0	230.0	148.0	64	35	49
072-Paper0820	Boundary-Enhanced Self-Supervised Learning for Brain Structure Segmentation	163.0	68	49	46	202.0	18	87	97	73.0	18	25	30	28.0	5	9	14	142.0	88	19	35	286.0	323.0	345.0	346.0	89	134	123
073-Paper0016	BoxPolyp: Boost Generalized Polyp Segmentation using Extra Coarse Bounding Box Annotations	321.0	136	50	135	555.0	306	66	183	128.0	54	13	61	21.0	3	9	9	180.0	152	13	15	747.0	200.0	471.0	213.0	96	49	68
074-Paper2706	Brain-Aware Replacements for Supervised Contrastive Learning in Detection of Alzheimer's Disease	111.0	30	40	41	187.0	22	89	76	79.0	23	27	29	44.0	19	17	8	189.0	65	37	87	264.0	278.0	313.0	245.0	105	68	72
075-Paper2270	Breaking with Fixed Set Pathology Recognition through Report-Guided Contrastive Training	192.0	110	32	50	377.0	52	55	270	167.0	39	55	73	68.0	5	14	49	148.0	73	58	17	352.0	241.0	587.0	228.0	73	27	128
076-Paper1095	Building Brains: Subvolume Recombination for Data Augmentation in Large Vessel Occlusion Detection	95.0	27	47	21	497.0	208	259	30	91.0	16	29	46	47.0	12	8	27	69.0	10	23	36	298.0	394.0	236.0	129.0	25	28	76
077-Paper0239	CACTUSS: Common Anatomical CT-US Space for US examinations	191.0	59	70	62	400.0	302	36	62	118.0	45	22	51	85.0	21	3	61	147.0	31	22	94	518.0	219.0	470.0	266.0	60	66	140
078-Paper0017	Calibrating Label Distribution for Class-Imbalanced Barely-Supervised Knee Segmentation	185.0	56	87	42	620.0	381	158	81	76.0	50	6	20	156.0	103	29	24	301.0	152	69	80	955.0	486.0	290.0	393.0	213	137	43
079-Paper0963	Calibration of Medical Imaging Classification Systems with Weight Scaling	121.0	56	42	23	165.0	10	112	43	119.0	31	68	20	75.0	21	26	28	166.0	75	52	39	217.0	351.0	453.0	375.0	24	51	300
080-Paper1145	Camera Adaptation for Fundus-Image-Based CVD Risk Estimation	205.0	75	57	73	331.0	117	161	53	87.0	28	37	22	22.0	9	7	6	124.0	25	60	39	276.0	394.0	204.0	105.0	22	72	11
081-Paper2332	Capturing Shape Information with Multi-Scale Topological Loss Terms for 3D Reconstruction	264.0	93	73	98	204.0	23	147	34	135.0	27	60	48	116.0	52	36	28	192.0	58	54	80	329.0	414.0	459.0	291.0	76	44	171
082-Paper2156	Carbon Footprint of Selecting and Training Deep Learning Models for Medical Image Analysis	87.0	19	44	24	383.0	177	161	45	70.0	18	33	19	187.0	12	167	8	122.0	30	87	5	273.0	529.0	289.0	242.0	17	37	188
083-Paper0783	CaRTS: Causality-driven Robot Tool Segmentation from Vision and Kinematics Data	166.0	32	96	38	267.0	85	152	30	120.0	31	41	48	50.0	13	27	10	256.0	47	147	62	416.0	548.0	312.0	417.0	208	85	124
084-Paper1369	CASHformer: Cognition Aware SHape Transformer for Longitudinal Analysis	234.0	48	53	133	144.0	11	48	85	75.0	14	13	48	73.0	8	7	58	163.0	36	30	97	162.0	224.0	545.0	242.0	45	73	124
085-Paper0894	Censor-aware Semi-supervised Learning for Survival Time Prediction from Medical Images	140.0	32	65	43	226.0	59	161	6	103.0	24	51	28	86.0	41	36	9	135.0	64	38	33	266.0	399.0	187.0	162.0	46	48	68
086-Paper0497	CephalFormer: Incorporating Global Structure Constraint into Visual Features for General Cephalometric Landmark Detection	184.0	63	60	61	301.0	42	183	76	195.0	146	28	21	25.0	7	10	8	160.0	39	48	73	404.0	402.0	246.0	187.0	107	73	7
087-Paper2197	Cerebral Microbleeds Detection Using a 3D Feature Fused Region Proposal Network with Hard Sample Prototype Learning	151.0	66	43	42	598.0	306	116	176	91.0	29	43	19	64.0	4	44	16	165.0	48	56	61	491.0	437.0	354.0	213.0	38	135	40
088-Paper0402	CFDA: Collaborative Feature Disentanglement and Augmentation for Pulmonary Airway Tree Modeling of COVID-19 CTs	129.0	58	41	30	104.0	32	20	52	62.0	15	41	6	33.0	24	5	4	101.0	30	40	31	188.0	157.0	251.0	167.0	29	10	128
089-Paper1601	Characterization of brain activity patterns across states of consciousness based on variational auto-encoders	152.0	4	76	72	183.0	67	85	31	36.0	8	24	4	13.0	2	8	3	88.0	11	63	14	98.0	341.0	251.0	218.0	6	85	127
090-Paper1593	CheXRelNet: An Anatomy-Aware Model for Tracking Longitudinal Relationships between Chest X-Rays	189.0	49	95	45	235.0	63	170	2	30.0	6	22	2	78.0	27	25	26	138.0	46	85	7	200.0	534.0	92.0	156.0	9	137	10
091-Paper1588	ChrSNet: Chromosome Straightening using Self-attention Guided Networks	128.0	66	36	26	550.0	384	90	76	88.0	48	14	26	53.0	10	18	25	92.0	40	27	25	601.0	220.0	277.0	187.0	53	35	99
092-Paper2297	CIRDataset: A large-scale Dataset for Clinically-Interpretable lung nodule Radiomics and malignancy prediction	220.0	80	30	110	681.0	366	155	160	73.0	24	28	21	119.0	42	63	14	101.0	25	28	48	576.0	328.0	381.0	91.0	39	24	28
093-Paper1320	Class Impression for Data-free Incremental Learning	126.0	40	38	48	96.0	55	21	20	99.0	37	19	43	30.0	12	16	2	280.0	117	72	91	321.0	473.0	215.0	378.0	60	307	11
094-Paper1363	Classification-aided High-quality PET Image Synthesis via Bidirectional Contrastive GAN with Shared Information Maximization	225.0	49	93	83	509.0	198	131	180	121.0	4	5	112	22.0	4	5	13	119.0	21	26	72	290.0	337.0	588.0	219.0	14	77	128
095-Paper0431	Clinical-realistic Annotation for Histopathology Images with Probabilistic Semi-supervision: A Worst-case Study	159.0	35	36	88	235.0	91	99	45	55.0	6	24	25	94.0	13	34	47	161.0	30	26	105	206.0	284.0	667.0	453.0	31	65	357
096-Paper2314	CLTS-GAN: Color-Lighting-Texture-Specular Reflection Augmentation for Colonoscopy	182.0	52	32	98	537.0	55	193	289	99.0	35	15	49	68.0	32	7	29	174.0	86	35	53	318.0	375.0	713.0	346.0	58	93	195
097-Paper0726	Collaborative Quantization Embeddings for Intra-Subject Prostate MR Image Registration	121.0	53	38	30	290.0	152	78	60	73.0	25	34	14	70.0	16	32	22	131.0	25	63	43	289.0	252.0	407.0	263.0	18	7	238
098-Paper0779	Combining mixed-format labels for AI-based pathology detection pipeline in a large-scale knee MRI study	206.0	24	141	41	737.0	88	408	241	149.0	12	67	70	85.0	18	39	28	182.0	26	138	18	214.0	864.0	434.0	153.0	46	71	36
099-Paper2128	Combining multiple atlases to estimate data-driven mappings between functional connectomes using optimal transport	243.0	43	121	79	176.0	76	2	98	64.0	6	22	36	25.0	14	1	10	156.0	32	83	41	262.0	299.0	310.0	207.0	91	70	46
100-Paper1882	Computer-aided Tuberculosis Diagnosis with Attribute Reasoning Assistance	169.0	32	44	93	256.0	125	37	94	103.0	35	33	35	77.0	53	7	17	188.0	67	62	59	415.0	231.0	350.0	203.0	103	48	52
101-Paper0377	Conditional Generative Data Augmentation for Clinical Audio Datasets	144.0	42	65	37	616.0	91	157	368	52.0	18	12	22	73.0	12	13	48	76.0	18	18	40	208.0	297.0	577.0	121.0	27	32	62
102-Paper1704	Conditional VAEs for confound removal and normative modelling of neurodegenerative diseases	143.0	86	14	43	82.0	30	35	17	53.0	7	11	35	29.0	14	2	13	104.0	23	12	69	209.0	138.0	208.0	144.0	49	64	31
103-Paper2792	Consistency-based Semi-supervised Evidential Active Learning for Diagnostic Radiograph Classification	190.0	66	69	55	227.0	57	29	141	80.0	34	27	19	46.0	6	19	21	176.0	48	48	80	305.0	256.0	403.0	245.0	94	64	87
104-Paper0744	Consistency-preserving Visual Question Answering in Medical Imaging	126.0	29	38	59	269.0	159	42	68	55.0	10	27	18	13.0	11	1	1	130.0	95	17	18	395.0	163.0	215.0	180.0	91	38	51
105-Paper0772	Context-Aware Transformers For Spinal Cancer Detection and Radiological Grading	157.0	50	71	36	223.0	23	182	18	102.0	43	52	7	72.0	13	37	22	150.0	33	74	43	251.0	452.0	206.0	205.0	89	36	80
106-Paper0991	Context-aware Voxel-wise Contrastive Learning for Label Efficient Multi-organ Segmentation	87.0	25	45	17	137.0	6	73	58	94.0	31	47	16	31.0	6	14	11	101.0	36	34	31	333.0	297.0	201.0	381.0	229	84	68
107-Paper1211	ConTrans: Improving Transformer with Convolutional Attention for Medical Image Segmentation	135.0	35	48	52	287.0	70	7	210	89.0	6	37	46	43.0	15	20	8	114.0	55	32	27	382.0	237.0	506.0	457.0	201	93	163
108-Paper0616	ContraReg: Contrastive Learning of Multi-modality Unsupervised Deformable Image Registration	134.0	25	62	47	209.0	105	32	72	56.0	9	12	35	115.0	24	60	31	226.0	41	30	155	296.0	316.0	367.0	239.0	92	120	27
109-Paper1057	Contrast-free Liver Tumor Detection using Ternary Knowledge Transferred Teacher-student Deep Reinforcement Learning	81.0	27	21	33	160.0	42	90	28	88.0	35	15	38	30.0	5	7	18	201.0	142	16	43	320.0	159.0	227.0	146.0	69	10	67
110-Paper0148	Contrastive Functional Connectivity Graph Learning for Population-based fMRI Classification	117.0	30	44	43	339.0	210	105	24	42.0	13	10	19	44.0	12	12	20	97.0	43	19	35	475.0	200.0	157.0	193.0	167	10	16
111-Paper1698	Contrastive learning for echocardiographic view integration	115.0	38	28	49	191.0	63	3	125	73.0	22	19	32	29.0	7	5	17	194.0	58	46	90	241.0	190.0	401.0	230.0	53	89	88
112-Paper1582	Contrastive Masked Transformers for Forecasting Renal Transplant Function	217.0	113	63	41	148.0	28	75	45	52.0	27	14	11	37.0	14	19	4	221.0	142	65	14	328.0	380.0	122.0	155.0	4	144	7
113-Paper1027	Contrastive Re-localization and History Distillation in Federated CMR Segmentation	167.0	87	64	16	732.0	347	139	246	135.0	39	70	26	141.0	25	93	23	183.0	35	137	11	558.0	681.0	344.0	225.0	25	178	22
114-Paper0573	Contrastive Transformer-based Multiple Instance Learning for Weakly Supervised Polyp Frame Detection	136.0	17	58	61	174.0	105	5	64	120.0	18	51	51	66.0	9	21	36	97.0	27	33	37	178.0	281.0	427.0	293.0	2	113	178
115-Paper0458	Coronary R-CNN: Vessel-wise Method for Coronary Artery Lesion Detection and Analysis in Coronary CT Angiography	170.0	59	32	79	318.0	110	189	19	140.0	36	44	60	108.0	64	36	8	101.0	18	59	24	365.0	424.0	209.0	161.0	78	64	19
116-Paper2123	CorticalFlow++: Boosting Cortical Surface Reconstruction Accuracy, Regularity, and Interoperability	164.0	40	69	55	368.0	78	67	223	36.0	21	13	2	30.0	20	7	3	185.0	45	29	111	378.0	220.0	396.0	211.0	174	35	2
117-Paper0775	CRISP - Reliable Uncertainty Estimation for Medical Image Segmentation	220.0	33	52	135	355.0	56	110	189	141.0	32	44	65	54.0	9	11	34	201.0	119	41	41	297.0	431.0	655.0	412.0	48	173	191
118-Paper0133	CS2: A Controllable and Simultaneous Synthesizer of Images and Annotations with Minimal Human Intervention	172.0	37	91	44	345.0	48	179	118	114.0	22	34	58	44.0	18	16	10	154.0	89	44	21	223.0	399.0	377.0	170.0	9	35	126
